セクション,セクション_ja,項目,項目_ja,2025年モデル 260 超長航続 豪華版,2025年モデル 260 超長航続 尊貴版,2025年モデル 260 伯牙 ラグジュアリー版,2025年モデル 4WD 高性能 ピーク版,2025年モデル 公務用 尊享版,2025年モデル 公務用 致享版
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,"● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）"
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● クアッドゾーン（4ゾーン）,● クアッドゾーン（4ゾーン）,● クアッドゾーン（4ゾーン）,● クアッドゾーン（4ゾーン）,● クアッドゾーン（4ゾーン）
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,●,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Lion（ライオン）,● Lion（ライオン）,● Lion（ライオン）,● Lion（ライオン）,● Lion（ライオン）,● Lion（ライオン）
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm 8255,● Qualcomm 8255,● Qualcomm 8255,● Qualcomm 8255,● Qualcomm 8255,● Qualcomm 8255
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約,● ドアコントロール・車両始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/修理予約
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,-,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB・SD・Type-C対応,● USB・SD・Type-C対応,● USB・SD・Type-C対応,● USB・SD・Type-C対応,● USB・SD・Type-C対応,● USB・SD・Type-C対応
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整,前後調整・リクライニング調整・高さ調整（2方向）・レッグレスト調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター・ベンチレーション・マッサージ（運転席のみ）,シートヒーター・ベンチレーション・マッサージ（運転席のみ）,● シートヒーター・ベンチレーション・マッサージ,● シートヒーター・ベンチレーション・マッサージ（運転席のみ）,● シートヒーター・ベンチレーション・マッサージ（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● シートヒーター,● シートヒーター,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,-,"○ 助手席（10,000元）","○ 助手席（10,000元）",-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 12スピーカー,● 23スピーカー,● 23スピーカー,● 12スピーカー,● 23スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアコン吹き出し口,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,●,●,●
颜色,カラー,外观颜色,外装色,オーロラグリーン チェリーレッド ￥6000 墨石ブラック 雲煙パープル スターシルバー ￥6000 玄武グレー ￥6000,オーロラグリーン チェリーレッド ￥6000 墨石ブラック 雲煙パープル スターシルバー ￥6000 玄武グレー ￥6000,オーロラグリーン チェリーレッド ￥6000 墨石ブラック 雲煙パープル スターシルバー ￥6000 玄武グレー ￥6000,オーロラグリーン チェリーレッド ￥6000 墨石ブラック 雲煙パープル スターシルバー ￥6000 玄武グレー ￥6000,墨石ブラック,墨石ブラック
颜色,カラー,内饰颜色,内装色,ブラウン/ホワイト（晩秋の暖陽） ブラック/オレンジ（朝の柑橘）,ブラウン/ホワイト（晩秋の暖陽） ブラック/オレンジ（朝の柑橘）,ブラウン/ホワイト（晩秋の暖陽） ブラック/オレンジ（朝の柑橘）,レッド/ブラック（夜の丹楓） ブラウン/ホワイト（晩秋の暖陽） ブラック/オレンジ（朝の柑橘）,ブラック,ブラック
