セクション,項目,迈腾 2026款 3000万辆甄选款 280TSI DSG舒适型,迈腾 2026款 3000万辆甄选款 280TSI DSG豪华型,迈腾 2026款 3000万辆甄选款 380TSI DSG豪华型,迈腾 2025款 改款二 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG舒适型,迈腾 2025款 改款 众享款 280TSI DSG豪华型,迈腾 2025款 众享款 280TSI DSG豪华型,迈腾 2025款 改款二 众享款 330TSI DSG豪华型,迈腾 2025款 改款 众享款 330TSI DSG豪华型,迈腾 2025款 众享款 330TSI DSG豪华型,迈腾 2024款 300TSI DSG尊享版,迈腾 2024款 300TSI DSG尊享版显眼包,迈腾 2024款 380TSI DSG尊贵版,迈腾 2024款 380TSI DSG尊贵版大迈包,迈腾 2024款 380TSI DSG至尊版
屏幕/系统,手机互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 原厂互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,○,○,●,多媒体系统 导航 电话,多媒体系统 导航 电话,多媒体系统 导航 电话,多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,应用商店,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,车载智能系统,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● MOS智慧车联,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
屏幕/系统,车机智能芯片,-,-,-,-,-,-,-,-,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 12,● 12
屏幕/系统,车机系统存储(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 128,● 128
智能化配置,车联网,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,○ 4G,○ 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,Wi-Fi热点,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,V2X通讯,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,手机APP远程功能,○,○,●,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断,● 车况查询/诊断
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,○,●,○,-,○,○,●,●,●,-,-,-,-,○
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,8英寸 10.3英寸 (2000元),8英寸 10.3英寸 (2000元),● 10.3英寸,8英寸 10.3英寸 (2000元),8英寸 10.3英寸 (2000元),8英寸 10.3英寸 (2000元),8英寸 10.3英寸 (2000元),● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,USB Type-C,USB Type-C,● USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,前排2个/后排2个 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,○ 前排,○ 前排,-,○ 前排,○ 前排,○ 前排,○ 前排,-,-,-,-,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,○ 40W,○ 40W,-,-,-,-,-,-,-,-,-,● 15W,● 15W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热,● 加热 通风,● 加热,-,● 加热,● 加热,● 加热 通风,● 加热 通风,● 加热 通风,-,○ 加热 (1500元),○ 加热 (1500元),加热 (1500元) 通风,加热 通风 按摩
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,○ 驾驶位,○ 驾驶位,○ 驾驶位,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,●,-,●,●,●,●,●,-,●,●,●,●
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,○,●
座椅配置,第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,加热 通风 按摩
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,○ Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 7喇叭,● 7喇叭,● 7喇叭,9喇叭 14喇叭,● 14喇叭
音响/车内灯光,触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,● 30色,-,-,-,-,● 30色,● 30色,● 30色,-,● 30色,● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,●,●,-,●,●,●,●,●,-,-,-,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,-,-,-,●,●,-,●,●,-,●,●,●,●
颜色,外观颜色,幻影黑 极地白 凯撒金,幻影黑 极地白 凯撒金,幻影黑 极地白 凯撒金,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,幻影黑 极地白 凯撒金 星河灰,极地白 凯撒金 星际蓝 银河灰 魅影黑 黑莓棕,极地白 凯撒金 星际蓝 银河灰 魅影黑 黑莓棕,极地白 凯撒金 星际蓝 银河灰 魅影黑 黑莓棕,极地白 凯撒金 星际蓝 哑光天玄黑 ￥8000 银河灰 魅影黑 黑莓棕,极地白 凯撒金 星际蓝 哑光天玄黑 ￥8000 银河灰 魅影黑 黑莓棕
颜色,内饰颜色,黑色,黑色,黑色,黑色 黑色/灰色,黑色,黑色,黑色,黑色 黑色/浅灰色,黑色 黑色/浅灰色,黑色 黑色/浅灰色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色 黑色/浅灰色,黑色 黑色/棕色 黑色/浅灰色,黑色 黑色/棕色 黑色/浅灰色
选装包,18寸车轮包,-,-,-,-,-,-,-,-,-,-,-,"○ 包含：18英寸""Paulista""空气动力学铝轮+数显胎压监测 选配 (3000元)","○ 包含：18英寸""Paulista""空气动力学铝轮+数显胎压监测 选配 (3000元)",-,-
选装包,尊贵版大迈包特别版,-,-,-,-,-,-,-,-,-,-,-,-,-,"○ 包含：外饰黑光包、特别版内饰、19英寸""Kangaro""空气动力学铝轮、后排座椅靠背电动调节、后排头枕软靠枕、不可选前排座椅加热 选配 (暂无价格)",-
选装包,舒享包,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 包含：后排座椅靠背电动调节、后排头枕软靠枕 选配 (暂无价格),-
选装包,舒享音乐包,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 包含：harman/kardon®;哈曼卡顿高级音响系统、后排座椅靠背电动调节、后排头枕软靠枕 选配 (暂无价格),-
选装包,至尊特别版,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 包含：外饰黑光包、特别版内饰、不可选暖冬包 选配 (暂无价格)
选装包,暖冬包,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 包含：前排座椅加热功能、后排座椅加热功能、方向盘加热功能 选配 (3000元)
选装包,IQ.Drive 智驾管家,-,-,-,○ 包含：Travel Assist 一键式智能驾驶辅助系统、HOD方向盘离手监测、Front Assist预碰撞安全系统（含AEB/CEB城市紧急制动）、ACC 3.0高级自适应巡航系统、Lane Assist车道保持系统、RTA后方交通预警系统、方向盘加热功能 选配 (暂无价格),-,○ 包含：Travel Assist 一键式智能驾驶辅助系统、HOD方向盘离手监测、Front Assist预碰撞安全系统（含AEB/CEB城市紧急制动）、ACC 3.0高级自适应巡航系统、Lane Assist车道保持系统、RTA后方交通预警系统、方向盘加热功能 选配 (暂无价格),○ 包含：Travel Assist 一键式智能驾驶辅助系统、HOD方向盘离手监测、Front Assist预碰撞安全系统（含AEB/CEB城市紧急制动）、ACC 3.0高级自适应巡航系统、Lane Assist车道保持系统、RTA后方交通预警系统、方向盘加热功能 选配 (暂无价格),-,-,-,-,-,-,-,-
选装包,车联网&高级信息娱乐系统包,-,-,-,○ 包含：车联网-智联控车、智慧导航、智能语音、智享娱乐、CNS3.0智能车载导航信息娱乐系统：9.2英寸触摸彩屏、无线充电 选配 (暂无价格),○ 包含：车联网-智联控车、智慧导航、智能语音、智享娱乐、CNS3.0智能车载导航信息娱乐系统：9.2英寸触摸彩屏、无线充电 选配 (暂无价格),○ 包含：车联网-智联控车、智慧导航、智能语音、智享娱乐、CNS3.0智能车载导航信息娱乐系统：9.2英寸触摸彩屏、无线充电 选配 (暂无价格),○ 包含：车联网-智联控车、智慧导航、智能语音、智享娱乐、CNS3.0智能车载导航信息娱乐系统：9.2英寸触摸彩屏、无线充电 选配 (暂无价格),-,-,-,-,-,-,-,-
选装包,选装包4,-,-,-,-,-,-,-,○ 座椅记忆&舒适进入功能包 选配 (500元),○ 座椅记忆&舒适进入功能包 选配 (500元),○ 座椅记忆&舒适进入功能包 选配 (500元),-,-,-,-,-
选装包,选装包2,-,-,-,-,-,-,-,○ 包含：IQ.Light灵眸矩阵前大灯系统（带AFS大灯随动转向、流水式转向灯、MDFS） 选配 (6000元),○ IQ.Light灵眸矩阵前大灯系统（带AFS大灯随动转向、流水式转向灯、MDFS） 选配 (4500元),○ IQ.Light灵眸矩阵前大灯系统（带AFS大灯随动转向、流水式转向灯、MDFS） 选配 (4500元),-,-,-,-,-
选装包,选装包1,-,-,-,-,○ ACC 3.0高级自适应巡航系统、Front Assist预碰撞安全系统（含AEB/CEB城市紧急制动） 选配 (2500元),-,-,-,-,-,-,-,-,-,-
