セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 280TSI DSG コンフォート,2026年モデル 3000万台記念 280TSI DSG ラグジュアリー,2026年モデル 3000万台記念 380TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG コンフォート,2025年モデル 改良版 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 330TSI DSG ラグジュアリー,2025年モデル 改良版 众享 330TSI DSG ラグジュアリー,2025年モデル 众享 330TSI DSG ラグジュアリー,2024年モデル 300TSI DSG プレミアム,2024年モデル 300TSI DSG プレミアム アピアランスパッケージ,2024年モデル 380TSI DSG エグゼクティブ,2024年モデル 380TSI DSG エグゼクティブ 大迈パッケージ,2024年モデル 380TSI DSG プレステージ
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール",● 全速度域対応アダプティブクルーズコントロール,"● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域対応アダプティブクルーズコントロール",● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,○ IQ.ドライブ,● IQ.ドライブ,○ IQ.ドライブ,-,○ IQ.ドライブ,○ トラベルアシスト,● IQ.ドライブ,● IQ.ドライブ,● トラベルアシスト,-,● IQ.ドライブ,● IQ.ドライブ,"● IQ.ドライブ
○ IQ.パイロット",● IQ.パイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,○ レベル2,● レベル2,○ レベル2,-,○ レベル2,○ レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,○,○,○,-,○,○,○ （1200元）,○ （1200元）,○ （1200元）,-,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,-,-,○,-,-,●,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,○,●
驾驶功能,運転機能,方向盘离手检测,ハンドオフ検知機能,-,○,●,○,-,○,○,●,●,●,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,○,-,-,-,-,-,-,-,-,○ （2000元）,○ （2000元）,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,○,-,-,-,-,-,-,-,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
○ Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 前席,● 前席,● 前席,-,● 前席,● 全車,● 前席,● 前席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,○ マトリクス式,-,-,-,-,○ マトリクス式,○ マトリクス式,○ マトリクス式,-,-,-,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,○,-,-,-,-,○,○,○,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,○,-,-,-,-,○,○,○,-,-,-,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,○ 開閉式パノラマサンルーフ（8000元）,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
○ ドアミラーメモリー
● ドアミラー加熱
○ バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
○ ドアミラーメモリー
● ドアミラー加熱
○ バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
○ ドアミラーメモリー
● ドアミラー加熱
○ バック時自動下向き
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,"● 8インチ
○ 9.2インチ（3500元）","● 8インチ
○ 9.2インチ（3500元）",● 9.2インチ,"● 8インチ
○ 9.2インチ（3500元）","● 8インチ
○ 9.2インチ（3500元）","● 8インチ
○ 9.2インチ（3500元）","● 8インチ
○ 9.2インチ（3500元）",● 9.2インチ,● 9.2インチ,● 9.2インチ,● 12.9インチ,● 12.9インチ,● 12.9インチ,● 15インチ,● 15インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K,● 2K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンターテインメント画面サイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,● 11.6インチ,● 11.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● CarLife対応","● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● 純正連携／ミラーリング","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,○,○,●,"○ マルチメディアシステム
○ ナビゲーション
● 電話","○ マルチメディアシステム
○ ナビゲーション
● 電話","○ マルチメディアシステム
○ ナビゲーション
● 電話","○ マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,-,-,-,-,-,-,-,-,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載システムチップ,-,-,-,-,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 128,● 128
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,○ 4G,○ 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,○,○,●,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断,● 車両状態確認／診断
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 合成皮革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,○,●,○,-,○,○,●,●,●,-,-,-,-,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,○,○,●,○,○,○,○,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,"● 8インチ
○ 10.3インチ（2000元）","● 8インチ
○ 10.3インチ（2000元）",● 10.3インチ,"● 8インチ
○ 10.3インチ（2000元）","● 8インチ
○ 10.3インチ（2000元）","● 8インチ
○ 10.3インチ（2000元）","● 8インチ
○ 10.3インチ（2000元）",● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
○ Type-C","● USB
○ Type-C","● USB
● Type-C","● USB
○ Type-C","● USB
○ Type-C","● USB
○ Type-C","● USB
○ Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,"● 前席2個／後席2個
○ 前席3個／後席2個",● 前席2個／後席2個,● 前席2個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,○ 前席,○ 前席,-,○ 前席,○ 前席,○ 前席,○ 前席,-,-,-,-,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,○ 40W,○ 40W,-,-,-,-,-,-,-,-,-,● 15W,● 15W,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● ヒーター,"● ヒーター
● ベンチレーション",● ヒーター,-,● ヒーター,● ヒーター,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション",-,○ ヒーター（1500元）,○ ヒーター（1500元）,"○ ヒーター（1500元）
● ベンチレーション","○ ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,○ 運転席,○ 運転席,○ 運転席,-,-,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,●,-,●,●,●,●,●,-,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,○,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"○ ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,"● 9スピーカー
○ 14スピーカー",● 14スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 30色,-,-,-,-,● 30色,● 30色,● 30色,-,● 30色,● 30色,● 30色,● 30色
