セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 200尊享版 6人乗り,2026年モデル 増程 280レーザーレーダー版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 5人乗り,2026年モデル 纯电 580尊享版 6人乗り,2026年モデル 纯电 630レーザーレーダー版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 5人乗り,2024年モデル 増程 200智享版,2024年モデル 増程 200尊享版,2024年モデル 増程 200レーザーレーダー版,2024年モデル 纯电 520智享版,2024年モデル 纯电 520尊享版,2024年モデル 纯电 520レーザーレーダー版,2024年モデル 纯电 580尊享版,2024年モデル 纯电 580レーザーレーダー版
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）,モノコックボディ（承載式）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,● 245/45 R21タイヤサイズ,● 245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,● 245/45 R21タイヤサイズ,● 245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ,235/55 R20、245/45 R21タイヤサイズ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,● 255/45 R21タイヤサイズ,● 255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,● 255/45 R21タイヤサイズ,● 255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ,255/50 R20、255/45 R21タイヤサイズ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド,● スポーツ、エコノミー、標準／快適、カスタム／パーソナライズド
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,-,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,-,-,-,-,-,-,-,-
四驱/越野,4WD/オフロード,蠕行模式,クリープモード,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度全方位カメラ 車側死角カメラ,● 360度全方位カメラ 車側死角カメラ,● 360度全方位カメラ 車側死角カメラ,● 360度パノラマビューカメラ,● 360度全方位カメラ 車側死角カメラ,● 360度全方位カメラ 車側死角カメラ,● 360度全方位カメラ 車側死角カメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度全方位カメラ 車側死角カメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度全方位カメラ 車側死角カメラ,● 360度パノラマビューカメラ,● 360度全方位カメラ 車側死角カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● Qualcomm Snapdragon 8650,● Qualcomm Snapdragon 8650,● Qualcomm Snapdragon 8650,-,● Qualcomm Snapdragon 8650,● Qualcomm Snapdragon 8650,● Qualcomm Snapdragon 8650,-,-,● NVIDIA Drive Orin,-,-,● NVIDIA Drive Orin,-,● NVIDIA Drive Orin
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,-,-,-,-,-,-,-,-,-,● 254 TOPS,-,-,● 254 TOPS,-,● 254 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 6個,● 11個,● 11個,● 11個,● 6個,● 11個,● 11個,● 11個,● 6個,● 6個,● 11個,● 6個,● 6個,● 11個,● 6個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 200万画素,● 800万画素,● 800万画素,● 800万画素,● 200万画素,● 800万画素,● 800万画素,● 800万画素,● 200万画素,● 200万画素,● 800万画素,● 200万画素,● 200万画素,● 800万画素,● 200万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,-,● 300万画素,● 300万画素,● 300万画素,-,● 300万画素,● 300万画素,● 300万画素,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 5個,● 3個,● 3個,● 5個,● 3個,● 5個
驾驶硬件,運転ハードウェア,激光雷达品牌,レーザーレーダーブランド,-,● HESAI（禾赛科技）,● HESAI（禾赛科技）,● HESAI（禾赛科技）,-,● HESAI（禾赛科技）,● HESAI（禾赛科技）,● HESAI（禾赛科技）,-,-,● HESAI（禾赛科技）,-,-,● HESAI（禾赛科技）,-,● HESAI（禾赛科技）
驾驶硬件,運転ハードウェア,激光雷达型号,レーザーレーダーモデル,-,● AT128,● AT128,● AT128,-,● AT128,● AT128,● AT128,-,-,● AT128,-,-,● AT128,-,● AT128
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,-,-,● 1個,-,-,● 1個,-,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーチャンネル数,-,● 128ライン,● 128ライン,● 128ライン,-,● 128ライン,● 128ライン,● 128ライン,-,-,● 128ライン,-,-,● 128ライン,-,● 128ライン
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,●,●,-,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,●,-,●,●,●,-,-,●,-,-,●,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,● 市街地・高速道路,● 市街地・高速道路,● 市街地・高速道路,-,● 市街地・高速道路,● 市街地・高速道路,● 市街地・高速道路,-,-,● 高速道路,-,-,● 高速道路,-,● 高速道路
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,-,-,-,-,●,●,●,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー,● Bluetoothキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,●,●,●,-,●,●,●,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,● 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ,開閉不可のパノラマサンルーフ 分割式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席,● 前席・後席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
