セクション,項目,星越L 2026款 东方曜 2.0TD 自动霄汉版,星越L 2026款 东方曜 2.0TD 自动揽星版,星越L 2026款 东方曜 2.0TD 自动望月版,星越L 2025款 2.0TD 自动行云版,星越L 2025款 东方曜 2.0TD 自动今朝版,星越L 2025款 东方曜 2.0TD 自动揽星版,星越L 2025款 东方曜 2.0TD 自动四驱望月版,星越L 2024款 油混 1.5T 星云版,星越L 2024款 油混 1.5T 星河版,星越L 2024款 油混 1.5T 天宫版,星越L 2024款 2.0TD DCT EVO两驱长风版,星越L 2024款 2.0TD 高功自动两驱云起版,星越L 2024款 2.0TD 高功自动两驱天际版
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音助手唤醒词,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,-,-,-,● 你好，吉利,● 你好，吉利,● 你好，吉利
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,-,-,-,-,●,●,●,-,-,-
屏幕/系统,可见即可说,-,-,-,-,-,-,-,●,●,●,-,-,-
屏幕/系统,面部识别,-,○,●,-,-,-,-,-,●,●,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,-,-,-,●,●,●
屏幕/系统,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● 吉利银河OS 2.0,● 吉利银河OS 2.0,● 吉利银河OS 2.0,● 吉利银河OS 2.0,● 吉利银河OS,● 吉利银河OS,● 吉利银河OS,● 吉利银河OS 2.0,● 吉利银河OS 2.0,● 吉利银河OS 2.0
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,多指飞屏操控,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,●,●,●,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,●,●,●
智能化配置,车载KTV,-,-,-,-,-,-,-,●,●,●,-,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○,●,●,○,○,○,○,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,●,-,●,●,●,-,-,●,-,-,●
方向盘/内后视镜,HUD抬头尺寸,● 25.6英寸,● 25.6英寸,● 25.6英寸,-,● 25.6英寸,● 25.6英寸,● 25.6英寸,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W
车内充电,行李厢12V电源接口,-,-,-,-,-,-,-,●,●,●,●,●,●
座椅配置,座椅材质,仿皮 皮/翻毛材质混搭 (3000元),仿皮 皮/翻毛材质混搭 (3000元),仿皮 皮/翻毛材质混搭 (3000元),● 仿皮,仿皮 皮/翻毛材质混搭,仿皮 皮/翻毛材质混搭,仿皮 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮,● 仿皮,仿皮 皮/翻毛材质混搭,仿皮 皮/翻毛材质混搭
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风(仅驾驶位) 按摩(仅驾驶位) 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),● 加热 通风(仅驾驶位) 按摩(仅驾驶位),● 加热 通风(仅驾驶位) 按摩(仅驾驶位) 头枕扬声器(仅驾驶位),● 加热 通风 按摩(仅驾驶位) 头枕扬声器(仅驾驶位),● 加热 通风 按摩(仅驾驶位) 头枕扬声器(仅驾驶位),● 加热 通风(仅驾驶位),● 加热 通风(仅驾驶位),● 加热 通风,● 加热 通风(仅驾驶位),● 加热 通风(仅驾驶位),● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,-,-,●,●,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,-,●,●,-,-,●,●,-,-,-,-,-,-
座椅配置,第二排座椅功能,○ 加热,● 加热,● 加热,○ 加热,○ 加热,○ 加热,○ 加热,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,● Infinity燕飞利仕,● Infinity燕飞利仕,● Infinity燕飞利仕,-,-,● Infinity燕飞利仕,-,-,● Infinity燕飞利仕
音响/车内灯光,扬声器数量,● 16喇叭,● 16喇叭,● 16喇叭,● 8喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 8喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 72色,● 72色,● 72色,● 72色,● 72色,● 72色,● 72色,● 72色,● 72色,● 72色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,●,-,-,●,●,-,-,●,-,-,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,●,●,-,-,●,●,-,-,-,-,-,●
颜色,外观颜色,墨玉黑 极光银 玄武灰 牡蛎白 东方青 莫高蓝,墨玉黑 极光银 玄武灰 牡蛎白 东方青 莫高蓝,墨玉黑 极光银 玄武灰 牡蛎白 东方青 莫高蓝,墨玉黑 极光银 玄武灰 牡蛎白,墨玉黑 极光银 玄武灰 牡蛎白 远黛磨砂灰 ￥6000 东方青,墨玉黑 极光银 玄武灰 牡蛎白 远黛磨砂灰 ￥6000 东方青,墨玉黑 极光银 玄武灰 牡蛎白 远黛磨砂灰 ￥6000 东方青,皓月白 墨玉黑 极光银 玄武灰 牡蛎白,皓月白 墨玉黑 极光银 玄武灰 牡蛎白,皓月白 墨玉黑 极光银 玄武灰 牡蛎白,墨玉黑 极光银 玄武灰 翠羽蓝 牡蛎白,墨玉黑 极光银 玄武灰 翠羽蓝 ￥5000 牡蛎白 远黛磨砂灰 ￥6000,墨玉黑 极光银 玄武灰 翠羽蓝 牡蛎白 远黛磨砂灰 ￥6000
颜色,内饰颜色,黑色/棕色 黑色/韶华杏,黑色/棕色 黑色/韶华杏,黑色/棕色 黑色/韶华杏,黑色/明茶棕,泼墨 黑色/韶华杏,韶华杏 泼墨,韶华杏 泼墨,黑色/焦糖棕 东方既白 ￥1999,黑色/焦糖棕 东方既白 ￥1999,黑色/焦糖棕 东方既白,月影黑,黑色/绿色 白色/棕色 泼墨,黑色/绿色 白色/棕色 泼墨
选装包,加热包,○ 包含：方向盘加热、座椅靠背加热、后排座椅加热 选配 (1699元),-,-,○ 包含：方向盘加热、座椅靠背加热、后排座椅加热 选配 (1699元),○ 包含：方向盘加热、座椅靠背加热、后排座椅加热 选配 (1699元),○ 包含：方向盘加热、座椅靠背加热、后排座椅加热 选配 (1699元),○ 包含：方向盘加热、座椅靠背加热、后排座椅加热 选配 (1699元),-,-,-,-,-,-
选装包,鸣沙流金环保麂皮内饰,○ 包含：鸣沙流金环保麂皮内饰 选配 (3000元),○ 包含：鸣沙流金环保麂皮内饰 选配 (3000元),○ 包含：鸣沙流金环保麂皮内饰 选配 (3000元),-,-,-,-,-,-,-,-,-,-
选装包,智能科技包,-,○ 包含：千里浩瀚辅助驾驶H3方案+Face ID面部识别+驾驶员状态监测 选配 (6000元),-,-,-,-,-,-,-,-,-,-,-
选装包,天宫选装包,-,-,-,-,-,-,-,-,○ 包含：皓月白车色、东方既白内饰 选配 (2999元),-,-,-,-
选装包,泼墨环保麂皮内饰,-,-,-,-,○ 包含：泼墨环保麂皮内饰 选配 (3000元),○ 包含：泼墨环保麂皮内饰 选配 (3000元),○ 包含：泼墨环保麂皮内饰 选配 (3000元),-,-,-,-,○ 包含：泼墨环保麂皮内饰 选配 (3000元),-
选装包,翠羽幻彩套装,-,-,-,-,-,-,-,-,-,-,-,○ 包含：翠羽幻彩特制车漆、幻彩双拼麂皮内饰、20英寸双五辐脉冲轮毂、幻彩专属车钥匙 选配 (5000元),○ 包含：翠羽幻彩特制车漆、幻彩双拼麂皮内饰、20英寸双五辐脉冲轮毂、幻彩专属车钥匙 选配 (5000元)
