セクション,セクション_ja,項目,項目_ja,2025年モデル 栄誉 2.0L 2WD 真心版,2025年モデル 栄誉 2.0L 2WD 先進版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD ブラックゴールド版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 豪華版,2023年モデル e-POWER 超ハイブリッドデュアルモーター 4WD 最上位版,2023年モデル クラシック 2.0L 2WD インテリジェント快適版,2023年モデル クラシック 2.0L 2WD インテリジェントプレミアム版,2022年モデル VCターボ 300 CVT 2WD 星月限定版,2021年モデル VCターボ 300 CVT 2WD ファッショナブル版,2021年モデル VCターボ 300 CVT 2WD 快適版,2021年モデル VCターボ 300 CVT 2WD 豪華版,2021年モデル VCターボ 300 CVT 2WD 豪華版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 豪華版,2021年モデル VCターボ 300 CVT 4WD プレミアム版,2021年モデル VCターボ 300 CVT 4WD プレミアム版 7人乗り,2021年モデル VCターボ 300 CVT 4WD 最上位版
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,●,●,●,-,-,●,-,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● エコ,● エコ,"● スポーツ
● エコ
● オフロード
● 雪道","● スポーツ
● エコ
● オフロード
● 雪道","● スポーツ
● エコ
● オフロード
● 雪道",● エコ,● エコ,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,●,●,●,-,-,-,-,-,-,-,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,前● / 後●,前● / 後●,前● / 後●,-,-,-,-,-,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,-,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,-,-,-,-,-,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個,● 5個,● 4個,● 4個,● 1個,-,● 1個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,-,-,● 8個,● 8個,● 8個,-,-,-,-,-,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● ProPILOT,● ProPILOT,● ProPILOT,-,-,-,-,-,● ProPILOT,● ProPILOT,● ProPILOT,● ProPILOT,● ProPILOT,● ProPILOT
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2,● レベル2,● レベル2,-,-,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,● LED,-,● ハロゲン,-,-,-,-,-,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 運転席,● 運転席,● 全車,● 全車,● 全車,● 運転席,● 運転席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,-,-,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納","● 電動調整
● 電動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納","● 電動調整
● 電動格納",● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 9インチ,● 9インチ,● 12.3インチ,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応",-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● サンルーフ",-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、日産,● こんにちは、日産,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,-,-,● Nissan Connect 超スマートコネクト,-,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト,● Nissan Connect 超スマートコネクト
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検／整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検／整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● 点検／整備予約","● ドア操作
● ライト操作
● 車両状態確認／診断
● 車両位置特定／車両検索",-,"● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両検索"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 合成皮革,● 本革,● 本革,● 本革,● 合成皮革,● 合成皮革,● プラスチック,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5インチ,● 5インチ,● 7インチ,● 7インチ,● 12.3インチ,● 5インチ,● 5インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,"● USB
● Type-C",● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個,● 前席1個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,-,-,-,-,-,-,-,-,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革",● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席,運転席● / 助手席●,運転席 ● / 助手席,運転席 ● / 助手席,運転席● / 助手席●,運転席 ● / 助手席,運転席● / 助手席●,-,-,-,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,"● シートヒーター
● ベンチレーション",-,● シートヒーター,-,-,-,-,-,-,-,-,-,-,● シートヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,"● 前後調整
● リクライニング調整",● リクライニング調整,● リクライニング調整,"● 前後調整
● リクライニング調整",● リクライニング調整
座椅配置,シート装備,座椅布局,シートレイアウト,-,-,-,-,-,-,-,-,-,-,-,● 2-3-2列シート,-,-,● 2-3-2列シート,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
