セクション,項目,探险者 2025款 2.3T EcoBoost 四驱穿越版 5座,探险者 2024款 2.3T EcoBoost 后驱风尚版 6座,探险者 2024款 2.3T EcoBoost 后驱风尚版 7座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 6座,探险者 2024款 2.3T EcoBoost 四驱风尚plus版 7座,探险者 2024款 2.3T EcoBoost 四驱钛金版 6座,探险者 2024款 2.3T EcoBoost 四驱钛金版 7座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 6座,探险者 2024款 2.3T EcoBoost 四驱ST-LINE 7座,探险者 2024款 2.3T EcoBoost 赤金版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 6座,探险者 2024款 2.3T EcoBoost 昆仑巅峰版 7座,探险者 2025款 2.3T EcoBoost 昆仑穿越版 5座
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,多指飞屏操控,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,主动降噪,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,-,-,-,●,●,-,●,●,●
方向盘/内后视镜,方向盘加热,●,-,-,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,●,●,●,●,●,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 真皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风,-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,●,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅电动调节,-,●,-,●,-,●,-,●,-,●,●,-,-
座椅配置,第二排座椅功能,-,-,-,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热
座椅配置,第二排独立座椅,-,●,-,●,-,●,-,●,-,●,●,-,-
座椅配置,座椅布局,-,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-2-2,● 2-3-2,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,-,-,-,-,-,-,●,●,●,●,●,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 10喇叭,● 10喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 佩托湖蓝 白令海灰 加勒比灰 安第斯黑,格陵兰白 白令海灰 阿尔金橙 加勒比灰 安第斯黑,格陵兰白 白令海灰 阿尔金橙 加勒比灰 安第斯黑,格陵兰白 白令海灰 阿尔金橙 加勒比灰 安第斯黑
颜色,内饰颜色,墨玉黑,墨玉黑,墨玉黑,墨玉黑,墨玉黑,紫砂棕,紫砂棕,黑色/暮云灰,黑色/暮云灰,黑色/瑶珠灰,流沙米/黑色,流沙米/黑色,墨玉黑
