セクション,項目,思域 2025款 180TURBO CVT 智趣,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max,思域 2023款 HATCHBACK 240TURBO CVT极跃版,思域 2023款 HATCHBACK 240TURBO CVT极锐版,思域 2023款 HATCHBACK 240TURBO 手动极劲版,思域 2023款 240TURBO CVT劲势版,思域 2023款 240TURBO CVT劲动·C位客特别版,思域 2023款 240TURBO CVT劲控·C位客特别版,思域 2023款 HATCHBACK 240TURBO CVT极锋版,思域 2023款 HATCHBACK 2.0L e:HEV 极曜版,思域 2023款 HATCHBACK 2.0L e:HEV 极控版,思域 2023款 2.0L e:HEV 先锋版,思域 2023款 2.0L e:HEV 锐力版,思域 2023款 2.0L e:HEV 劲速版,思域 2022款 180TURBO CVT尚动版,思域 2022款 180TURBO CVT尚擎版,思域 2022款 240TURBO CVT劲骋版,思域 2022款 240TURBO CVT劲动版,思域 2022款 240TURBO CVT燃动版,思域 2022款 240TURBO CVT劲控版,思域 2022款 240TURBO CVT燃擎版
被动安全,膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 前排,● 前排,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
主动安全,低速行车警告,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济
驾驶操控,发动机启停技术,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●
驾驶操控,能量回收系统,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,-,● 前- / 后,● 前- / 后,-,-,● 前- / 后,-,-,-,-,-,● 前- / 后,-,-,-,-,● 前- / 后,● 前- / 后,-,-,-,-,-,● 前- / 后,● 前- / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像 车侧盲区影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像 车侧盲区影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,-,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 2个,● 2个,● 2个,● 2个,● 2个,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,-,-,-,● 4个,● 4个,-,-,● 4个,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,-,-,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,-,● Honda SENSING,● Honda SENSING,-,-,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING
驾驶功能,辅助驾驶等级,-,-,-,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,-,-,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,●,●,-,●,-,●,-,-,●,●,●,-,●,-,●,●,-,-,-,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,并线辅助,-,-,-,●,●,●,-,●,-,●,-,-,●,●,●,-,●,-,●,●,-,-,-,●,-,●,●
驾驶功能,车道保持辅助系统,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
驾驶功能,车道居中保持,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
驾驶功能,道路交通标识识别,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,-,● 运动风格,● 运动风格,-,● 运动风格,● 运动风格,-,-,-,-,-,-,-,-,-,-,● 运动风格,● 运动风格,-,-,-,-,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 矩阵式,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,●,●,●,●,●,-,●,●,-,-,-,●,●,●,-,●,●,-,-,-,-,-,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,●,-,-,●,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 前排,● 前排,● 前排,● 全车,● 全车,● 前排,● 前排,● 全车,● 前排,● 前排,● 全车,● 前排,● 前排,● 全车,● 全车,● 前排,● 全车,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,●,●,●,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 电动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,车载智能系统,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车灯控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,-,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,主动降噪,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 真皮,● 真皮,● 塑料,● 真皮,● 真皮,● 塑料,● 皮质,● 皮质,● 塑料,● 塑料,● 真皮,● 皮质,● 塑料,● 皮质,● 塑料,● 真皮,● 真皮,● 塑料,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 7英寸,● 7英寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
