セクション,項目,腾势D9 2025款 DM-i 两驱行政版,腾势D9 2025款 EV 智驾版 600 四驱尊贵型,腾势D9 2025款 EV 智驾版 600 四驱旗舰型,腾势D9 2025款 DM-i 两驱尊航型,腾势D9 2025款 DM-i 四驱尊航型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊贵型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊荣型,腾势D9 2025款 DM-i 智驾版 1020 四驱旗舰型,腾势D9 2025款 DM-i 四驱至尊型,腾势D9 2025款 DM-i 智驾版 1100 豪华型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊享型,腾势D9 2025款 EV 两驱尊航型,腾势D9 2025款 EV 智驾版 620 豪华型,腾势D9 2024款 EV 620 尊享型,腾势D9 2024款 DM-i 970 豪华型,腾势D9 2024款 DM-i 980 四驱尊贵型,腾势D9 2024款 PIONEER 四座创领版,腾势D9 2024款 DM-i 980 四驱尊荣型
主动安全,哨兵模式/千里眼,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,发动机启停技术,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 三目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,车内摄像头数量,-,1个 3个,● 4个,-,○ 2个,1个 3个,● 3个,● 4个,● 4个,-,○ 2个,-,-,-,-,○ 2个,● 2个,○ 2个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 8个,● 8个,● 8个,● 12个,● 8个
驾驶硬件,毫米波雷达数量,● 3个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 3个,● 3个,● 3个,● 5个,● 3个
驾驶硬件,激光雷达数量,-,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 1个,● 1个,-,● 1个,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 腾势Pilot,● DiPilot 300,● DiPilot 300,● DiPilot 100,● DiPilot 300,● DiPilot 300,● DiPilot 300,● DiPilot 300,● DiPilot 300,● DiPilot 100,● DiPilot 300,● DiPilot 100,● DiPilot 100,● 腾势Pilot,● 腾势Pilot,● 腾势Pilot,● 腾势Pilot,● 腾势Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
驾驶功能,辅助变道,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
驾驶功能,信号灯识别,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
驾驶功能,方向盘离手检测,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
驾驶功能,辅助驾驶路段,-,● 城市路段 高速路段,● 城市路段 高速路段,● 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 高速路段,● 城市路段 高速路段,● 高速路段,● 高速路段,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,投影感应开启,-,-,● 后排车门 后备厢,-,-,-,-,● 后排车门 后备厢,● 后排车门 后备厢,-,-,-,-,-,-,-,-,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,-,-,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗,● 电动天窗 不可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,后排侧窗遮阳帘,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080
屏幕/系统,副驾娱乐屏尺寸,-,-,● 10.25英寸,-,-,-,-,● 10.25英寸,● 10.25英寸,-,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音助手唤醒词,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势,● 你好，腾势
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 六区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,○,●,○
屏幕/系统,隐私声盾,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● 腾势Link,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● 腾势Link,● 腾势Link,● 腾势Link,● 腾势Link,● 腾势Link
屏幕/系统,后排液晶屏幕,-,○,●,-,○,○,●,●,●,-,○,-,-,-,-,○,●,○
屏幕/系统,后排液晶屏幕尺寸,-,○ 双12.8英寸 (8000元),● 双12.8英寸,-,○ 双12.8英寸 (8000元),○ 双12.8英寸 (8000元),● 双12.8英寸,● 双12.8英寸,● 双12.8英寸,-,○ 双12.8英寸 (8000元),-,-,-,-,○ 双12.8英寸,● 32英寸,○ 双12.8英寸
屏幕/系统,后排液晶屏幕类型,-,○ LCD,● LCD,-,○ LCD,○ LCD,● LCD,● LCD,● LCD,-,○ LCD,-,-,-,-,○ LCD,-,○ LCD
屏幕/系统,后排液晶屏幕分辨率,-,○ 1920x1080,● 1920x1080,-,○ 1920x1080,○ 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,-,○ 1920x1080,-,-,-,-,○ 1920x1080,-,○ 1920x1080
屏幕/系统,后排多媒体屏幕数量,-,○ 2个,● 2个,-,○ 2个,○ 2个,● 2个,● 2个,● 2个,-,○ 2个,-,-,-,-,○ 2个,● 1个,○ 2个
屏幕/系统,后排控制多媒体,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车内生物监测系统,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
