セクション,項目,凯美瑞 2026款 双擎 2.0HE 精英版,凯美瑞 2026款 双擎 2.0HGVP 豪华版,凯美瑞 2026款 双擎 2.0HG 尊贵版,凯美瑞 2026款 双擎 2.0HG 光辉版,凯美瑞 2026款 双擎 2.0HSE 运动Lite版,凯美瑞 2026款 双擎 2.0HS 运动版,凯美瑞 2026款 双擎 2.0HXS 运动Plus版,凯美瑞 2026款 双擎 2.0HXS 光辉版,凯美瑞 2026款 2.0E 精英版,凯美瑞 2026款 2.0GVP 豪华版,凯美瑞 2026款 2.0G 尊贵版,凯美瑞 2026款 2.0S 运动版,凯美瑞 2026款 双擎 2.5HG 尊贵版,凯美瑞 2026款 双擎 2.5HXS 运动Plus版,凯美瑞 2026款 双擎 2.5HQ 旗舰版,凯美瑞 2025款 双擎 2.0HG 光辉版,凯美瑞 2025款 双擎 2.0HXS 光辉版,凯美瑞 2025款 双擎 2.5HG 尊贵智行版,凯美瑞 2025款 双擎 2.5HXS 运动Plus智行版
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,-,○,○,-,○,○,○,-,-,-,-,○,○,●,-,-,●,●
外观/防盗,外观套件,-,-,-,-,● 运动风格,● 运动风格,● 运动风格,● 运动风格,-,-,-,● 运动风格,-,● 运动风格,-,-,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,遥控钥匙 蓝牙钥匙 (1000元),● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙 (1000元),● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 电动天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 电动天窗,● 电动天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式电动天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,-,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 手动,-,-,-,-
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,-,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,-,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗
屏幕/系统,语音助手唤醒词,-,-,● 你好，小悦,● 你好，小悦,-,● 你好，小悦,● 你好，小悦,● 你好，小悦,-,-,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦
屏幕/系统,语音免唤醒词,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,-,-,● 双区域,● 双区域,-,● 双区域,● 双区域,● 双区域,-,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,-,-,○,○,-,○,○,○,-,-,-,-,○,○,●,-,-,●,●
屏幕/系统,声纹识别,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
屏幕/系统,应用商店,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
屏幕/系统,车机智能芯片,-,-,● 高通骁龙8155,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
屏幕/系统,车机系统内存(GB),-,-,● 12,● 12,-,● 12,● 12,● 12,-,-,● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),-,-,● 128,● 128,-,● 128,● 128,● 128,-,-,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,-,-,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
方向盘/内后视镜,方向盘材质,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,手动上下+前后调节 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,手动上下+前后调节 电动上下+前后调节,手动上下+前后调节 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,○,-,-,○,○,●,-,-,-,-,●,●,●,-,-,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 真皮 仿皮,● 皮/翻毛材质混搭,● 真皮 仿皮,● 皮/翻毛材质混搭,● 真皮 仿皮,● 真皮 仿皮,● 皮/翻毛材质混搭,● 真皮 仿皮,● 皮/翻毛材质混搭
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,○ 加热 通风,-,-,○ 加热 通风,○ 加热 通风,● 加热 通风,-,-,-,-,● 加热 通风,● 加热 通风,● 加热 通风,-,-,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,○ 驾驶位,-,-,○ 驾驶位,○ 驾驶位,● 驾驶位,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 靠背调节,-,-,-,-
座椅配置,第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
座椅配置,后排座椅放倒形式,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● JBL,-,● Dynaudio丹拿,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 11喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,● 单色,● 单色,● 64色,● 64色,● 单色,● 64色,● 64色,● 64色,● 单色,● 单色,● 单色,● 单色,● 64色,● 64色,● 64色,● 64色,● 64色,单色 64色,单色 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,●,●,-,●,●,●,-,-,-,-,●,●,●,●,●,○,○
空调/冰箱,空气质量监测,-,-,○,-,-,○,○,●,-,-,-,-,●,●,●,-,-,●,●
