セクション,セクション_ja,項目,項目_ja,2026年モデル 525Li ラグジュアリーセット,2026年モデル 525Li Mスポーツセット,2026年モデル 530Li 先進型 ラグジュアリーセット,2026年モデル 530Li 先進型 Mスポーツセット,2026年モデル 530Li xDrive Mスポーツセット,2026年モデル 530Li プレミアム型 ラグジュアリーセット,2026年モデル 530Li プレミアム型 Mスポーツセット,2025年モデル 525Li ラグジュアリーセット,2025年モデル 525Li Mスポーツセット,2025年モデル 530Li 先進型 ラグジュアリーセット,2025年モデル 530Li 先進型 Mスポーツセット,2025年モデル 530Li xDrive ラグジュアリーセット,2025年モデル 530Li xDrive Mスポーツセット,2025年モデル 530Li プレミアム型 ラグジュアリーセット,2025年モデル 530Li プレミアム型 Mスポーツセット
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度パノラマカメラ,バックカメラ・360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,バックカメラ・360度パノラマカメラ,バックカメラ・360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ,● 360度パノラマカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,単眼・双眼,単眼・双眼,単眼・双眼,単眼・双眼,単眼・双眼,● 双眼,● 双眼,単眼・双眼,単眼・双眼,単眼・双眼,単眼・双眼,単眼・双眼,単眼・双眼,● 双眼,● 双眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,2個・6個,2個・6個,5個・6個,5個・6個,5個・6個,● 6個,● 6個,2個・6個,2個・6個,5個・6個,5個・6個,5個・6個,5個・6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,1個・2個（2100元）,1個・2個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,○ 1個（2100元）,1個・2個（2100元）,1個・2個（2100元）
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,3個・5個,3個・5個,3個・5個,3個・5個,3個・5個,● 5個,● 5個,3個・5個,3個・5個,3個・5個,3個・5個,3個・5個,3個・5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール・全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,○,○,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,●,●,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,○ （1.55万元）,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,○,○,○,○,○,●,●,○,○,○,○,○,○,●,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,● スポーツスタイル,-,● スポーツスタイル,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,"○ 前席（7,600元）","○ 前席（7,600元）",● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,"○（6,100元）","○（6,100元）","○（6,100元）","○（6,100元）","○（6,100元）",●,●,"○（6,100元）","○（6,100元）","○（6,100元）","○（6,100元）","○（6,100元）","○（6,100元）",●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,星空天窗,スターライトサンルーフ,"○（7,300元）","○（7,300元）","○（7,300元）","○（7,300元）","○（7,300元）",●,●,"○（7,300元）","○（7,300元）","○（7,300元）","○（7,300元）","○（7,300元）","○（7,300元）",●,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,○,○,○,○,○,●,●,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶モニター,-,-,-,-,-,○,○,-,-,-,-,-,-,○,○
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶モニターサイズ,-,-,-,-,-,"○ 31インチ（33,800元）","○ 31インチ（33,800元）",-,-,-,-,-,-,"○ 31インチ（33,800元）","○ 31インチ（33,800元）"
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディアコントロール,-,-,-,-,-,○,○,-,-,-,-,-,-,○,○
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク対応,"4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）",4G 5G,4G 5G,"4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）","4G 5G（3,100元）",4G 5G,4G 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","ドアコントロール 車両始動（3,100元） エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● 本革,● レザー調,● 本革,● 本革,● レザー調,● 本革,● レザー調,● 本革,● レザー調,● 本革,● レザー調,● 本革,● レザー調,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,"○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）","○（2,600元）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,"○（10,800元）","○（10,800元）","○（10,800元）","○（10,800元）","○（10,800元）",●,●,"○（10,800元）","○（10,800元）","○（10,800元）","○（10,800元）","○（10,800元）","○（10,800元）",●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,HDMI Type-C,HDMI Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,HDMI Type-C,HDMI Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席 後席,● 前席 後席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席 後席,● 前席 後席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
