セクション,項目,宝马5系 2026款 525Li 豪华套装,宝马5系 2026款 525Li M运动套装,宝马5系 2026款 530Li 领先型 豪华套装,宝马5系 2026款 530Li 领先型 M运动套装,宝马5系 2026款 530Li xDrive M运动套装,宝马5系 2026款 530Li 尊享型 豪华套装,宝马5系 2026款 530Li 尊享型 M运动套装,宝马5系 2025款 525Li 豪华套装,宝马5系 2025款 525Li M运动套装,宝马5系 2025款 530Li 领先型 豪华套装,宝马5系 2025款 530Li 领先型 M运动套装,宝马5系 2025款 530Li xDrive 豪华套装,宝马5系 2025款 530Li xDrive M运动套装,宝马5系 2025款 530Li 尊享型 豪华套装,宝马5系 2025款 530Li 尊享型 M运动套装
外后视镜,外后视镜功能,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸,● 14.9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,○,○,○,○,○,●,●,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,车机智能芯片,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P
屏幕/系统,后排液晶屏幕,-,-,-,-,-,○,○,-,-,-,-,-,-,○,○
屏幕/系统,后排液晶屏幕尺寸,-,-,-,-,-,○ 31英寸 (3.38万元),○ 31英寸 (3.38万元),-,-,-,-,-,-,○ 31英寸 (3.38万元),○ 31英寸 (3.38万元)
屏幕/系统,后排控制多媒体,-,-,-,-,-,○,○,-,-,-,-,-,-,○,○
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G,4G 5G,4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G (3100元),4G 5G,4G 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●
智能化配置,手机APP远程功能,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,车门控制 车辆启动 (3100元) 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）
方向盘/内后视镜,方向盘材质,● 皮质,● 真皮,● 皮质,● 真皮,● 真皮,● 皮质,● 真皮,● 皮质,● 真皮,● 皮质,● 真皮,● 皮质,● 真皮,● 皮质,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元),○ (2600元)
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (1.08万元),○ (1.08万元),○ (1.08万元),○ (1.08万元),○ (1.08万元),●,●,○ (1.08万元),○ (1.08万元),○ (1.08万元),○ (1.08万元),○ (1.08万元),○ (1.08万元),●,●
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,HDMI Type-C,HDMI Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,HDMI Type-C,HDMI Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排 后排,● 前排 后排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排 后排,● 前排 后排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) (2400元),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热 通风,● 加热 通风,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿 (6000元),○ Harman/Kardon哈曼卡顿 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),● Bowers & Wilkins宝华韦健,● Bowers & Wilkins宝华韦健,○ Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),○ Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),Harman/Kardon哈曼卡顿 Bowers & Wilkins宝华韦健 (6000元),● Bowers & Wilkins宝华韦健,● Bowers & Wilkins宝华韦健
音响/车内灯光,扬声器数量,6喇叭 12喇叭,6喇叭 12喇叭,12喇叭 18喇叭,12喇叭 18喇叭,12喇叭 18喇叭,● 18喇叭,● 18喇叭,12喇叭 18喇叭 待查,12喇叭 18喇叭 待查,12喇叭 18喇叭,12喇叭 18喇叭,12喇叭 18喇叭,12喇叭 18喇叭,● 18喇叭,● 18喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○ (5600元),○ (5600元),○ (5600元),○ (5600元),○ (5600元),●,●,○ (5600元),○ (5600元),○ (5600元),○ (5600元),○ (5600元),○ (5600元),●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥8000 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥8000 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥8000 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥8000 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥8000 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 岩石灰,宝石青 矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰,矿石白 碳黑色 量子蓝 闪耀铜灰 磨砂纯灰 ￥23100 砂金石红 岩石灰
颜色,内饰颜色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,勃艮第红 铜棕色/阿特拉斯灰 勃艮第红/黑色 海蓝/黑色,勃艮第红 铜棕色/阿特拉斯灰 勃艮第红/黑色 海蓝/黑色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色 勃艮第红 深咖啡色,铜棕色/阿特拉斯灰 勃艮第红/黑色 海蓝/黑色,铜棕色/阿特拉斯灰 勃艮第红/黑色 海蓝/黑色
选装包,智能泊车辅助Pro套装,○ 包含：智能泊车辅助系统Pro、具自动防眩目功能的驾驶员侧外部后视镜 选配 (6900元),○ 包含：智能泊车辅助系统Pro、具自动防眩目功能的驾驶员侧外部后视镜 选配 (6900元),-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,金色外观套装,○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),-,-,-,○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),○ 包含:19英寸空气动力学轮圈，934型轮辐，泰坦金、泰坦金外装组件 选配 (8800元),-,-,-,-
选装包,曜夜套装,-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),-,-,-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元),-,○ 包含：个性化定制黑色高光装饰条、个性化定制黑色高光外装组件 选配 (2000元)
选装包,高配金色外观套装,-,-,-,-,○ 泰坦金外装组件、20英寸空气动力学轮圈，937型轮辐，泰坦金 选配 (13000元),-,○ 包含：20英寸空气动力学轮圈、937型轮、泰坦金、泰坦金外装组件 选配 (6800元),-,-,-,-,○ 泰坦金外装组件、20英寸空气动力学轮圈，937型轮辐，泰坦金 选配 (13000元),○ 泰坦金外装组件、20英寸空气动力学轮圈，937型轮辐，泰坦金 选配 (13000元),-,○ 包含：20英寸空气动力学轮圈、937型轮、泰坦金、泰坦金外装组件 选配 (6800元)
选装包,舒适套装,-,-,-,-,-,-,-,○ 包含：无钥匙进入（含BMW数字钥匙）、自动泊车辅助系统Pro、具自动防眩目功能的驾驶员侧外部后视镜、Harman/Kardon高端音响系统 选配 (16500元),○ 包含：无钥匙进入（含BMW数字钥匙）、自动泊车辅助系统Pro、具自动防眩目功能的驾驶员侧外部后视镜、Harman/Kardon高端音响系统 选配 (16500元),-,-,-,-,-,-
