セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 128KM 進取型,2026年モデル DM i 128KM 先進型,2025年モデル EV 545KM 雲輦型,2025年モデル EV 470KM 先進型,2025年モデル EV 545KM 超越型,2025年モデル EV 545KM 卓越型,2025年モデル DM i 智駕版 80KM 先進型,2025年モデル DM i 智駕版 80KM 超越型,2025年モデル DM i 智駕版 120KM 先進型,2025年モデル DM i 智駕版 120KM 超越型,2025年モデル DM i 智駕版 120KM 卓越型,2025年モデル DM i 智駕版 120KM 領航版
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,●,●,●,●,●,-,-,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,● サスペンション硬さ調整,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● NVIDIA Orin-N,-,-,-,-,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,● 84 TOPS,-,-,-,-,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 4個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 6個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）,● 百度（Baidu）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,-,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,-,-,-,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,自動ヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウインドウ昇降機能,● 運転席,● 運転席,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席＋照明 助手席＋照明,● 運転席 助手席,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 助手席,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,-,-,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,-,-,-,● 雨量感知式,● 雨量感知式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 後方ミラー加熱,● 電動調整 後方ミラー加熱,● 電動調整 電動格納 ミラーメモリー 加熱機能 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 加熱機能 鍵施錠時自動格納,● 電動調整 電動格納 加熱機能 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー 加熱機能 バック時自動下向き 鍵施錠時自動格納,● 電動調整 後方ミラー加熱,● 電動調整 後方ミラー加熱,● 電動調整 後方ミラー加熱,● 電動調整 電動格納 加熱機能 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー 加熱機能 バック時自動下向き 鍵施錠時自動格納,● 電動調整 後方ミラー加熱
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,● HUAWEI HiCar対応 Carlink対応,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,-,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,● BYD D100,-,-,-,-,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認/診断 位置情報/車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,-,-,●,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,● 12インチ,-,-,● 12インチ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,-,-,● 前席,-,-,-,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,-,-,● 50W,-,-,-,● 15W,● 15W,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（4方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（4方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（2方向）,● 前後調整、背もたれ調整、高さ調整（4方向）,● 前後調整、背もたれ調整、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整,● 前後調整、背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター・ベンチレーション,-,-,● シートヒーター・ベンチレーション,-,-,-,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,● 運転席,-,-,● 運転席,-,-,-,-,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,-,●,●,-,-,-,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,-,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 多色展開,-,-,● 多色展開,-,-,-,-,● 多色展開,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,●,●,●,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,●,●,●,●,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●
