セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Pro+4WD 6人乗り,2026年モデル 増程 Max4WD 6人乗り,2026年モデル 増程 Ultra4WD 6人乗り,2026年モデル 増程 Pro+4WD 5人乗り,2026年モデル 増程 Max4WD 5人乗り,2026年モデル 増程 Ultra4WD 5人乗り,2026年モデル 純電 Max長距離版 6人乗り,2026年モデル 純電 Max長距離版 5人乗り,2026年モデル 純電 Max4WD 6人乗り,2026年モデル 純電 Ultra4WD 6人乗り,2026年モデル 純電 Max4WD 5人乗り,2026年モデル 純電 Ultra4WD 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 6人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 5人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 6人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 6人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 5人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 6人乗り
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,Huawei ジャイアントホエール,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),175,255,255,175,255,255,-,-,-,-,-,-,190,190,170,170,175,175,162,162
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),208,315,315,208,315,315,710,710,660,635,660,635,230,230,200,200,240,240,210,210
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1205,1290,1290,1345,1435,1435,-,-,-,-,-,-,1140,1140,1045,1045,1150,1150,1050,1050
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1350,1465,1465,1510,1625,1625,-,-,-,-,-,-,1290,1290,1240,1240,1300,1300,1250,1250
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),37,53.4,53.4,37,53.4,53.4,100,100,100,100,100,100,38.5,38.5,38.5,38.5,42,42,42,42
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),22.1,23.1,23.1,22.1,23.1,23.1,15.7,15.7,16.9,17.4,16.9,17.4,-,-,-,-,20.8,20.8,21.4,21.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,-,-,-,対応,対応,対応,対応,対応,対応,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,400,400,400,400,400,400,800,800,800,800,800,800,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,-,-,-,-,-,-,-,-,-,4.5,4.5,4.5,4.5,5,5,5,5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,30-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),-,-,-,-,-,-,-,-,-,-,-,-,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション,● マクファーソンストラット独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 275/50 R20
○ 285/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,-,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 10個,● 10個,● 10個,● 10個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 5個,● 5個,● 3個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,ライダー（LiDAR）ブランド,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,-,-,-,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,● 2個,● 2個,-,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,-,-,-,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,-,● 192ライン,● 192ライン,-,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,● 192ライン,-,-,-,-,● 192ライン,● 192ライン,● 192ライン,● 192ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,レーザーレーダー10%反射率検出距離,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 180m,● 180m,● 180m,● 180m
驾驶硬件,運転ハードウェア,激光雷达点云数量,レーザーレーダーポイントクラウド数,-,● 184万回／秒,● 184万回／秒,-,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒,-,-,-,-,● 184万回／秒,● 184万回／秒,● 184万回／秒,● 184万回／秒
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,-,● 250m,● 250m,-,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m,-,-,-,-,● 250m,● 250m,● 250m,● 250m
