セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2026年モデル 380T 4WD ラグジュアリー 7人乗り,2026年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2024年モデル 380T 4WD ラグジュアリー 7人乗り,2024年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 380T 4WD プレステージ 7人乗り
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/65 R18タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式,● 底面装着式
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適 オフロード 雪道,● スポーツ エコ ノーマル/快適 オフロード 雪道,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適,● スポーツ エコ ノーマル/快適 オフロード 雪道,● スポーツ エコ ノーマル/快適 オフロード 雪道,● スポーツ エコ ノーマル/快適 オフロード 雪道
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,● 前席／後席,● 前席／後席,-,● 前席／後席,-,-,-,● 前席／後席,-,-,● 前席／後席,● 前席／後席,-,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,-,-,● バックカメラ,● バックカメラ,-,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 2個,● 2個,● 2個,● 2個,● 2個,● 5個,● 5個,● 2個,● 5個,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,-,-,-,-,-,● 1個,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー台数,-,-,-,-,-,● 8個,● 8個,-,● 8個,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,-,-,-,-,-,-,-,-,● バイドゥ,-,-,● バイドゥ,● バイドゥ,-,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキー（キー不要）,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明,● 運転席＋照明 助手席＋照明
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-,-,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ
