セクション,項目,汉兰达 2026款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2026款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2026款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2026款 380T 四驱豪华版 7座,汉兰达 2026款 380T 四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎两驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2024款 380T 四驱豪华版 7座,汉兰达 2024款 380T 四驱尊贵版 7座,汉兰达 2024款 380T 四驱至尊型 7座
驾驶硬件,前/后驻车雷达,-,-,-,-,-,● 前 / 后,● 前 / 后,-,● 前 / 后,-,-,-,● 前 / 后,-,-,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,-,-,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,-,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 5个,● 5个,● 2个,● 5个,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,● 1个,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,-,-,-,-,-,● 8个,● 8个,-,● 8个,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
驾驶功能,地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,● 百度,-,-,● 百度,● 百度,-,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,感应后备厢,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,电动后备厢位置记忆,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
外观/防盗,车顶行李架,-,-,●,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,-,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,-,-,-,● 多媒体系统 导航 电话 空调 天窗,-,-,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,-,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗
屏幕/系统,语音助手唤醒词,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,● 你好，小悦,-,-,-,● 你好，小悦,-,-,● 你好，小悦,● 你好，小悦,-,● 你好，小悦,● 你好，小悦
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,-,● 双区域,-,-,● 双区域,● 双区域,-,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,面部识别,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
屏幕/系统,声纹识别,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,车机智能芯片,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,-,-,-,● 高通骁龙8155,-,-,● 高通骁龙8155,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155
智能化配置,车联网,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,-,● 4G,-,-,● 4G,● 4G,-,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,220V/230V电源,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-,-,-,-,-,-,-,-
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮 仿皮,● 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 织物,● 织物,● 真皮 仿皮,● 真皮 仿皮,● 织物,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮,● 真皮 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,-,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热 通风,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,-,-,● 加热,● 加热,-,● 加热,● 加热,● 加热 通风,● 加热,● 加热,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,● 驾驶位,-,-,-,-,-,-,-,-,-,● 驾驶位,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,●,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅功能,-,-,-,-,-,● 加热,● 加热,-,● 加热,-,-,-,-,-,-,-,● 加热,-,-,● 加热
座椅配置,第三排座椅调节,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅布局,-,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,-,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
