セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI MT快適仕様 5人乗り,2025年モデル 卓越版 230TCI MT快適仕様 7人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 5人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 7人乗り,2025年モデル 290TGDI AT快適仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 7人乗り,2024年モデル 230TCI ATトレンド仕様 5人乗り,2024年モデル 230TCI ATトレンド仕様 7人乗り,2024年モデル 230TCI AT新鋭仕様 5人乗り,2024年モデル 230TCI AT新鋭仕様 7人乗り,2026年モデル 虎型 鯤鵬310TGDI AT快適タイプ,2026年モデル 虎型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 虎型 鯤鵬310TGDI AT上級タイプ,2026年モデル 虎型 鯤鵬310TGDI ATフラッグシップタイプ,2026年モデル 豹型 鯤鵬310TGDI AT快適タイプ,2026年モデル 豹型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 豹型 鯤鵬310TGDI AT上級タイプ,2026年モデル 豹型 鯤鵬310TGDI ATフラッグシップタイプ
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-,-,-,-,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-,-,-,-,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●,●,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,-,-,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコ／標準・快適モード,-,-,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード,● スポーツ／エコ／標準・快適モード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前後（区分）,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,-,-,-,-,-,-,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個,● 4個,● 4個,● 4個,● 4個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 4個,● 5個,● 5個,● 5個,● 4個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 2個,-,-,-,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,-,-,-,-,-,-,-,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,● 高徳（Gaode）,-,-,-,-,-,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精地图,高精度地図,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,● LED,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,-,-,-,-,-,-,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前席,-,-,-,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,-,-,-,-,-,-,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整,● 電動調整,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納,● 電動調整・電動格納・ドアミラーヒーター・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 13.2インチ,● 13.2インチ,● 13.2インチ,● 13.2インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・CarLife対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・HUAWEI HiCar対応・Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,-,-,-,-,-,-,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・シートヒーター・シートベンチレーション・シートマッサージ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,-,-,"● ハイ、小奇（Hi, 小奇）",-,-,-,-,-,-,"● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）","● ハイ、小奇（Hi, 小奇）"
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,-,-,● デュアルゾーン,-,-,-,-,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● 4ゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識機能,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,-,-,-,● 雄獅システム,-,-,-,-,-,-,● 雄獅システム,● 雄獅システム,● 雄獅システム,● 雄獅システム,● 雄獅システム,● 雄獅システム,● 雄獅システム,● 雄獅システム
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,-,-,-,-,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
智能化配置,スマート機能装備,车联网,車載ネットワーク,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,-,● 4G,-,-,-,-,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,-,-,-,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,-,-,-,-,-,-,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー,● 電子式コラムシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
