セクション,項目,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动舒适型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 虎款 鲲鹏1.6T 自动旗舰型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动豪华型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动尊贵型,瑞虎8 2026款 第五代 豹款 鲲鹏1.6T 自动旗舰型,瑞虎8 2025款 卓越版 230TCI 手动舒适版 5座,瑞虎8 2025款 卓越版 230TCI 手动舒适版 7座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 5座,瑞虎8 2025款 卓越版 230TCI 自动豪华版 7座
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,USB/Type-C最大充电功率,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,-,-,-,-
车内充电,手机无线充电功能,-,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-
车内充电,手机无线充电功率,-,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-
车内充电,行李厢12V电源接口,-,-,-,-,●,-,-,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● / 副-,-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副-,主 ● / 副-,主 ● / 副-
座椅配置,前排座椅功能,-,-,-,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩",● 加热,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,●,-,-,●,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,"● 前后调节
● 靠背调节"
座椅配置,后排小桌板,-,-,-,-,●,-,-,●,-,-,-,-
座椅配置,第三排座椅调节,-,-,-,-,-,-,-,-,-,● 靠背调节,-,● 靠背调节
座椅配置,座椅布局,-,-,-,-,-,-,-,-,-,● 2-3-2,-,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,-,● 多色,● 多色,-,● 多色,● 多色,-,-,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,-,-,-,●,●,-,●,●,-,-,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,●,-,-,●,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,●,-,-,●,-,-,-,-
空调/冰箱,车内香氛装置,-,-,-,-,●,-,-,●,-,-,-,-
空调/冰箱,空气质量监测,-,-,-,-,●,-,-,●,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–
