セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI 手動快適版 5人乗り,2025年モデル 卓越版 230TCI 手動快適版 7人乗り,2025年モデル 卓越版 230TCI 自動豪華版 5人乗り,2025年モデル 卓越版 230TCI 自動豪華版 7人乗り,2025年モデル 290TGDI 自動快適版 5人乗り,2024年モデル 230TCI 手動トレンド版 5人乗り,2024年モデル 230TCI 手動トレンド版 7人乗り,2024年モデル 230TCI 自動トレンド版 5人乗り,2024年モデル 230TCI 自動トレンド版 7人乗り,2024年モデル 230TCI 自動新鋭版 5人乗り,2024年モデル 230TCI 自動新鋭版 7人乗り
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,-,-,● デュアルゾーン（2ゾーン）,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,-,-,-,● 雄獅システム（Lionシステム）,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,-,-,-,-,●,-,-,-,-,-,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,-,● 4G対応,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,●,-,-,-,-,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,●,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,-,-,-,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 本革,● 本革,● 本革,● 本革,● 合皮,● 合皮
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●,●,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 前後調整 背もたれ調整,● 背もたれ調整,● 前後調整 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 前後調整 背もたれ調整,● 背もたれ調整,● 前後調整 背もたれ調整,● 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,第三排座椅调节,3列目シート調整,-,● 背もたれ調整,-,● 背もたれ調整,-,-,● 背もたれ調整,-,● 背もたれ調整,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,● 多色対応,● 多色対応,● 多色対応,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,●,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,パールホワイト マーキュリーグレー,パールホワイト マーキュリーグレー,パールホワイト マーキュリーグレー,パールホワイト マーキュリーグレー,パールホワイト オブシディアンブラック クォーツグレー クラウドグレー,パールホワイト オブシディアンブラック ファントムグレー,パールホワイト オブシディアンブラック ファントムグレー,パールホワイト オブシディアンブラック,パールホワイト,パールホワイト オブシディアンブラック,パールホワイト オブシディアンブラック
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック
