セクション,項目,深蓝S05 2026款 215Max增程版,深蓝S05 2026款 520Lite纯电版,深蓝S05 2026款 520Plus纯电版,深蓝S05 2026款 520Max纯电版,深蓝S05 2026款 520Ultra纯电版,深蓝S05 2026款 620Plus纯电版,深蓝S05 2026款 620Max纯电版,深蓝S05 2026款 620Ultra纯电版,深蓝S05 2024款 200Max增程远航版,深蓝S05 2024款 200Ultra增程远航版,深蓝S05 2024款 510Plus纯电版,深蓝S05 2024款 510Max纯电版,深蓝S05 2024款 510Ultra纯电版
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,-,-,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,向日葵旋转屏,-,-,-,-,●,-,-,●,-,●,-,-,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink 支持T-LINK,● 支持HUAWEI HiCar 支持Carlink 支持T-LINK
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 双区域,● 双区域,● 四区域,● 四区域,● 双区域,● 四区域,● 四区域,● 四区域,● 四区域,● 双区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,-,-,-,-,●,-,-,●,-,●,-,-,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 芯驰X9SP,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,-,-,●,●,-,●,●,●,●,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个
车内充电,手机无线充电功能,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节 腿托调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风,-,○ 加热 通风,● 加热 通风,● 加热 通风 按摩,○ 加热 通风,● 加热 通风,● 加热 通风 按摩,● 加热 通风,● 加热 通风,○ 加热 通风,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,-,○ 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,○ 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,○ 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,零重力座椅,-,-,-,-,● 副驾驶,-,-,● 副驾驶,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 14喇叭,● 8喇叭,● 8喇叭,● 14喇叭,● 8喇叭,● 14喇叭,● 8喇叭,● 8喇叭,● 14喇叭
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 2喇叭,● 1喇叭,● 1喇叭,● 2喇叭,● 1喇叭,● 2喇叭,● 1喇叭,● 1喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 64色,-,-,● 64色,-,● 64色,-,-,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,●,●,●,●,●,●,●,-,-,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,●,-,-,●,-,●,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,-,-,●,-,-,●,-,●,-,-,●
颜色,外观颜色,月晖白 流光银 荧月灰,月晖白 流光银 荧月灰,月晖白 流光银 荧月灰,月晖白 苍穹黑 流光银 荧月灰,月晖白 苍穹黑 流光银 荧月灰,月晖白 流光银 荧月灰,月晖白 苍穹黑 流光银 荧月灰,月晖白 苍穹黑 流光银 荧月灰,星辰蓝 月晖白 苍穹黑 流光银 荧月灰,星辰蓝 月晖白 苍穹黑 流光银 荧月灰,星辰蓝 月晖白 苍穹黑 流光银 荧月灰,星辰蓝 月晖白 苍穹黑 流光银 荧月灰,星辰蓝 月晖白 苍穹黑 流光银 荧月灰
颜色,内饰颜色,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/热浪橙,黑色/星岩灰 黑色/雾光蓝 黑色/热浪橙,黑色/星岩灰 黑色/雾光蓝 黑色/热浪橙,黑色/星岩灰 黑色/雾光蓝 黑色/热浪橙,黑色/星岩灰 黑色/雾光蓝 黑色/热浪橙,黑色/星岩灰 黑色/雾光蓝 黑色/热浪橙
选装包,科技舒享包,-,-,○ 包含：主驾2向电动腰部支撑、前排座椅记忆及礼让迎宾、女王副驾（电动腿托）、前排座椅坐垫通风/加热、前排座椅靠背通风/加热、外后视镜加热、外后视镜记忆功能、外后视镜电动折叠、外后视镜倒车下翻 选配 (3999元),-,-,○ 包含：主驾2向电动腰部支撑、前排座椅记忆及礼让迎宾、女王副驾（电动腿托）、前排座椅坐垫通风/加热、前排座椅靠背通风/加热、外后视镜加热、外后视镜记忆功能、外后视镜电动折叠、外后视镜倒车下翻 选配 (3999元),-,-,-,-,○ 包含：主驾2向电动腰部支撑，主驾座椅记忆及礼让迎宾，女王副驾（电动腿托），前排座椅坐垫通风/加热，前排座椅靠背通风/加热，外后视镜加热，外后视镜记忆功能，外后视镜电动折叠，外后视镜倒车下翻 选配 (3999元),-,-
选装包,光影记录包,-,-,-,-,○ 包含：DEEPAL 4K智趣云台相机、DEEPAL百万像素智趣光影大灯 选配 (4999元),-,-,○ 包含：DEEPAL 4K智趣云台相机、DEEPAL百万像素智趣光影大灯 选配 (4999元),-,-,-,-,-
选装包,20英寸运动轮毂套件,-,-,-,-,-,-,-,-,○ 包含：20英寸旋翼轮毂+马牌轮胎 选配 (3499元),○ 包含：20英寸旋翼轮毂+马牌轮胎 选配 (3499元),○ 包含：20英寸旋翼轮毂+马牌轮胎 选配 (3499元),○ 包含：20英寸旋翼轮毂+马牌轮胎 选配 (3499元),○ 包含：20英寸旋翼轮毂+马牌轮胎 选配 (3499元)
选装包,多彩记录包,-,-,-,-,-,-,-,-,○ 包含：DEEPAL 4K智趣云台相机 选配 (3999元),○ 包含：DEEPAL 4K智趣云台相机 选配 (3999元),○ 包含：DEEPAL 4K智趣云台相机 选配 (3999元),○ 包含：DEEPAL 4K智趣云台相机 选配 (3999元),○ 包含：DEEPAL 4K智趣云台相机 选配 (3999元)
