セクション,セクション_ja,項目,項目_ja,2026年モデル 215Max 増程版,2026年モデル 520Lite 純電動版,2026年モデル 520Plus 純電動版,2026年モデル 520Max 純電動版,2026年モデル 520Ultra 純電動版,2026年モデル 620Plus 純電動版,2026年モデル 620Max 純電動版,2026年モデル 620Ultra 純電動版,2024年モデル 200Max 増程遠航版,2024年モデル 200Ultra 増程遠航版,2024年モデル 510Plus 純電動版,2024年モデル 510Max 純電動版,2024年モデル 510Ultra 純電動版
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,-,-,-,● 1個,-,-,● 1個,-,● 1個,-,-,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）,● 12個（センサー）
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）,● 5個（カメラ）
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム,● Deepal AD PRO ディープブルー運転支援システム
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,-,-,●,●,-,●,●,●,●,-,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,●,-,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,-,-,●,●,-,●,●,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,-,-,●,●,-,●,●,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,-,-,-,-,-,-,-,-,●,●,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー,リモコンキー（399元） Bluetoothキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,-,-,●,●,-,●,●,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズグリル,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,-,○ ピクセル式,-,-,○ ピクセル式,-,● ピクセル式,-,-,● ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式（レインセンサー）,-,-,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,-,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）,-,● 雨量感応式（レインセンサー）,● 雨量感応式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度,● 2.5K解像度
屏幕/系统,ディスプレイ・システム,向日葵旋转屏,ヒマワリ回転式ディスプレイ,-,-,-,-,●,-,-,●,-,●,-,-,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応 T-LINK対応,● HUAWEI HiCar対応 Carlink対応 T-LINK対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）,● こんにちは、深藍（システム名）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 2ゾーン,● 2ゾーン,● 4ゾーン,● 4ゾーン,● 2ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 2ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識機能,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,-,-,-,-,●,-,-,●,-,●,-,-,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● チップス X9SP,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車両探索
智能化配置,スマート機能装備,车载KTV,車載KTV機能,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,-,-,●,●,-,●,●,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整,前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 レッグレスト調整,前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 レッグレスト調整,● 前後調整 背もたれ調整 レッグレスト調整
