セクション,セクション_ja,項目,項目_ja,2025年モデル 515 ロングレンジ Plus,2025年モデル 502 ロングレンジ Max,2025年モデル 620 ウルトラロングレンジ Plus,2025年モデル 600 ウルトラロングレンジ Max,2024年モデル 515 ロングレンジ,2024年モデル 620 ウルトラロングレンジ
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション マッサージ（運転席のみ）,● ヒーター ベンチレーション マッサージ（運転席のみ）,● ヒーター ベンチレーション マッサージ（運転席のみ）,● ヒーター ベンチレーション マッサージ（運転席のみ）,-,● ヒーター ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,7スピーカー 18スピーカー（4000元）,7スピーカー 18スピーカー（4000元）,7スピーカー 18スピーカー（4000元）,7スピーカー 18スピーカー（4000元）,7スピーカー 18スピーカー（4000元）,7スピーカー 18スピーカー（4000元）
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,-,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,暗夜ブラック 星雲ホワイト 星雨ブルー 星瀚ベージュ 星幕パープル 微月グレー,暗夜ブラック 星雲ホワイト 星雨ブルー 星瀚ベージュ 星幕パープル 微月グレー,暗夜ブラック 星雲ホワイト 星雨ブルー 星瀚ベージュ 星幕パープル 微月グレー,暗夜ブラック 星雲ホワイト 星雨ブルー 星瀚ベージュ 星幕パープル 微月グレー,暗夜ブラック 星雲ホワイト 星阙グレー 星耀ブルー 星瀚ベージュ,暗夜ブラック 星雲ホワイト 星阙グレー 星耀ブルー 星瀚ベージュ
颜色,カラー,内饰颜色,内装色,晨霧グレー 夜幕グレー 拂曉パープル,晨霧グレー 夜幕グレー 拂曉パープル,晨霧グレー 夜幕グレー 拂曉パープル,晨霧グレー 夜幕グレー 拂曉パープル,晨霧グレー 夜幕グレー 正午ブルー,晨霧グレー 夜幕グレー 正午ブルー
选装包,オプションパッケージ,PSS高级定制扬声器音响升级套装,PSS高級カスタムスピーカー音響アップグレードキット,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）,○ PSS高級カスタムスピーカーシステム（18スピーカー） -4個ツイーター -3個ミッドレンジ -6個サラウンドスピーカー -4個ウーファー、1個サブウーファー -1個独立アンプ 7.1.4チャンネルサラウンドサウンド（天空チャンネル付き） オプション（4000元）
