セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 105 Pro,2026年モデル Hi4 150 Pro,2026年モデル Hi4 150 Ultra,2026年モデル Hi4 200 Ultra,2026年モデル Hi4 150 Ultra リーダーエディション,2026年モデル Hi4 200 Ultra リーダーエディション,2024年モデル Hi4 102 Air,2024年モデル Hi4 102 Pro,2024年モデル Hi4 145 Pro,2024年モデル Hi4 145 クロスオーバーエディション
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード,● スポーツ、エコ、標準／快適、オフロード、スノーモード
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,○ リアデフロック（6000元オプション）,○ リアデフロック（6000元オプション）,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,● リアアクスルデフロック,-,○ リアデフロック（6000元オプション）,○ リアデフロック（6000元オプション）,● リアアクスルデフロック
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● フロント / リア,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● フロント / リア,● フロント / リア,● フロント / リア,フロント / リア
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,-,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,-,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● ステレオカメラ,● ステレオカメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 5個,● 5個,● 5個,● 5個,● 7個,● 7個,-,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 4個,● 8個,● 8個,● 8個,● 12個,● 12個,● 4個,● 4個,● 4個,4個 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 2個,● 2個,● 2個,● 2個,● 3個,● 3個,-,● 2個,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,-,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,-,-,-,●,●,-,-,-,○
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,●,●,-,-,-,○
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,-,-,-,●,●,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,-,-,-,-,●,●,-,-,-,○
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,-,-,●,●,-,-,-,○
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,-,●,●,-,-,-,○
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,-,-,-,-,● 高速道路区間,● 高速道路区間,-,-,-,○ 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子防盗装置,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全席エアコン,● 全席エアコン,● 全席エアコン,● 全席エアコン,● 全席エアコン,● 全席エアコン,● 運転席,● 全席エアコン,● 全席エアコン,● 全席エアコン
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,-,● 前席エアコン,● 前席エアコン,● 前席エアコン
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後部側面サンシェード,-,-,● 手動,● 手動,● 手動,● 手動,-,-,-,● 手動
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● CarPlay対応・純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● 純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● 純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● 純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応,● 純正連携/ミラーリング対応・HUAWEI HiCar対応・Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル,● こんにちは、ハヴァル
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し,● ドア操作・エンジン始動・ライト操作・エアコン操作・車両位置検索/呼出し
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,●,●,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ （2500元）,○ （2500元）,●,●,●,●,-,○ （2500元）,○ （2500元）,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,-,-,○ 9インチ,○ 9インチ,● 9インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,○ （500元）,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,● 前席エアコン,-,● 前席エアコン,● 前席エアコン,● 前席エアコン
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,●,●,●,●,●,●,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席調整方式,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（2方向）、ランバーサポート（2方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席調整方式,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング,● 前後調整、リクライニング
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ,● 運転席／助手席エアバッグ
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ,● 前後エアバッグ
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 10スピーカー,● 10スピーカー,● 10スピーカー,● 10スピーカー,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 単色,● 単色,● 単色,● 単色,-,-,-,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,●,●,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,●,●,●,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,●,●,●,●,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,●,●,●,-,-,-,●
颜色,カラー,外观颜色,外装色,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ゲンヤブラック、ユンジエングレー、スイボクコウナングレー、ミントグリーン,ランユエホワイト、ニチヨウゴールド、ゲンヤブラック、ユンジエングレー、ウンムチャザン、スイボクコウナングレー、ストームイエロー,ランユエホワイト、ニチヨウゴールド、ゲンヤブラック、ユンジエングレー、ウンムチャザン、スイボクコウナングレー、ストームイエロー,ランユエホワイト、ニチヨウゴールド、ゲンヤブラック、ユンジエングレー、ウンムチャザン、スイボクコウナングレー、ストームイエロー,ランユエホワイト、ニチヨウゴールド、ゲンヤブラック、ユンジエングレー、ウンムチャザン、スイボクコウナングレー、ストームイエロー
颜色,カラー,内饰颜色,内装色,ゲンブブラック、パールベージュ、アンバーブラウン,ゲンブブラック、パールベージュ、アンバーブラウン,ゲンブブラック、パールベージュ、アンバーブラウン,ゲンブブラック、パールベージュ、アンバーブラウン,ゲンブブラック、パールベージュ、アンバーブラウン,ゲンブブラック、パールベージュ、アンバーブラウン,ブラック、ブラック/ブラウン、ブラック/ベージュ,ブラック、ブラック/ブラウン、ブラック/ベージュ,ブラック、ブラック/ブラウン、ブラック/ベージュ,ブラック、ブラック/ブラウン、ブラック/ベージュ
