セクション,項目,雷凌 2024款 智能电混双擎 1.8L 领先版,雷凌 2024款 智能电混双擎 1.8L 豪华版,雷凌 2024款 智能电混双擎 1.8L 骑士版,雷凌 2024款 智能电混双擎 1.8L 运动版,雷凌 2024款 185T CVT豪华版,雷凌 2024款 185T CVT运动版,雷凌 2023款 TNGA 1.5L CVT进取版,雷凌 2023款 TNGA 1.5L CVT领先版,雷凌 2023款 TNGA 1.5L CVT豪华版,雷凌 2023款 TNGA 1.5L CVT运动版,雷凌 2023款 智能电混双擎 1.8L 领先版,雷凌 2023款 智能电混双擎 1.8L 豪华版,雷凌 2023款 智能电混双擎 1.8L 运动版
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,-,-,-,-,●,●,-,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 4.2英寸,● 4.2英寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 7英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,仪表盘屏幕材质,● TFT,● TFT,● TFT,● TFT,-,-,-,-,-,-,● TFT,● TFT,● TFT
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (600元),○ (600元),○ (600元),○ (600元),○,○,○,○,○,○,○ (600元),○ (600元),○ (600元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● USB,● USB,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,织物 仿皮,织物 仿皮,● 织物,● 仿皮,织物 仿皮,● 仿皮,● 织物,织物 仿皮,织物 仿皮,● 仿皮,织物 仿皮,织物 仿皮,● 仿皮
座椅配置,运动风格座椅,-,-,-,●,-,-,-,-,-,-,-,-,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,● 主 / 副-,-,-,-,-,-,● 主 / 副-,-,-,● 主 / 副-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,天际白 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 欧泊银 钛金灰,天际白 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 欧泊银 钛金灰,天际白 墨晶黑 铂金珍珠白 ￥2000,天际白 珊瑚红 墨晶黑 铂金珍珠白 ￥2000 欧泊银 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰,天际白 珊瑚红 星云紫 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赤焰红 ￥2000 钛金灰
颜色,内饰颜色,黑色,黑色,黑色,黑色 黑色/棕色,黑色 黑色/棕色 黑色/灰色,黑色 黑色/棕色 黑色/灰色,黑色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色
选装包,高级皮质选装包,○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),-,-,○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),-,-,○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),-,○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),○ 包含：高级皮质座椅/内门扶手/前排中央扶手、高级软质前门饰板 选配 (2000元),-
