セクション,セクション_ja,項目,項目_ja,2025年モデル 60km EM i 豪華版,2025年モデル 60km EM i 豪華版,2025年モデル 130km EM i 尊享版,2025年モデル 130km EM i 尊貴版,2025年モデル 130km EM i フラッグシップ版,2025年モデル 130km EM P 探索版,2025年モデル 130km EM P 星艦版
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・窓・シートヒーター・シートベンチレーション・シートマッサージ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）,● こんにちは、銀河（音声アシスタント名）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）,● デュアルゾーン（エアコン）
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,-,●,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）,● Flyme Auto（車載システム名）
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）,● 龍鷹一号（モデル名）
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・ステアリングヒーター・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作,● ドア操作・窓操作・エンジン始動・充電管理・ライト操作・エアコン操作・ステアリングヒーター・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索・マルチメディア操作
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,-,-,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,● 25.6インチ,-,● 25.6インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・高さ調整（4方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション・マッサージ機能,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション・マッサージ機能
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整,○ 前後調整・リクライニング調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,○,○,○,○,○,○,○
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ シートヒーター・ベンチレーション,○ シートヒーター・ベンチレーション,○ シートヒーター・ベンチレーション,○ シートヒーター・ベンチレーション,シートヒーター・ベンチレーション・マッサージ機能,○ シートヒーター・ベンチレーション,シートヒーター・ベンチレーション・マッサージ機能
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,8スピーカー・23スピーカー,8スピーカー・23スピーカー,8スピーカー・23スピーカー,8スピーカー・23スピーカー,8スピーカー・23スピーカー,8スピーカー・23スピーカー,8スピーカー・23スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 256色,● 256色,● 256色,● 256色,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,●
颜色,カラー,外观颜色,外装色,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト,霁海ブルー・山河グリーン・建盏ブラック・国墨グレー・点螺シルバー・天既ホワイト
颜色,カラー,内饰颜色,内装色,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー,檀木ブラウン・曜石グレー
