セクション,セクション_ja,項目,項目_ja,2025年モデル Pro 6人乗り,2025年モデル Max 6人乗り,2025年モデル Ultra 6人乗り,2025年モデル Pro 7人乗り,2025年モデル Max 7人乗り,2025年モデル Ultra 7人乗り
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢,● SkyOS・天枢
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,● 8インチ,● 8インチ 17.3インチ,● 8インチ 17.3インチ,● 8インチ,● 8インチ 17.3インチ,● 8インチ 17.3インチ
屏幕/系统,ディスプレイ・システム,后排液晶屏幕分辨率,後席液晶画面解像度,-,● 3K解像度,● 3K解像度,-,● 3K解像度,● 3K解像度
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 2個,● 2個,● 1個,● 2個,● 2個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,● 24,● 24,● 24,● 24
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） メンテナンス/修理予約
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,レザー 本革,● 本革,● 本革,レザー 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ画面,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップサイズ,● 35インチ,● 35インチ,● 35インチ,● 35インチ,● 35インチ,● 35インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席5個,● 前席2個／後席5個,● 前席2個／後席4個,● 前席2個／後席5個,● 前席2個／後席5個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,"本革（10,000元） 合成皮革",● 本革,● 本革,"本革（10,000元） 合成皮革",● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整,前後調整 背もたれ調整 高さ調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,●,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,"○ 2列目（右側）（12,000元）",● 2列目（右側）,-,-,-
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,-,-,-
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● ヒーター,● ヒーター,● ヒーター,● ヒーター,● ヒーター,● ヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2配列,● 2-2-2配列,● 2-2-2配列,● 2-3-2配列,● 2-3-2配列,● 2-3-2配列
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●,●,●
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,"● 1,600万色","● 1,600万色","● 1,600万色","● 1,600万色","● 1,600万色","● 1,600万色"
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000,雪峰白 静岳黒 岩脊茶 ￥8000 雲曦金 ￥8000 辰輝銀 ￥8000 凝夜紫 ￥8000
颜色,カラー,内饰颜色,内装色,雅黑 曜夜黒 ￥10000 雲綿米 ￥10000 月榕茶 ￥10000,曜夜黒 雲綿米 月榕茶,曜夜黒 雲綿米 月榕茶,雅黑 曜夜黒 ￥10000 雲綿米 ￥10000 月榕茶 ￥10000,曜夜黒 雲綿米 月榕茶,曜夜黒 雲綿米 月榕茶
选装包,オプションパッケージ,电池租用服务（60kWh电池包）,バッテリーレンタルサービス（60kWhバッテリーパック）,○ 含む：月額リース料599元 オプション（価格未定）,○ 含む：月額リース料599元 オプション（価格未定）,○ 含む：月額リース料599元 オプション（価格未定）,○ 含む：月額リース料599元 オプション（価格未定）,○ 含む：月額リース料599元 オプション（価格未定）,○ 含む：月額リース料599元 オプション（価格未定）
选装包,オプションパッケージ,电池租用服务（85kWh电池包）,バッテリーレンタルサービス（85kWhバッテリーパック）,"○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）","○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）","○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）","○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）","○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）","○ 含む：車両価格86,000元割引、月額リース料899元 オプション（価格未定）"
选装包,オプションパッケージ,全场景领航辅助(NOA)订阅￥320/月,全シーンナビ支援(NOA)サブスクリプション￥320/月,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）,○ 含む：能動的防御運転、自動上下ランプ、自動車線変更・追い越し、自動ナビルートに基づく車線変更、自動合流回避、障害物の車線跨ぎ回避、信号機交差点の通過および左右折、無信号交差点の通過および左右折、開放交差点通過、ラウンドアバウト、Uターンなどの走行シーン オプション（価格未定）
选装包,オプションパッケージ,云缦米主题豪华内饰套装,ユンマンベージュテーマ高級内装セット,"○ 含む：EUCALY浮光本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-,"○ 含む：EUCALY浮光本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-
选装包,オプションパッケージ,月榕棕主题豪华内饰套装,ユエロンブラウンテーマ高級内装セット,"○ 含む：SAPELLI幻影本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-,"○ 含む：SAPELLI幻影本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-
选装包,オプションパッケージ,曜夜黑主题豪华内饰套装,ヨウヤブラックテーマ高級内装セット,"○ 含む：EUCALY浮光本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-,"○ 含む：EUCALY浮光本木／1・2列目Nappa本革シートおよびステアリング／マイクロファイバー超極細繊維ルーフ／星河幻境アンビエントライト オプション（10,000元）",-,-
