セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 52 Pro,2026年モデル 増程 52 Max,2026年モデル 増程 52 Max+,2026年モデル 増程 66 Max,2026年モデル 増程 66 Max+,2026年モデル 純電 Pro,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Pro Max,2026年モデル 純電 Ultra
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 254 TOPS,● 254 TOPS,"● 254 TOPS
○ 700 TOPS",● 254 TOPS,"● 254 TOPS
○ 700 TOPS",● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,"● 254 TOPS
○ 700 TOPS"
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー数,-,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,ライダーライン数,-,-,○ 520本（1.78万円）,-,○ 520本（1.78万円）,-,-,-,-,○ 520本（1.78万円）
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,駐車位置記憶,○,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,○ 高速道路区間,"○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間",○ 高速道路区間,"○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置記憶,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー","● Bluetoothキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,-,●,●,●,●,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ,● 開閉不可のパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ／ダウン,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ,● 27.1インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002,● 4884×1002
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,-,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）,○ 15.6インチ（6000元）
屏幕/系统,ディスプレイ・システム,副驾屏幕类型,助手席画面タイプ,-,○ MINI LED,○ MINI LED,○ MINI LED,○ MINI LED,-,○ MINI LED,○ MINI LED,○ MINI LED,○ MINI LED
屏幕/系统,ディスプレイ・システム,副驾屏幕分辨率,助手席画面解像度,-,○ 2560×1440,○ 2560×1440,○ 2560×1440,○ 2560×1440,-,○ 2560×1440,○ 2560×1440,○ 2560×1440,○ 2560×1440
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己,● こんにちは、智己
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,"○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革","○ 合成皮革
● 本革"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革,● 合成皮革,● 本革,● 合成皮革,● 合成皮革,● 本革,● 合成皮革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
○ レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●,主運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
