セクション,項目,智己LS6 2026款 增程 52 Pro,智己LS6 2026款 增程 52 Max,智己LS6 2026款 增程 52 Max+,智己LS6 2026款 增程 66 Max,智己LS6 2026款 增程 66 Max+,智己LS6 2026款 纯电 Pro,智己LS6 2026款 纯电 Max,智己LS6 2026款 纯电 Max+,智己LS6 2026款 纯电 Pro Max,智己LS6 2026款 纯电 Ultra
屏幕/系统,中控屏幕类型,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED
屏幕/系统,中控屏幕分辨率,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002,● 4884x1002
屏幕/系统,副驾娱乐屏尺寸,-,○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),-,○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),○ 15.6英寸 (6000元)
屏幕/系统,副驾屏幕类型,-,○ MINI LED,○ MINI LED,○ MINI LED,○ MINI LED,-,○ MINI LED,○ MINI LED,○ MINI LED,○ MINI LED
屏幕/系统,副驾屏幕分辨率,-,○ 2560x1440,○ 2560x1440,○ 2560x1440,○ 2560x1440,-,○ 2560x1440,○ 2560x1440,○ 2560x1440,○ 2560x1440
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
屏幕/系统,语音助手唤醒词,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己,● 你好，智己
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS,● IM OS
屏幕/系统,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
智能化配置,主动降噪,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,"○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮","○ 皮质
● 真皮"
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个,● 前排3个/后排1个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮,● 仿皮,● 真皮,● 仿皮,● 仿皮,● 真皮,● 仿皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热,● 加热,"● 加热
● 通风
● 按摩",● 加热,"● 加热
● 通风
● 按摩",● 加热,● 加热,"● 加热
● 通风
● 按摩",● 加热,"● 加热
● 通风
● 按摩"
座椅配置,零重力座椅,-,○ 副驾驶 (8000元),○ 副驾驶 (8000元),○ 副驾驶 (8000元),○ 副驾驶 (8000元),-,○ 副驾驶 (8000元),○ 副驾驶 (8000元),○ 副驾驶 (8000元),○ 副驾驶 (8000元)
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●,●,●,●,●,●,●
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭,● 21喇叭
音响/车内灯光,车内环境氛围灯,-,● 256色,● 256色,● 256色,● 256色,-,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,-,●,●,●,●,-,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,-,-,-,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载冰箱,-,○ (6800元),●,○ (6800元),●,-,○ (6800元),●,○ (6800元),●
特色配置,IM MAG磁吸拓展坞,●,●,-,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–
选装包,YAT巡航型半幅柔感瞬热方向盘,○ 选配 (2000元),○ 选配 (2000元),-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元)
