セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 栄誉 2.0L CVT XV真心版,2025年モデル 改良版 栄誉 2.0L CVT XV+先進版,2025年モデル 栄誉 2.0L CVT XV真心版,2025年モデル 栄誉 2.0L CVT XV+先進版,2023年モデル 1.3T CVT エリート版,2023年モデル 1.3T CVT ラグジュアリー版,2023年モデル 1.3T CVT ブラックゴールド版,2023年モデル 1.3T CVT パイオニア版,2023年モデル 1.3T CVT フラッグシップ版,2023年モデル クラシック 2.0L CVT XV快適版,2023年モデル クラシック 2.0L CVT XV+先進版,2023年モデル クラシック 2.0L CVT XV プレミアム智享版
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ウェイクワード不要音声認識,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,-,-,-,●,●,●,●,●,-,-,-
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,-,-,-,-,●,●,●,●,●,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● ライト操作
● 車両状態確認・診断
● 車両位置特定・車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認・診断
● 車両位置特定・車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認・診断
● 車両位置特定・車両探索
● 点検・整備予約"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 合成皮革,● プラスチック,● 合成皮革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,●,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）,● カラー（カラー表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 7インチ,● 7インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 5インチ,● 5インチ,● 5インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,-,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 手動防眩目ミラー
○ デジタルインナーミラー（流媒体）","● 手動防眩目ミラー
○ デジタルインナーミラー（流媒体）","● 手動防眩目ミラー
○ デジタルインナーミラー（流媒体）","● 手動防眩目ミラー
○ デジタルインナーミラー（流媒体）",● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USBポート,● USBポート,● USBポート,● USBポート,"● USBポート
● Type-Cポート","● USBポート
● Type-Cポート","● USBポート
● Type-Cポート","● USBポート
● Type-Cポート","● USBポート
● Type-Cポート",● USBポート,● USBポート,● USBポート
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席2個／後席1個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個,● 前席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,● 前席,● 前席,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革調,● 合成皮革調,● 合成皮革調,● 合成皮革調,● ファブリック（布地）,● 本革／布地コンビ,● 合成皮革調,● 本革／布地コンビ,● 本革,● 合成皮革調,● 合成皮革調,● 合成皮革調
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● ランバーサポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● ／ 助手席,-,運転席 ● ／ 助手席,-,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席 ● / 助手席 ●,-,運転席 ● ／ 助手席,運転席 ● ／ 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,"● シートヒーター
● シートベンチレーション",-,● シートヒーター,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,● 単色,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアコン吹き出し口,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調節,●,●,●,●,-,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–
