セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T MT 超越版 5人乗り,2025年モデル 1.5T MT 超越版 7人乗り,2025年モデル 1.5T DCT 超越PRO 5人乗り,2025年モデル 1.5T DCT 超越PRO 7人乗り,2025年モデル 1.5T DCT 臻享版 5人乗り,2025年モデル 1.5T DCT 臻享版 7人乗り,2025年モデル 1.5T DCT 经典版 5人乗り,2025年モデル 1.5T DCT 经典版 7人乗り,2024年モデル 1.5T DCT 跃享版 5人乗り,2024年モデル 1.5T DCT 跃享版 7人乗り,2024年モデル 1.5T MT 发现版 7人乗り,2024年モデル 1.5T MT 荣耀版 5人乗り,2024年モデル 1.5T MT 荣耀版 7人乗り,2024年モデル 1.5T DCT 荣耀PRO 5人乗り,2024年モデル 1.5T DCT 荣耀PRO 7人乗り,2023年モデル 1.5T DCT 陆冠版 5人乗り,2023年モデル 1.5T DCT 陆冠版 7人乗り,2023年モデル 1.5T DCT 旗舰版 5人乗り,2023年モデル 1.5T DCT 旗舰版 7人乗り
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,"● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ",-,-,-,"● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ"
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,-,-,-,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,-,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,-,-,-,● 3個,● 3個,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● ハロゲン,"● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED",● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● ハロゲン,● ハロゲン,"● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED","● ハロゲン
○ LED",● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,-,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約",● 車両位置特定／車両探索,● 車両位置特定／車両探索,● 車両位置特定／車両探索,● 車両位置特定／車両探索,-,-,-,"● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約","● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車両探索
● メンテナンス／修理予約",-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● カラー,● カラー,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,-,-,-,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,-,-,● 手動防眩機能,● 手動防眩機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列,-,● 2-3-2配列
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,ボディカラー,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
