セクション,セクション_ja,項目,項目_ja,2026年モデル 東方曜 1.5TD 驚鴻版,2026年モデル 東方曜 1.5TD 扶搖版,2026年モデル 東方曜 1.5TD 崑崙版,2026年モデル 東方曜 2.0TD 霄漢版,2026年モデル 東方曜 2.0TD 攬星版,2026年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 2.0TD 今朝版,2025年モデル 東方曜 2.0TD 攬星版,2025年モデル 東方曜 2.0TD 望月版,2025年モデル 東方曜 1.5TD 驚鴻版+,2025年モデル 東方曜 1.5TD 扶搖版,2025年モデル 東方曜 1.5TD 崑崙版,2025年モデル 東方曜 1.5TD 驚鴻版,2024年モデル ハイブリッド 1.5TD 星雲版,2024年モデル ハイブリッド 1.5TD 星河版,2024年モデル ハイブリッド 1.5TD 天宮版
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○ （460元）,○,○,○
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前- / 後 ●,前席● / 後席●,前席● / 後席●,前- / 後 ●,前席● / 後席●,前席● / 後席●,前席● / 後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,-,○ ホライゾン・ジャーニーJ6M,○ ホライゾン・ジャーニーJ6M,● ホライゾン・ジャーニーJ6M,● ホライゾン・ジャーニーJ6M,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,-,○ 128 TOPS,○ 128 TOPS,● 128 TOPS,● 128 TOPS,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,"● 単眼カメラ
○ 双眼カメラ","● 単眼カメラ
○ 双眼カメラ",● 双眼カメラ,● 双眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 5個,"● 5個
○ 11個","● 5個
○ 11個",● 11個,● 11個,● 5個,● 5個,● 5個,● 2個,● 5個,● 5個,● 1個,● 4個,● 4個,● 4個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,○ 1個,○ 1個,● 1個,● 1個,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 4個,● 8個,"● 8個
○ 12個","● 8個
○ 12個",● 12個,● 12個,● 8個,● 8個,● 8個,● 4個,● 8個,● 8個,● 4個,● 6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 2個,● 2個,"● 2個
○ 3個","● 2個
○ 3個",● 3個,● 3個,-,● 2個,● 2個,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 定速クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,○ チェンリー・ハオハンH3,○ チェンリー・ハオハンH3,● チェンリー・ハオハンH3,● チェンリー・ハオハンH3,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,○ 高速道路区間,○ 高速道路区間,● 高速道路区間,● 高速道路区間,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,-,-,● スポーツスタイル,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 前席のみ,● 前席のみ,● 前席のみ,● 運転席,● 前席のみ,● 前席のみ,● 運転席,● 運転席,● 運転席,● 運転席,● 前席のみ,● 前席のみ,● 前席のみ
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,○ 開閉式パノラマサンルーフ（2000元）,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ／ダウン機能,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 13.2インチ,● 13.2インチ,● 13.2インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応",-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
○ サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,-
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● まもなく提供予定,● まもなく提供予定,● まもなく提供予定,● まもなく提供予定,● まもなく提供予定,● まもなく提供予定,● まもなく提供予定,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● ジーリー銀河OS,● ジーリー銀河OS,● ジーリー銀河OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載システム用スマートチップ,-,-,○ Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載KTV,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,● 7.5インチ,-,-,● 7.5インチ,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB,● USB,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,-,-,● 前席のみ,-,-,-,-,-,-,● 前席のみ
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-,-,-,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材のコンビ,● 本革／スエード素材のコンビ,● 本革／スエード素材のコンビ,"● 合成皮革
○ 本革／スエード素材のコンビ",● 本革／スエード素材のコンビ,● 本革／スエード素材のコンビ,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
