セクション,項目,星瑞 2026款 东方曜 1.5TD 惊鸿版,星瑞 2026款 东方曜 1.5TD 扶摇版,星瑞 2026款 东方曜 1.5TD 昆仑版,星瑞 2026款 东方曜 2.0TD 霄汉版,星瑞 2026款 东方曜 2.0TD 揽星版,星瑞 2026款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 2.0TD 今朝版,星瑞 2025款 东方曜 2.0TD 揽星版,星瑞 2025款 东方曜 2.0TD 望月版,星瑞 2025款 东方曜 1.5TD 惊鸿版+,星瑞 2025款 东方曜 1.5TD 扶摇版,星瑞 2025款 东方曜 1.5TD 昆仑版,星瑞 2025款 东方曜 1.5TD 惊鸿版,星瑞 2024款 油混 1.5TD 星云版,星瑞 2024款 油混 1.5TD 星河版,星瑞 2024款 油混 1.5TD 天宫版
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,-,-,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,● 你好，吉利,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,-
屏幕/系统,语音连续识别,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
屏幕/系统,面部识别,-,-,○,○,●,●,-,-,-,-,-,-,-,-,-,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-
屏幕/系统,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● 吉利银河OS,● 吉利银河OS,● 吉利银河OS
屏幕/系统,车机智能芯片,-,-,○ 高通骁龙8155,○ 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-,-,-,-,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 16,● 16,● 16
屏幕/系统,车机系统存储(GB),-,-,-,-,-,-,-,-,-,-,-,-,-,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车载KTV,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,-,● 7.5英寸,-,-,● 7.5英寸,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,-,-,● 前排,-,-,-,-,-,-,● 前排
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-,-,-,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,仿皮 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副-,● 主 / 副,● 主 / 副-,● 主 / 副-,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风 头枕扬声器(仅驾驶位),● 加热 通风 头枕扬声器(仅驾驶位),加热 通风,加热 通风 头枕扬声器,● 加热 通风 头枕扬声器,-,● 加热 通风,● 加热 通风,-,-,● 加热,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,-,● 驾驶位,-,○ 驾驶位,● 驾驶位,-,-,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,● Infinity燕飞利仕,● Infinity燕飞利仕,-,-,-,-,-,● Infinity燕飞利仕,● Infinity燕飞利仕
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 16喇叭,● 8喇叭,● 12喇叭,● 12喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 12喇叭,● 12喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,● 256色,● 256色,● 256色,● 256色,-,● 多色,● 多色,-,-,-,-,-,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-,●
空调/冰箱,车内香氛装置,-,-,-,-,●,●,-,●,●,-,-,-,-,-,●,●
空调/冰箱,空气质量监测,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-
颜色,外观颜色,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 苍穹灰 采青色 逍遥紫 莫高蓝 月牙青 玛瑙黑,冰晶白 墨玉黑 玄武灰 苍穹灰 石绿 逍遥紫 云砚磨砂灰,冰晶白 墨玉黑 玄武灰 苍穹灰 石绿 逍遥紫 云砚磨砂灰 ￥5000,冰晶白 墨玉黑 玄武灰 苍穹灰 石绿 逍遥紫 云砚磨砂灰 ￥5000,冰晶白 墨玉黑 玄武灰 苍穹灰 逍遥紫,冰晶白 墨玉黑 玄武灰 苍穹灰 采青色 逍遥紫,冰晶白 墨玉黑 玄武灰 苍穹灰 采青色 逍遥紫,冰晶白 墨玉黑 玄武灰 苍穹灰 采青色 逍遥紫,冰晶白 墨玉黑 玄武灰 苍穹灰 采青色 晴山紫 ￥2999,冰晶白 墨玉黑 玄武灰 苍穹灰 采青色 晴山紫 ￥2999,晴山紫
颜色,内饰颜色,黑色,黑色 白色/紫色,黑色,-,-,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色/紫色 白色/紫色,黑色/紫色 白色/紫色,白色/紫色
选装包,豪华麂皮内饰,-,-,-,-,-,-,○ 包含：豪华麂皮内饰 选配 (暂无价格),-,-,-,-,-,-,-,-,-
选装包,智能科技包,-,-,○ 包含：千里浩瀚辅助驾驶H3方案、高通骁龙8155芯片、Face lD面部识别、驾驶员状态监测+首任车主可免费享价值7500元5年HNOA高速领航驾驶辅助软件权益 选配 (7500元),○ 包含：千里浩瀚辅助驾驶H3方案、高通骁龙8155芯片、Face lD面部识别、驾驶员状态监测+首任车主可免费享价值7500元5年HNOA高速领航驾驶辅助软件权益 选配 (7500元),-,-,-,-,-,-,-,-,-,-,-,-
