セクション,セクション_ja,項目,項目_ja,2026年モデル 4012WD スーパー スポーツ版,2026年モデル 5502WD スーパー スポーツ版,2026年モデル 5502WD サイバー版,2026年モデル V23S 5014WD ピークパフォーマンス版,2026年モデル 5014WD サイバー版,2025年モデル 4012WD アドバンスド版,2025年モデル 4012WD インテリジェントドライブ版
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,-,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索,● ドア操作、窓操作、充電管理、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.88インチ,● 8.88インチ,● 8.88インチ,● 8.88インチ,● 8.88インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席3個,● 前席2個,● 前席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 65W,● 65W,● 65W,● 65W,● 65W,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● レザー／スエード素材ミックス,● 合成皮革,● レザー／スエード素材ミックス,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター、ベンチレーション,● ヒーター、ベンチレーション,● ヒーター、ベンチレーション,● ヒーター、ベンチレーション,● ヒーター、ベンチレーション,● ヒーター,● ヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,緑、オレンジ、白、黒、灰、銀、黄、青 ￥2000、紫 ￥2000,緑、オレンジ、白、黒、灰、銀、黄、青 ￥2000、紫 ￥2000,マットシルバー、スターリーナイトグレー,緑、オレンジ、白、黒、灰、銀、黄、青 ￥2000、紫 ￥2000,マットシルバー、スターリーナイトグレー,緑、オレンジ、白、黒、灰、銀、黄、青 ￥2000、紫 ￥2000,緑、オレンジ、白、黒、灰、銀、黄、青 ￥2000、紫 ￥2000
颜色,カラー,内饰颜色,内装色,黒、黒／緑、灰／白,黒、黒／緑、灰／白,ファンタジーホワイト,黒、黒／緑、灰／白,ファンタジーホワイト,黒、黒／白、黒／緑,黒、黒／白、黒／緑
