セクション,セクション_ja,項目,項目_ja,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り フラッグシップ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り STライン,2024年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2024年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 5個,● 5個,● 5個,● 5個,● 5個,● 1個,● 2個,● 5個,● 5個,● 1個,● 5個,● 5個,● 5個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,-,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,-,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進アラート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● スポーティスタイル,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● ブルートゥースキー",● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 13.2インチ,● 13.2インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 13.2インチ,● 13.2インチ,● 27インチ,● 27インチ,● 13.2インチ,● 27インチ,● 27インチ,● 27インチ,● 13.2インチ,● 13.2インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,-,-,● 4K,● 4K,● 4K,● 4K,● 4K,-,-,● 4K,● 4K,-,● 4K,● 4K,● 4K,-,-
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード,● ハロー、フォード
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+,● SYNC+
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,●,●,●,-,-,-,-,-,-,-,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,-,●,-,-,-,-,-,-,-,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
