セクション,セクション_ja,項目,項目_ja,2025年モデル 501KM 後輪駆動Pro版,2025年モデル 501KM 後輪駆動Max版,2025年モデル 501KM 後輪駆動Ultra版,2025年モデル 501KM 4WD Max版,2025年モデル 501KM 4WD Ultra版,2025年モデル 改良版 501KM 4WD ドローン版
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,-,● 12インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,-,-,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,● DEVIALET（デビアレ）,-,● DEVIALET（デビアレ）,● DEVIALET（デビアレ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 14スピーカー,● 8スピーカー,● 14スピーカー,● 16スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,○
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,○
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,●,-,●,●
颜色,カラー,外观颜色,外装色,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000,星月シルバー 元素ホワイト 鉱石グリーン 曜石ブラック 氷晶ブルー 微光ピンク ￥3000
颜色,カラー,内饰颜色,内装色,深空ブラック 星雲グレー,深空ブラック 星雲グレー,深空ブラック 星雲グレー,深空ブラック 星雲グレー,深空ブラック 星雲グレー,深空ブラック 星雲グレー
选装包,オプションパッケージ,无人机套装,ドローンセット,-,-,-,-,-,○ 含む内容：1. リンユエン BYDスマート車載ドローンシステムには、大疆（DJI）「DJI Care 随心换 車載ドローン版」（968元、1年分）、スマートガレージ（4K高画質超広角ルーフカメラ付き）×1、DJI AIR 3Sカスタム車載ドローン×1、カスタムデュアルモードコントローラー×1が含まれます。ドローンセットを選択すると、後から車両から取り外すことはできず、開閉可能なパノラマサンルーフは開閉不可のサンルーフ（サンシェード付き）に変更されます。購入時にドローンセットを選ばない場合、後からの追加装着はできません。2. 最大直流充電出力237kWには、スマート昇流急速充電技術、全シーン対応スマートパルス自己加熱、スマートエンド急速充電技術および最大直流充電出力237kWが含まれます。オプション価格（16968元）
