セクション,項目,奥迪A3 2026款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2026款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2026款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包(南方版),奥迪A3 2025款 Sportback 35TFSI 飞驰悦享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型,奥迪A3 2025款 Sportback 35TFSI 飞驰尊享型 +豪华臻选包,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰悦享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型,奥迪A3 2025款 A3L Limousine 35TFSI 飞驰尊享型 +豪华臻选包
屏幕/系统,车载智能系统,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect
屏幕/系统,触屏振动反馈,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),●,○ (1000元),○ (1000元),○ (1000元),●,○ (1000元),○ (1000元),○ (1000元),●,○ (1000元),○ (1000元),●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,10.25英寸 12.3英寸 (2000元),10.25英寸 12.3英寸 (2000元),● 12.3英寸,● 12.3英寸,10.25英寸 12.3英寸 (2000元),10.25英寸 12.3英寸 (2000元),● 12.3英寸,● 12.3英寸,10.25英寸 12.3英寸 (2000元),10.25英寸 12.3英寸 (2000元),● 12.3英寸,10.25英寸 12.3英寸 (2000元),10.25英寸 12.3英寸 (2000元),● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元),○ (8500元)
方向盘/内后视镜,内后视镜功能,手动防眩目 自动防眩目 (1500元),手动防眩目 自动防眩目 (1500元),● 自动防眩目,● 自动防眩目,手动防眩目 自动防眩目 (1500元),手动防眩目 自动防眩目 (1500元),● 自动防眩目,● 自动防眩目,手动防眩目 自动防眩目 (1500元),手动防眩目 自动防眩目 (1500元),● 自动防眩目,手动防眩目 自动防眩目 (1500元),手动防眩目 自动防眩目 (1500元),● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○,○ (500元),○ (500元),○ (500元),○,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,-,●,●,●,-,●,●,●,-,●,●,-,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,主 / 副,● 主 / 副,● 主 / 副,主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热 (2000元),○ 加热 (2000元),● 加热,○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),● 加热,○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),● 加热,○ 加热 (2000元),○ 加热 (2000元),● 加热
座椅配置,电动座椅记忆功能,-,○ 驾驶位 (2000元),○ 驾驶位 (2000元),○ 驾驶位 (2000元),-,○ 驾驶位 (2000元),○ 驾驶位 (2000元),○ 驾驶位 (2000元),-,○ 驾驶位 (2000元),○ 驾驶位 (2000元),-,○ 驾驶位 (2000元),○ 驾驶位 (2000元)
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元)
音响/车内灯光,扬声器数量,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭,8喇叭 15喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,○ 30色 (2000元),● 30色,● 30色,● 30色,○ 30色 (2000元),● 30色,● 30色,● 30色,○ 30色 (2000元),● 30色,● 30色,○ 30色 (2000元),● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○ (2000元),○ (2000元),○ (2000元),●,○ (2000元),○ (2000元),○ (2000元),●,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元)
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白 极光紫 天云灰 哥特兰绿 飞驰灰,冰川白,冰川白 天云灰 哥特兰绿,冰川白 极光紫 天云灰 纳瓦拉蓝 哥特兰绿 飞驰灰,冰川白 天云灰 哥特兰绿 飞驰灰,冰川白 天云灰 哥特兰绿,冰川白 极光紫 天云灰 纳瓦拉蓝 哥特兰绿 飞驰灰,冰川白 天云灰 哥特兰绿 飞驰灰
颜色,内饰颜色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/铁灰色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/铁灰色,黑色 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色 黑色/铁灰色,黑色 黑色/月光银 黑色/赤陶红 黑色/豆蔻棕 黑色/匠心蓝 黑色/石灰色
选装包,冬季包,○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),-,○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),-,○ 包含：前排座椅加热功能、三辐运动型多功能方向盘，可加热，带换挡拨片、三幅平底运动型多功能方向盘，可加热，带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三幅运动型多功能真皮方向盘、可加热、带换挡拨片、三幅平底运动型多功能真皮方向盘、可加热、带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三幅运动型多功能真皮方向盘、可加热、带换挡拨片、三幅平底运动型多功能真皮方向盘、可加热、带换挡拨片 选配 (2400元),-,○ 包含：前排座椅加热功能、三幅运动型多功能真皮方向盘、可加热、带换挡拨片、三幅平底运动型多功能真皮方向盘、可加热、带换挡拨片 选配 (2400元),○ 包含：前排座椅加热功能、三幅运动型多功能真皮方向盘、可加热、带换挡拨片、三幅平底运动型多功能真皮方向盘、可加热、带换挡拨片 选配 (2400元),-
选装包,炽夜暗影扩展套件,○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),-,-,-,-,-,-
选装包,黑驰包,○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体、黑色织物顶棚、三幅平底运动型多功能方向盘，带换挡拨片、奥迪驾驶模式选择 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体、黑色织物顶棚、三幅平底运动型多功能方向盘，带换挡拨片、奥迪驾驶模式选择 选配 (2500元),-,-,○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体、黑色织物顶棚、三幅平底运动型多功能方向盘，带换挡拨片、奥迪驾驶模式选择 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体、黑色织物顶棚、三幅平底运动型多功能方向盘，带换挡拨片、奥迪驾驶模式选择 选配 (2500元),-,-,-,-,-,-,-,-
选装包,防眩目视镜装备包,○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),-,-,○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),-,-,○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),-,○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),○ 包含：自动防眩目内后视镜、外后视镜电动调整，加热，电动折叠，自动防眩目 选配 (2800元),-
选装包,视觉氛围灯升级装备包,○ 包含：环境氛围灯光包增强版、奥迪虚拟驾驶舱增强版 12.3英寸 选配 (3200元),-,-,-,○ 包含：环境氛围灯光包增强版、奥迪虚拟驾驶舱增强版 12.3英寸 选配 (3200元),-,-,-,-,-,-,-,-,-
选装包,车身黑色标识1,-,-,-,-,-,-,-,-,○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元),○ 包含：奥迪黑光包带奥迪专属黑色标识、黑色外后视镜壳体 选配 (2500元)
选装包,后视辅助泊车舒适包,-,-,-,-,-,-,-,-,○ 包含：倒车影像系统、前后倒车雷达带模拟图像 选配 (3200元),-,-,○ 包含：倒车影像系统、前后倒车雷达带模拟图像 选配 (3200元),-,-
选装包,视觉氛围灯升级装备包1,-,-,-,-,-,-,-,-,○ 包含：30色内饰氛围灯、12.3英寸奥迪虚拟座舱增强版 选配 (3200元),-,-,○ 包含：30色内饰氛围灯、12.3英寸奥迪虚拟座舱增强版 选配 (3200元),-,-
