セクション,セクション_ja,項目,項目_ja,2025年モデル 超長距離後輪駆動版,2025年モデル 超長距離4WD Pro版,2025年モデル 超長距離高性能4WD Max版
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
○ マッサージ
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
○ マッサージ
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● シートヒーター,● シートヒーター,● シートヒーター
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"○ 運転席（9000元）
○ 助手席（9000元）","○ 運転席（9000元）
○ 助手席（9000元）","○ 運転席（9000元）
○ 助手席（9000元）"
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● リクライニング調整可能,● リクライニング調整可能,● リクライニング調整可能
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 14スピーカー
○ 25スピーカー（6000元）","● 14スピーカー
○ 25スピーカー（6000元）",● 25スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス（Dolby Atmos）,○,○,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色表示,● 256色表示,● 256色表示
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,○,○,○
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,○ （2000元）,○ （2000元）,○ （2000元）
特色配置,特徴装備,人车家生态空间,人・車・家エコシステムスペース,●,●,●
特色配置,特徴装備,生态拓展空间,エコ拡張スペース,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
选装包,オプションパッケージ,HEPA高效空气净化系统,HEPA高性能空気清浄システム,○ オプション（1000元）,○ オプション（1000元）,○ オプション（1000元）
选装包,オプションパッケージ,Xiaomi HAD,Xiaomi HAD,○ オプション（26000元）,○ オプション（26000元）,○ オプション（26000元）
选装包,オプションパッケージ,Brembo四活塞固定卡钳红色,Brembo 4ポット固定キャリパー（赤）,-,-,○ オプション（1500元）
选装包,オプションパッケージ,碳纤维迎宾踏板,カーボンファイバー製ステッププレート,-,-,○ オプション（3000元）
选装包,オプションパッケージ,碳纤维仪表台饰板,カーボンファイバー製インパネトリム,-,-,○ オプション（5000元）
选装包,オプションパッケージ,碳纤维后视镜,カーボンファイバー製ドアミラー,-,-,○ オプション（8000元）
选装包,オプションパッケージ,碳纤维外饰套装,カーボンファイバー外装セット,-,-,○ オプション（27000元）
