セクション,セクション_ja,項目,項目_ja,2026年モデル PRO 380TSI 2WD 智行版,2026年モデル PRO 380TSI 2WD R Line 智領版,2026年モデル PRO 380TSI 4WD R Line 智尊版,2025年モデル 出众款 300TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD 龍騰版,2025年モデル 出众款 330TSI 自動2WD R Line 龍耀版,2025年モデル PRO 380TSI 2WD 智行版,2025年モデル PRO 380TSI 2WD R Line 智領版,2025年モデル PRO 380TSI 4WD R Line 智尊版,2024年モデル PRO 380TSI 4WD R Line 智領版
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15インチ,● 15インチ,● 15インチ,● 12インチ,● 12インチ,● 12インチ,● 15インチ,● 15インチ,● 15インチ,● 15インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターディスプレイ解像度,● 2K解像度,● 2K解像度,● 2K解像度,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメスクリーンサイズ,-,● 11.6インチ,● 11.6インチ,-,-,-,-,● 11.6インチ,● 11.6インチ,● 11.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応,● CarPlay対応・CarLife対応・純正連携/ミラーリング対応・HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ）,● マルチメディアシステム（ナビ・電話）,● マルチメディアシステム（ナビ・電話）,● マルチメディアシステム（ナビ・電話）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）,● マルチメディアシステム（ナビ・電話・エアコン）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）,● こんにちは、大衆（フォルクスワーゲン）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,-,-,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,-,-,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,●,●,-,-,-,-,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,●,●,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,-,-,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,-,-,-,● 12,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,-,-,-,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 4G対応,● 4G対応,● 4G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,●,●,-,-,-,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内生体モニタリングシステム,●,●,●,-,-,-,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● パワーウインドウ操作・エンジン始動・車両状態確認/診断・車両位置特定/車両探索,● パワーウインドウ操作・エンジン始動・車両状態確認/診断・車両位置特定/車両探索,● パワーウインドウ操作・エンジン始動・車両状態確認/診断・車両位置特定/車両探索,● 車両状態確認/診断,● 車両状態確認/診断,● 車両状態確認/診断,● ドア操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・車両状態確認/診断・車両位置特定/車両探索
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,-,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,-,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,●,-,-,-,○ (3000元),●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 45W,● 45W,● 45W,-,-,-,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,-,-,-,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 40W,● 40W,● 40W,-,-,-,-,● 15W,● 15W,● 15W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革／スエード素材ミックス,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材ミックス,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,-,-,● シートヒーター,● シートヒーター,シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション、マッサージ機能,シートヒーター、ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席、助手席,● 運転席、助手席,-,-,-,-,● 運転席、助手席,● 運転席、助手席,● 運転席、助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,○ Harman/Kardon（ハーマンカードン）(4000元),-,-,-,-,-,○ Harman/Kardon（ハーマンカードン）(4000元),-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 9スピーカー,● 9スピーカー,9スピーカー、12スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 9スピーカー,● 9スピーカー,9スピーカー、12スピーカー,● 9スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,-,-,-,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 30色調,● 30色調,● 30色調,-,-,-,● 30色調,● 30色調,● 30色調,● 30色調
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,●,-,-,-,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,-,-,-,-,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,●,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,●,●,-,-,-,-,●,●,●
颜色,カラー,外观颜色,外装色,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、レーザー ホワイト,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、レーザー ホワイト,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、レーザー ホワイト,玄武ブラック、オーロラホワイト、アイスランドシルバー,玄武ブラック、オーロラホワイト、アイスランドシルバー,玄武ブラック、オーロラホワイト、アイスランドシルバー,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、グロウピンク ￥2000,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、グロウピンク ￥2000,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、グロウピンク ￥2000,弧光ホワイト、クォンタムブラック、ギャラクシーグレー、ライトニングブルー ￥2000、グロウピンク ￥2000
颜色,カラー,内饰颜色,内装色,ディープブラック、ムーンシャドウグレー／オーシャンブルー,ディープブラック、ムーンシャドウグレー／スターリーブラック,ディープブラック,オブシディアンブラック,オブシディアンブラック,オブシディアンブラック,ディープブラック、ムーンシャドウグレー／オーシャンブルー,ディープブラック、ムーンシャドウグレー／スターリーブラック,ディープブラック,ディープブラック、ムーンシャドウグレー／スターリーブラック
选装包,オプションパッケージ,前格栅&前VW Logo发光,フロントグリル＆VWロゴ発光,○ 含む：フロントグリル＆フロントVWロゴ発光 オプション（500元）,-,-,-,-,-,○ 含む：フロントグリル＆フロントVWロゴ発光 オプション（500元）,-,-,-
选装包,オプションパッケージ,IQ.Pilot智能驾驶辅助,IQ.Pilotインテリジェント運転支援,-,○ 含む：メモリーパークアシスト、IQ.Pilot強化運転支援、1080p高画質ドライブレコーダー オプション（5000元）,-,-,-,-,-,○ 含む：上級自動追従クルーズコントロールPro版、レーンキープシステムPro版、スマートレバーによる車線変更、スマート割り込み対応、スマート障害物回避（中国特有障害物含む）、大型車回避 オプション（4800元）,-,○ 含む：上級自動追従クルーズコントロールPro版、レーンキープシステムPro版、スマートレバーによる車線変更、スマート割り込み対応、スマート障害物回避（中国特有障害物含む）、大型車回避 オプション（4800元）
选装包,オプションパッケージ,酷黑运动套件,クールブラックスポーツキット,-,-,○ 含む：ブラックルーフ、ブラックルーフレール、ブラックリアエンブレム、ブラックサイドミラー、ブラックウィンドウモール、ブラックリアスポイラー、ブラックドアハンドルモール、ブラックテールランプモール、ブラック前後バンパーモール オプション（1800元）,-,-,-,-,○ 含む：20インチクールブラックアルミホイール、ブラックルーフ、ブラックルーフレール、ブラックリアエンブレム、ブラックサイドミラー、ブラックウィンドウモール、ブラックリアスポイラー、ブラックドアハンドルモール、ブラックテールランプモール、ブラック前後バンパーモール オプション（3800元）,○ 含む：ブラックルーフ、ブラックルーフレール、ブラックリアエンブレム、ブラックサイドミラー、ブラックウィンドウモール、ブラックリアスポイラー、ブラックドアハンドルモール、ブラックテールランプモール、ブラック前後バンパーモール オプション（1800元）,○ 含む：20インチクールブラックアルミホイール、ブラックルーフ、ブラックルーフレール、ブラックリアエンブレム、ブラックサイドミラー、ブラックウィンドウモール、ブラックリアスポイラー、ブラックドアハンドルモール、ブラックテールランプモール、ブラック前後バンパーモール オプション（3800元）
选装包,オプションパッケージ,30色流星格调氛围套件,30色流星スタイルアンビエントキット,-,-,-,-,-,-,○ 含む：30色流星調アンビエントライトキット オプション（1600元）,-,-,-
