セクション,項目,途观L 2026款 PRO 380TSI 两驱智行版,途观L 2026款 PRO 380TSI 两驱 R-Line 智领版,途观L 2026款 PRO 380TSI 四驱 R-Line 智尊版,途观L 2025款 出众款 300TSI 自动两驱龙腾版,途观L 2025款 出众款 330TSI 自动两驱龙腾版,途观L 2025款 出众款 330TSI 自动两驱R-Line龙耀版,途观L 2025款 PRO 380TSI 两驱智行版,途观L 2025款 PRO 380TSI 两驱 R-Line 智领版,途观L 2025款 PRO 380TSI 四驱 R-Line 智尊版,途观L 2024款 PRO 380TSI 四驱R-Line智领版
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热,● 加热 通风 按摩,● 加热 通风 按摩,-,-,● 加热,● 加热,加热 通风,● 加热 通风 按摩,加热 通风
座椅配置,电动座椅记忆功能,-,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,-,-,-,-,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ Harman/Kardon哈曼卡顿 (4000元),-,-,-,-,-,○ Harman/Kardon哈曼卡顿 (4000元),-
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,9喇叭 12喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 9喇叭,● 9喇叭,9喇叭 12喇叭,● 9喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,-,-,-,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 30色,● 30色,● 30色,-,-,-,● 30色,● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,●,●,-,-,-,-,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,-,-,-,-,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,●,-,-,-,-,-,●,-
空调/冰箱,空气质量监测,-,●,●,-,-,-,-,●,●,●
颜色,外观颜色,弧光白 量子黑 星系灰 光爆蓝 ￥2000 镭射白,弧光白 量子黑 星系灰 光爆蓝 ￥2000 镭射白,弧光白 量子黑 星系灰 光爆蓝 ￥2000 镭射白,玄武黑 极光白 冰岛银,玄武黑 极光白 冰岛银,玄武黑 极光白 冰岛银,弧光白 量子黑 星系灰 光爆蓝 ￥2000 辉光粉 ￥2000,弧光白 量子黑 星系灰 光爆蓝 ￥2000 辉光粉 ￥2000,弧光白 量子黑 星系灰 光爆蓝 ￥2000 辉光粉 ￥2000,弧光白 量子黑 星系灰 光爆蓝 ￥2000 辉光粉 ￥2000
颜色,内饰颜色,深域黑 月影灰/浩渺蓝,深域黑 月影灰/星渊黑,深域黑,曜石黑,曜石黑,曜石黑,深域黑 月影灰/浩渺蓝,深域黑 月影灰/星渊黑,深域黑,深域黑 月影灰/星渊黑
选装包,前格栅&前VW Logo发光,○ 包含：前格栅&前VW Logo发光 选配 (500元),-,-,-,-,-,○ 包含：前格栅&前VW Logo发光 选配 (500元),-,-,-
选装包,IQ.Pilot智能驾驶辅助,-,○ 包含：记忆泊车辅助、IQ.Pilot增强驾驶辅助、1080p高清行车记录仪 选配 (5000元),-,-,-,-,-,○ 包含：高级自适应巡航系统 Pro版、车道保持系统Pro版、智能拨杆变道、智能加塞应对、智能避障(含中国特殊障碍物)、大车避让 选配 (4800元),-,○ 包含：高级自适应巡航系统 Pro版、车道保持系统Pro版、智能拨杆变道、智能加塞应对、智能避障(含中国特殊障碍物)、大车避让 选配 (4800元)
选装包,酷黑运动套件,-,-,○ 包含：黑色车顶、黑色行李架、黑色尾部字牌、黑色外后视镜、黑色车窗框、黑色尾翼、黑色门把手饰条、黑色尾灯饰条、黑色前后保饰条 选配 (1800元),-,-,-,-,○ 包含：20英寸酷黑凌风铝合金轮毂、黑色车顶、黑色行李架、黑色尾部字牌、黑色外后视镜、黑色车窗框、黑色尾翼、黑色门把手饰条、黑色尾灯饰条、黑色前后保饰条 选配 (3800元),○ 包含：黑色车顶、黑色行李架、黑色尾部字牌、黑色外后视镜、黑色车窗框、黑色尾翼、黑色门把手饰条、黑色尾灯饰条、黑色前后保饰条 选配 (1800元),○ 包含：20英寸酷黑凌风铝合金轮毂、黑色车顶、黑色行李架、黑色尾部字牌、黑色外后视镜、黑色车窗框、黑色尾翼、黑色门把手饰条、黑色尾灯饰条、黑色前后保饰条 选配 (3800元)
选装包,30色流星格调氛围套件,-,-,-,-,-,-,○ 包含：30色流星格调氛围套件 选配 (1600元),-,-,-
