セクション,セクション_ja,項目,項目_ja,2025年モデル 新锐 1.5L 出众新逸版,2025年モデル 新锐 1.5L 出众新愿版,2025年モデル 新锐 1.5L 新逸版,2025年モデル 新锐 1.5L 新愿版,2024年モデル 1.5L 自動得逸版,2024年モデル 1.5L 自動満逸版,2024年モデル 1.5L 自動五百万版,2024年モデル 1.5L 自動星空五百万版,2024年モデル 300TSI DSG 満逸版,2024年モデル 300TSI DSG 星空満逸版,2024年モデル 300TSI DSG 星空先進版,2024年モデル 300TSI DSG 永逸版,2024年モデル 300TSI DSG 星空永逸版,2023年モデル 新锐 1.5L 自動出众新逸版,2023年モデル 新锐 1.5L 自動出众新願版,2023年モデル 新锐 1.5L 自動新逸版,2023年モデル 新锐 1.5L 自動新願版
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,-,●,-,●,●,●,●,●,●,●,●,-,●,-,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,-,● 前席,-,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,-,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,● LED,-,● LED,-,-,-,-,-,-,-,-,-,-,● LED,-,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 電動サンルーフ,-,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,● 電動サンルーフ,-,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,-,● 雨量感応式,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,● 雨量感応式,-,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 ミラー加熱,● 電動調整,● 電動調整 ミラー加熱,● 電動調整,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整,● 電動調整 ミラー加熱,● 電動調整,● 電動調整 ミラー加熱
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 12インチ,● 12インチ,● 8インチ,● 8インチ,● 12インチ,● 12インチ,● 12インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応,● CarPlay対応,CarPlay対応 純正連携/ミラーリング対応,CarPlay対応 純正連携/ミラーリング対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,-,-,● マルチメディアシステム ナビ 電話機能,● マルチメディアシステム ナビ 電話機能,-,-,● マルチメディアシステム ナビ 電話機能,● マルチメディアシステム ナビ 電話機能,● マルチメディアシステム ナビ 電話機能,-,-,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,-,-,-,-,●,●,●,●,●,●,●,●,●,○,○,○,○
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,-,-,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,○ 4G対応,○ 4G対応,○ 4G対応,○ 4G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,●,●,-,-,●,●,●,-,-,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,-,-,-,●,●,●,●,●,●,●,●,●,○,○,○,○
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,-,-,-,●,●,●,●,●,●,●,●,●,○,○,○,○
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 10.25インチ,● 10.25インチ,● 8インチ,● 8インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB端子,● USB端子,● USB端子,● USB端子,● USB端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB Type-C端子,● USB端子,● USB端子,● USB端子,● USB端子
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個,● 前席1個,● 前席1個,● 前席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,● ファブリック,● 合成皮革,● ファブリック,● 本革／ファブリックコンビ,● 合成皮革,● 合成皮革,● 本革／ファブリックコンビ,● 本革／ファブリックコンビ,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● ファブリック,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,● シートヒーター,● シートヒーター,● シートヒーター,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式,● 一体可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,ボディカラー,ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,ミステリーブラック オープニングホワイト テンジェンブルー カルチャーシルバー,ミステリーブラック オープニングホワイト テンジェンブルー カルチャーシルバー,ミステリーブラック オープニングホワイト テンジェンブルー カルチャーシルバー,ミステリーブラック オープニングホワイト テンジェンブルー グレイッシュブルー,ミステリーブラック オープニングホワイト テンジェンブルー カルチャーシルバー,ミステリーブラック オープニングホワイト テンジェンブルー グレイッシュブルー,ミステリーブラック オープニングホワイト テンジェンブルー グレイッシュブルー,ミステリーブラック オープニングホワイト テンジェンブルー カルチャーシルバー,ミステリーブラック オープニングホワイト テンジェンブルー グレイッシュブルー,コーラルレッド ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,コーラルレッド ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,コーラルレッド ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン,コーラルレッド ジャオユーバイ（純白） オブシディアンブラック キャッツアイブルー ターコイズグリーン
颜色,カラー,内饰颜色,内装色,ブラック／静寂ブルー,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／静寂ブルー,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／ミストグレー,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／ミストグレー ブラック／スモーキーグリーン,クールブラック,クールブラック,ブラック／ミストグレー ブラック／スモーキーグリーン,クールブラック,ブラック／静寂ブルー,ブラック／ミストグレー ブラック／スモーキーグリーン,ブラック／静寂ブルー,ブラック／ミストグレー ブラック／スモーキーグリーン
选装包,オプションパッケージ,酷黑运动套件选装包,クールブラックスポーツパッケージ（オプション）,-,-,-,-,-,-,-,-,-,○ 含む：グロスブラック質感ルーフ、17インチ精密加工フラワーブレードアルミホイール、低転がり抵抗タイヤ225/45 R17（オプション・価格未定）,-,-,-,-,-,-,-
选装包,オプションパッケージ,互联准备系统,コネクティビティ準備システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 含む：Carlifeおよび有線CarPlay機能、SAICフォルクスワーゲンスーパーAPPリンク調整、IQ、スマートコネクテッドカーシステム（オプション・-800元）,○ 含む：Carlifeおよび有線CarPlay機能、SAICフォルクスワーゲンスーパーAPPリンク調整、IQ、スマートコネクテッドカーシステム（オプション・-800元）
