セクション,セクション_ja,項目,項目_ja,2019年モデル 1.6L MT 快適版 国V,2019年モデル 1.6L AT ファッショナブル版 国V,2019年モデル 1.6L MT スマートサンルーフ版 国V,2019年モデル 1.6L AT スマートコネクト版 国V,2019年モデル 1.6L MT 快適版 国VI,2019年モデル 1.6L AT ファッショナブル版 国VI,2019年モデル 1.6L MT スマートサンルーフ版 国VI,2019年モデル 1.6L AT スマートコネクト版 国VI,2018年モデル 1.6L MT 快適版 Smart,2018年モデル 1.6L MT スマートサンルーフ版 Value,2018年モデル 1.6L AT Smart,2018年モデル 1.6L AT スマートコネクト版 Value Connect,2018年モデル 1.6L AT スマートラグジュアリー版 Value Comfort,2016年モデル 1.6L MT GL,2016年モデル 1.6L AT GL,2016年モデル 1.6L MT GLS,2016年モデル 1.6L AT GLS,2014年モデル 1.6L MT GL,2014年モデル 1.6L AT GL,2014年モデル 1.6L MT GLS,2014年モデル 1.6L AT GLS,2014年モデル 1.6L AT プレミアム,2014年モデル 1.6L MT プレミアムスペシャル,2014年モデル 1.6L AT プレミアムスペシャル,2012年モデル 1.6L MT GL 記念版,2012年モデル 1.6L AT GL 記念版,2012年モデル 1.6L MT GLS 記念版,2012年モデル 1.6L AT GLS 記念版,2012年モデル 1.6L AT プレミアム 記念版,2011年モデル 1.6L MT GL,2011年モデル 1.6L AT GL,2011年モデル 1.6L MT GLS,2011年モデル 1.6L AT GLS,2011年モデル 1.6L AT プレミアム,2011年モデル 2.0L AT TOP,2009年モデル 1.6L MT GL,2009年モデル 1.6L AT GL,2009年モデル 1.6L MT GLS,2009年モデル 1.6L AT GLS,2009年モデル 1.6L AT プレミアム,2009年モデル 2.0L AT TOP
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,-,-,-,-,-,-,-,-,-,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）,CVVT（連続可変バルブタイミング）
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国V排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV（国V）排ガス基準,国IV排ガス基準
变速箱,トランスミッション,简称,略称,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアルモード付AT,6速マニュアル,6速マニュアル,6速マニュアルモード付AT,6速マニュアルモード付AT,6速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,5速マニュアル,4速マニュアルモード付AT,4速マニュアルモード付AT,4速マニュアルモード付AT
变速箱,トランスミッション,挡位个数,段数,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,5,4,4,4,5,4,5,4,4,4
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルトランスミッション（MT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）,マニュアルモード付オートマチック（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラムブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ドラムブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ,● サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 195/65 R15タイヤ,● 195/65 R15タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ,● 205/55 R16タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,前○ / 後,-,-,-,前○ / 後,-,-,-,-,前● / 後,-,-,-,-,-,-,-,-,-,前● / 後,前● / 後,-,-,-,-,-,-,-,-,-,-,前● / 後,-,-,-,-,-,前● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前● / 後●,前● / 後●,-,-,-,-,-,-,-,-,-,-,前● / 後●,-,-,-,-,-,前● / 後●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,-,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,-,● タイヤ空気圧警報,-,● タイヤ空気圧警報,● タイヤ空気圧警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 前席,● 前席,● 運転席,● 運転席,● 前席,● 前席,● 運転席,● 前席,● 運転席,● 前席,● 前席,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
