セクション,項目,福瑞迪 2019款 1.6L 手动舒适版 国V,福瑞迪 2019款 1.6L 自动风尚版 国V,福瑞迪 2019款 1.6L 手动智享天窗版 国V,福瑞迪 2019款 1.6L 自动智享互联版 国V,福瑞迪 2019款 1.6L 手动舒适版 国VI,福瑞迪 2019款 1.6L 自动风尚版 国VI,福瑞迪 2019款 1.6L 手动智享天窗版 国VI,福瑞迪 2019款 1.6L 自动智享互联版 国VI,福瑞迪 2018款 1.6L 手动舒适版Smart,福瑞迪 2018款 1.6L 手动智享天窗版Value,福瑞迪 2018款 1.6L 自动Smart,福瑞迪 2018款 1.6L 自动智享互联版Value-Connect,福瑞迪 2018款 1.6L 自动智享豪华版Value-Comfort,福瑞迪 2016款 1.6L MT GL,福瑞迪 2016款 1.6L AT GL,福瑞迪 2016款 1.6L MT GLS,福瑞迪 2016款 1.6L AT GLS,福瑞迪 2014款 1.6L MT GL,福瑞迪 2014款 1.6L AT GL,福瑞迪 2014款 1.6L MT GLS,福瑞迪 2014款 1.6L AT GLS,福瑞迪 2014款 1.6L AT Premium,福瑞迪 2014款 1.6L MT Premium Special,福瑞迪 2014款 1.6L AT Premium Special,福瑞迪 2012款 1.6L MT GL 纪念版,福瑞迪 2012款 1.6L AT GL 纪念版,福瑞迪 2012款 1.6L MT GLS 纪念版,福瑞迪 2012款 1.6L AT GLS 纪念版,福瑞迪 2012款 1.6L AT Premium 纪念版,福瑞迪 2011款 1.6L MT GL,福瑞迪 2011款 1.6L AT GL,福瑞迪 2011款 1.6L MT GLS,福瑞迪 2011款 1.6L AT GLS,福瑞迪 2011款 1.6L AT Premium,福瑞迪 2011款 2.0L AT TOP,福瑞迪 2009款 1.6L MT GL,福瑞迪 2009款 1.6L AT GL,福瑞迪 2009款 1.6L MT GLS,福瑞迪 2009款 1.6L AT GLS,福瑞迪 2009款 1.6L AT Premium,福瑞迪 2009款 2.0L AT TOP
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 电动助力,● 电动助力,● 电动助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力,● 机械液压助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16
车轮制动,后轮胎规格,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 195/65 R15,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,-,前 ○ / 后-,-,-,-,前 ○ / 后-,-,-,-,-,前 ● / 后-,-,-,-,-,-,-,-,-,-,前 ● / 后-,前 ● / 后-,-,-,-,-,-,-,-,-,-,-,前 ● / 后-,-,-,-,-,-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前 ● / 后 ●,前 ● / 后 ●,-,-,-,-,-,-,-,-,-,-,前 ● / 后 ●,-,-,-,-,-,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,-,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,-,● 胎压报警,-,● 胎压报警,● 胎压报警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 主驾驶位,● 前排,● 主驾驶位,● 前排,● 前排,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,道路救援呼叫,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,-,○,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,上坡辅助,-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,前- / 后 ●,-,前- / 后 ●,前- / 后 ●,-,-,前- / 后 ●,前- / 后 ●,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,-,-,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,-,○ 倒车影像,● 倒车影像,● 倒车影像,-,○ 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,-,● 倒车影像,● 倒车影像,-,-,-,-,-,-,-,-,-,● 倒车影像,● 倒车影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,-,-,-,● 定速巡航,-,-,-,● 定速巡航,-,-,-,-,● 定速巡航,-,-,-,-,-,-,-,-,-,-,● 定速巡航,-,-,-,-,-,-,-,-,-,-,● 定速巡航,-,-,-,-,-,● 定速巡航
驾驶功能,卫星导航系统,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,地图品牌,-,-,-,-,-,-,-,● 百度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,-,-,○,●,-,-,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,无钥匙进入功能,-,-,○ 前排,● 前排,-,-,○ 前排,● 前排,-,○ 前排,-,● 前排,● 前排,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,远程启动功能,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,LED日间行车灯,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,○,●,●,-,○,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,转向辅助灯,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,● 卤素,● 卤素,-,-,● 卤素,● 卤素,-,● 卤素,-,● 卤素,● 卤素,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,○ 电动天窗,● 电动天窗,● 电动天窗,-,○ 电动天窗,● 电动天窗,● 电动天窗,-,● 电动天窗,-,○ 电动天窗,● 电动天窗,○ 电动天窗,○ 电动天窗,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,-,-,-,● 驾驶位,-,-,-,● 驾驶位,-,-,-,-,● 驾驶位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,●,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠","● 电动调节
● 电动折叠",● 电动调节,● 电动调节,"● 电动调节
● 电动折叠","● 电动调节
● 电动折叠",● 电动调节,"● 电动调节
● 电动折叠","● 电动调节
● 电动折叠","● 电动调节
● 电动折叠","● 电动调节
● 电动折叠
● 后视镜加热",● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠","● 电动调节
● 电动折叠",● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠",● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,"● 电动调节
● 电动折叠"
屏幕/系统,中控彩色屏幕,-,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,中控屏幕尺寸,-,○ 8英寸,● 8英寸,● 8英寸,-,○ 8英寸,● 8英寸,● 8英寸,-,● 8英寸,-,● 8英寸,● 8英寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,手机互联/映射,-,"○ 支持CarPlay
○ 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",-,"○ 支持CarPlay
○ 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",-,"● 支持CarPlay
● 支持CarLife",-,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,-,-,-,"● 多媒体系统
● 导航
● 电话
● 空调",-,-,-,"● 多媒体系统
● 导航
● 电话
● 空调",-,-,-,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,车载智能系统,-,-,-,-,-,-,-,● UVO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD
智能化配置,车联网,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,4G/5G网络,-,-,-,-,-,-,-,● 4G,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
