セクション,項目,宝马X5 2026款 xDrive 30Li M运动曜夜套装,宝马X5 2026款 xDrive 30Li 尊享型M运动曜夜套装,宝马X5 2026款 xDrive 40Li M运动曜夜套装,宝马X5 2026款 xDrive 40Li 尊享型M运动曜夜套装,宝马X5 2024款 xDrive 40Li 尊享型黑焰限量版,宝马X5 2023款 xDrive 30Li M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动曜夜套装,宝马X5 2023款 xDrive 40Li M运动套装,宝马X5 2023款 xDrive 40Li M运动曜夜套装,宝马X5 2023款 xDrive 40Li 尊享型M运动曜夜套装
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向)
座椅配置,副座椅调节方式,前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 肩部调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,加热 通风 (8000元),加热 通风 (8000元),● 加热 通风,● 加热 通风,● 加热 通风,加热 通风 (8000元),加热 通风 (8000元),加热 通风 (8000元),● 加热 通风,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅功能,○ 加热 (4500元),○ 加热 (4500元),○ 加热 (5000元),● 加热,● 加热,○ 加热 (4500元),○ 加热 (4500元),○ 加热 (4500元),○ 加热 (5000元),○ 加热 (5000元),● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,12喇叭 16喇叭 (9000元),● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,12喇叭 16喇叭 (9000元),● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,○ (7600元),○ (7600元),●,●,●,○ (7600元),○ (7600元),○ (7600元),●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
特色配置,M高性能卡钳,-,-,-,-,●,-,-,-,○ (6500.00),○ (6500.00),●
特色配置,M运动型排气系统,-,-,-,-,●,-,-,-,○ (6000.00),○ (6000.00),●
颜色,外观颜色,神秘灰 宝石青 矿石白 碳黑色 摩天灰 磨砂纯灰 ￥8000,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰 ￥8000,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰 ￥8000,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,宝石青,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰,神秘灰 宝石青 矿石白 碳黑色 量子蓝 摩天灰 磨砂纯灰
颜色,内饰颜色,黑色/摩卡色 火山红 火山红/黑色 ￥2000 海蓝/黑色,黑色/摩卡色 火山红 火山红/黑色 ￥2000 海蓝/黑色,黑色/摩卡色 火山红 火山红/黑色 ￥2000 海蓝/黑色,黑色/摩卡色 火山红 火山红/黑色 ￥2000 海蓝/黑色,黑色,黑色/摩卡色 黑色/火山红 摩卡色/象牙白,黑色/摩卡色 黑色/火山红 摩卡色/象牙白,黑色/摩卡色 黑色/火山红 摩卡色/象牙白,黑色/摩卡色 黑色/火山红 摩卡色/象牙白 火山红/黑色,黑色/摩卡色 黑色/火山红 摩卡色/象牙白,黑色/摩卡色 黑色/火山红 摩卡色/象牙白
选装包,个性化定制黑色高光外装组件,○ 包含：个性化定制黑色高光外装组件 选配 (3000元),○ 包含：个性化定制黑色高光外装组件 选配 (3000元),-,-,-,-,-,-,-,-,-
选装包,自动驾驶辅助系统Pro,○ 包含：自动驾驶辅助系统Pro 选配 (16000元),○ 包含：自动驾驶辅助系统Pro 选配 (16000元),○ 包含：自动驾驶辅助系统Pro 选配 (17000元),-,-,○ 包含：自动驾驶辅助系统Pro 选配 (16000元),○ 包含：自动驾驶辅助系统Pro 选配 (16000元),○ 包含：自动驾驶辅助系统Pro 选配 (16000元),○ 包含：自动驾驶辅助系统Pro 选配 (17000元),○ 包含：自动驾驶辅助系统Pro 选配 (17000元),-
选装包,个性化定制黑色高光外装组件,-,-,○ 包含：个性化定制黑色高光外装组件 选配 (免费),○ 包含：个性化定制黑色高光外装组件 选配 (免费),-,-,-,-,-,-,-
选装包,自动泊车辅助系统Pro,-,-,-,-,-,○ 包含：自动泊车辅助系统Pro 选配 (10000元),-,-,-,-,-
