セクション,セクション_ja,項目,項目_ja,2026年モデル xDrive 30Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2026年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ,2024年モデル xDrive 40Li プレミアム ブラックフレイム限定版,2023年モデル xDrive 30Li Mスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2023年モデル xDrive 40Li Mスポーツパッケージ,2023年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2023年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,"○ マトリクス式（10,000元）","○ マトリクス式（10,000元）",● マトリクス式,● マトリクス式,-,-,-,-,-,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,○,○,●,●,-,-,-,-,-,-,-
车外灯光,外部照明,转向头灯,コーナリングライト,○,○,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,星空天窗,スターライトサンルーフ,"○ （9,700元）","○ （9,700元）","○ （11,000元）",●,●,"○ （9,700元）","○ （9,700元）","○ （9,700元）","○ （11,000元）","○ （11,000元）",●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,"○ （3,200元）","○ （3,200元）","○ （3,500元）","○ （3,500元）",-,"○ （3,200元）","○ （3,200元）","○ （3,200元）","○ （3,500元）","○ （3,500元）","○ （3,500元）"
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,"4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）",● 4G,"4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）","4G 5G（3,200元）"
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○,○,○,●,●,○,○,○,○,○,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,"○ （13,000元）",●,●,●,●,"○ （13,000元）",●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 肩部調整 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,"加熱 通気（8,000元）","加熱 通気（8,000元）",● 加熱 通気,● 加熱 通気,● 加熱 通気,"加熱 通気（8,000元）","加熱 通気（8,000元）","加熱 通気（8,000元）",● 加熱 通気,● 加熱 通気,● 加熱 通気
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"○ 加熱（4,500元）","○ 加熱（4,500元）","○ 加熱（5,000元）",● 加熱,● 加熱,"○ 加熱（4,500元）","○ 加熱（4,500元）","○ 加熱（4,500元）","○ 加熱（5,000元）","○ 加熱（5,000元）",● 加熱
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"12スピーカー 16スピーカー（9,000元）",● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,"12スピーカー 16スピーカー（9,000元）",● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,"○ （7,600元）","○ （7,600元）",●,●,●,"○ （7,600元）","○ （7,600元）","○ （7,600元）",●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアコン吹き出し口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
特色配置,特徴装備,M高性能卡钳,M高性能キャリパー,-,-,-,-,●,-,-,-,"○ （6,500元）","○ （6,500元）",●
特色配置,特徴装備,M运动型排气系统,Mスポーツエキゾーストシステム,-,-,-,-,●,-,-,-,"○ （6,000元）","○ （6,000元）",●
颜色,カラー,外观颜色,外装色,"ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック スカイスクレイパーグレー マットピュアグレー ￥8,000","ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー ￥8,000","ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー ￥8,000",ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ジェムブルー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー,ミステリアスグレー ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー スカイスクレイパーグレー マットピュアグレー
颜色,カラー,内饰颜色,内装色,ブラック/モカ色 火山レッド 火山レッド/ブラック ￥2000 マリンブルー/ブラック,ブラック/モカ色 火山レッド 火山レッド/ブラック ￥2000 マリンブルー/ブラック,ブラック/モカ色 火山レッド 火山レッド/ブラック ￥2000 マリンブルー/ブラック,ブラック/モカ色 火山レッド 火山レッド/ブラック ￥2000 マリンブルー/ブラック,ブラック,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト 火山レッド/ブラック,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト,ブラック/モカ色 ブラック/火山レッド モカ色/アイボリーホワイト
选装包,オプションパッケージ,个性化定制黑色高光外装组件,カスタムブラックハイグロス外装パーツ,○ 含む：カスタムブラックハイグロス外装パーツ オプション（3000元）,○ 含む：カスタムブラックハイグロス外装パーツ オプション（3000元）,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,自动驾驶辅助系统Pro,自動運転支援システムPro,○ 含む：自動運転支援システムPro オプション（16000元）,○ 含む：自動運転支援システムPro オプション（16000元）,○ 含む：自動運転支援システムPro オプション（17000元）,-,-,○ 含む：自動運転支援システムPro オプション（16000元）,○ 含む：自動運転支援システムPro オプション（16000元）,○ 含む：自動運転支援システムPro オプション（16000元）,○ 含む：自動運転支援システムPro オプション（17000元）,○ 含む：自動運転支援システムPro オプション（17000元）,-
选装包,オプションパッケージ,个性化定制黑色高光外装组件,カスタムブラックハイグロス外装パーツ,-,-,○ 含む：カスタムブラックハイグロス外装パーツ オプション（無料）,○ 含む：カスタムブラックハイグロス外装パーツ オプション（無料）,-,-,-,-,-,-,-
选装包,オプションパッケージ,自动泊车辅助系统Pro,自動駐車支援システムPro,-,-,-,-,-,○ 含む：自動駐車支援システムPro オプション（10000元）,-,-,-,-,-
