セクション,セクション_ja,項目,項目_ja,2026年モデル 222km モエキュウマ,2026年モデル 222km モエキュウマ Plus,2026年モデル 222km センサイマ,2026年モデル 222km センヨウマ,2026年モデル 222km レイリマ,2026年モデル 222km レイロウマ,2025年モデル 222km レイドウマ,2025年モデル 222km センデンマ,2025年モデル 222km レイリマ,2025年モデル 222km レイロウマ,2025年モデル 222km レイインマ,2025年モデル 222km レイサイマ,2024年モデル 122km カワイイマ,2024年モデル 122km モエキュウマ,2024年モデル 170km ゲンキマ,2024年モデル 170km カツリョクマ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,-,-,-,○ タッチ液晶画面,○ タッチ液晶画面,-,-,○ タッチ液晶画面,○ タッチ液晶画面,○ タッチ液晶画面,○ タッチ液晶画面,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,-,-,-,○ 10.1インチ,○ 10.1インチ,-,-,○ 10.1インチ,○ 10.1インチ,○ 10.1インチ,○ 10.1インチ,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,車載通信システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,● ドア操作・エアコン操作・車両位置特定／車両探索,-,● ドア操作・車両位置特定／車両探索,● ドア操作・車両位置特定／車両探索,● ドア操作・車両位置特定／車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● モノクロ,● モノクロ,● モノクロ,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,-,-,-,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,○ ストリーミングメディア,○ ストリーミングメディア,○ ストリーミングメディア,○ ストリーミングメディア,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席1個,● 前席1個,● 前席2個,● 前席2個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席2個
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,ファブリック 合成皮革,● 合成皮革,ファブリック 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック,● ファブリック
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整,● 前後調整 リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 1スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 2スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 2スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアコン吹き出し口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調節,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,山茶グリーン ピーチピンク チーズホワイト（パールホワイト）,テンタイブルー ￥888 山茶グリーン ピーチピンク チーズホワイト（パールホワイト） アイスココナッツブルー ￥888,テンタイブルー ￥888 山茶グリーン ピーチピンク チーズホワイト（パールホワイト） アイスココナッツブルー ￥888 スノーチェリーピンク ￥888 ミルクコーヒーブラウン ￥888,テンタイブルー ￥888 山茶グリーン ピーチピンク チーズホワイト（パールホワイト） アイスココナッツブルー ￥888 スノーチェリーピンク ￥888 ミルクコーヒーブラウン ￥888,テンタイブルー ￥888 山茶グリーン ピーチピンク チーズホワイト（パールホワイト） アイスココナッツブルー ￥888 スノーチェリーピンク ￥888 ミルクコーヒーブラウン ￥888,テンタイブルー ￥888 山茶グリーン ピーチピンク チーズホワイト（パールホワイト） アイスココナッツブルー ￥888 スノーチェリーピンク ￥888 ミルクコーヒーブラウン ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥399 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888 アイスココナッツブルー ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888,ジャスミンホワイト バブルブルー ￥388 テンタイブルー ￥888 山茶グリーン ￥388 ピーチピンク ￥388 チーズホワイト（パールホワイト） ￥888
颜色,カラー,内饰颜色,内装色,ブラック/ビーチゴールド ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/山茶グリーン ブラック/ピーチピンク ココアブラウン ブラック/アイスココナッツブルー,ココアブラウン,ココアブラウン,ココアブラウン,ココアブラウン,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク,ブラック/ビーチゴールド ブラック/バブルブルー ブラック/テンタイブルー ブラック/山茶グリーン ブラック/ピーチピンク
