セクション,セクション_ja,項目,項目_ja,2026年モデル トゥアング Pro 380TSI 2WD 越境版,2026年モデル トゥアング Pro 380TSI 2WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 越境版,2026年モデル トゥアング Pro 450TSI 4WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 登峰版,2025年モデル トゥアングX 380TSI 4WD 出衆版,2025年モデル 380TSI 4WD 出衆版,2025年モデル トゥアング Pro 450TSI 4WD 探索版,2025年モデル トゥアング Pro 450TSI 4WD 縦横版,2025年モデル トゥアング Pro 450TSI 4WD 登峰版
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,-,-,-,-,●,-,-,-,○,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,-,-,-,● 前席 後席,● 前席 後席,● 前席 後席,-,-,● 前席 後席,● 前席 後席
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインド日よけカーテン,-,-,-,-,● 手動,-,-,-,-,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席サイドプライバシーガラス,-,-,-,-,●,●,●,-,-,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶機能 ドアミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15インチ,● 15インチ,● 15インチ,● 15インチ,● 15インチ,● 12インチ,● 12インチ,● 15インチ,● 15インチ,● 15インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター画面解像度,● 2K,● 2K,● 2K,● 2K,● 2K,-,-,● 2K,● 2K,● 2K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,● 11.6インチ,-,● 11.6インチ,● 11.6インチ,-,-,-,● 11.6インチ,● 11.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,●,●,●,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション シートマッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,-,-,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,-,-,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,-,-,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,●,-,●,●,-,-,-,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,●,●,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,-,-,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,● 12,● 12,-,-,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,-,-,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,-,-,-,●,-,-,-,-,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● 車両状態確認/診断 車両位置特定/車両探索,● 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索,● パワーウインドウ操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 電子シフトレバー,● 電子シフトレバー,● 回転式電子シフトノブ,● 回転式電子シフトノブ,● 回転式電子シフトノブ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,-,●,●,-,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.25インチ,● 10.25インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○,-,○,●,-,-,-,○,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席4個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席4個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W,● 45W,-,-,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,-,● 前席,● 前席,-,-,-,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 40W,-,● 40W,● 40W,-,-,-,● 40W,● 40W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,-,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席、助手席,● 運転席、助手席,● 運転席、助手席,● 運転席、助手席,● 運転席、助手席,● 運転席,● 運転席,-,● 運転席、助手席,● 運転席、助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,-,● シートヒーター,● シートヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-3-2列シート,● 2-3-2列シート,● 2-3-2列シート,● 2-3-2列シート,● 2-3-2列シート,-,● 2-3-2列シート,● 2-3-2列シート,● 2-3-2列シート,● 2-3-2列シート
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,-,-,-,●,●,-,-,-,●,●
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,"○ Harman/Kardon（ハーマンカードン） （5,100元）",-,"○ Harman/Kardon（ハーマンカードン） （5,100元）",● Harman/Kardon（ハーマンカードン）,-,-,-,"○ Harman/Kardon（ハーマンカードン） （5,100元）",● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 9スピーカー,9スピーカー、14スピーカー,● 9スピーカー,9スピーカー、14スピーカー,● 14スピーカー,● 8スピーカー,● 8スピーカー,● 9スピーカー,9スピーカー、14スピーカー,● 14スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色,● 30色,● 単色,● 30色,● 30色,● 30色,● 30色,● 単色,● 30色,● 30色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,○,-,○,●,-,-,-,○,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,-,-,●,●,●
颜色,カラー,外观颜色,外装色,"玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、砂丘ブラウン ￥7,000、朝霞パープル ￥2,000、雲嶺グレー",氷河ホワイト、玄武ブラック,氷河ホワイト、玄武ブラック,"玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、朝霞パープル ￥2,000、雲嶺グレー","玄武ブラック、極地ホワイト、砂丘ブラウン ￥7,000、朝霞パープル ￥2,000、雲嶺グレー"
颜色,カラー,内饰颜色,内装色,星夜ブラック,ブラック／雲海ホワイト、星夜ブラック,星夜ブラック,ブラック／雲海ホワイト、星夜ブラック,星耀ブラック,チタンクリスタルブラック,曜岩ブラック,ブラック／雲影グレー,ブラック／雲海ホワイト、ブラック／浅雲グリーン、星夜ブラック,星耀ブラック
选装包,オプションパッケージ,平视显示系统+智能香氛系统,ヘッドアップディスプレイ＋スマートアロマシステム,-,"○ 含む：ヘッドアップディスプレイ＋スマート香りシステム（オプション 3,500元）",-,"○ 含む：ヘッドアップディスプレイ＋スマート香りシステム（オプション 3,500元）",-,-,-,-,"○ 含む：ヘッドアップディスプレイ＋スマート香りシステム（オプション 3,500元）",-
选装包,オプションパッケージ,黑曜套件+21吋静音轮毂,オブシディアンパッケージ＋21インチ静音ホイール,-,"○ 含む：ブラックオニキスパッケージ＋21インチ静音ホイール（オプション 4,800元）",-,"○ 含む：ブラックオニキスパッケージ＋21インチ静音ホイール（オプション 4,800元）",-,-,-,-,"○ 含む：ブラックオニキスパッケージ＋21インチ静音ホイール（オプション 4,800元）",-
选装包,オプションパッケージ,21吋静音轮毂,21インチ静音ホイール,-,-,-,-,"○ 含む：21インチ静音ホイール（オプション 1,000元）",-,-,-,-,"○ 含む：21インチ静音ホイール（オプション 1,000元）"
选装包,オプションパッケージ,星海流光大灯+前贯穿式双层LED灯带,スターシーグローライト＋前方貫通型二重LEDライトバー,-,-,-,-,-,-,-,-,"○ 含む：星海流光ヘッドライト＋前面貫通型二重LEDライトバー（オプション 9,300元）",-
