セクション,項目,途昂 2026款 途昂 Pro 380TSI 两驱越境版,途昂 2026款 途昂 Pro 380TSI 两驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱越境版,途昂 2026款 途昂 Pro 450TSI 四驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱登峰版,途昂 2025款 途昂X 380TSI 四驱出众版,途昂 2025款 380TSI 四驱出众版,途昂 2025款 途昂 Pro 450TSI 四驱探索版,途昂 2025款 途昂 Pro 450TSI 四驱纵横版,途昂 2025款 途昂 Pro 450TSI 四驱登峰版
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 电子挡把换挡,● 电子挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,-,●,●,-,●,-,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.25英寸,● 10.25英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,○,-,○,●,-,-,-,○,●
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排4个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排4个
车内充电,USB/Type-C最大充电功率,● 45W,● 45W,● 45W,● 45W,● 45W,-,-,● 45W,● 45W,● 45W
车内充电,手机无线充电功能,-,● 前排,-,● 前排,● 前排,-,-,-,● 前排,● 前排
车内充电,手机无线充电功率,-,● 40W,-,● 40W,● 40W,-,-,-,● 40W,● 40W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风,● 加热 通风,-,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,-,● 加热,● 加热
座椅配置,座椅布局,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,-,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,-,-,●,●,-,-,-,●,●
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,○ Harman/Kardon哈曼卡顿 (5100元),-,○ Harman/Kardon哈曼卡顿 (5100元),● Harman/Kardon哈曼卡顿,-,-,-,○ Harman/Kardon哈曼卡顿 (5100元),● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 9喇叭,9喇叭 14喇叭,● 9喇叭,9喇叭 14喇叭,● 14喇叭,● 8喇叭,● 8喇叭,● 9喇叭,9喇叭 14喇叭,● 14喇叭
音响/车内灯光,车内环境氛围灯,● 单色,● 30色,● 单色,● 30色,● 30色,● 30色,● 30色,● 单色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,○,-,○,●,-,-,-,○,●
空调/冰箱,空气质量监测,●,●,●,●,●,-,-,●,●,●
颜色,外观颜色,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 沙丘棕 ￥7000 朝霞紫 ￥2000 云岭灰,冰川白 玄武黑,冰川白 玄武黑,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 朝霞紫 ￥2000 云岭灰,玄武黑 极地白 沙丘棕 ￥7000 朝霞紫 ￥2000 云岭灰
颜色,内饰颜色,星夜黑,黑色/云海白 星夜黑,星夜黑,黑色/云海白 星夜黑,星耀黑,钛晶黑,曜岩黑,黑色/云影灰,黑色/云海白 黑色/浅云绿 星夜黑,星耀黑
选装包,平视显示系统+智能香氛系统,-,○ 包含：平视显示系统+智能香氛系统 选配 (3500元),-,○ 包含：平视显示系统+智能香氛系统 选配 (3500元),-,-,-,-,○ 包含：平视显示系统+智能香氛系统 选配 (3500元),-
选装包,黑曜套件+21吋静音轮毂,-,○ 包含：黑曜套件+21吋静音轮毂 选配 (4800元),-,○ 包含：黑曜套件+21吋静音轮毂 选配 (4800元),-,-,-,-,○ 包含：黑曜套件+21吋静音轮毂 选配 (4800元),-
选装包,21吋静音轮毂,-,-,-,-,○ 包含：21吋静音轮毂 选配 (1000元),-,-,-,-,○ 包含：21吋静音轮毂 选配 (1000元)
选装包,星海流光大灯+前贯穿式双层LED灯带,-,-,-,-,-,-,-,-,○ 包含：星海流光大灯+前贯穿式双层LED灯带 选配 (9300元),-
