セクション,セクション_ja,項目,項目_ja,2026年モデル 1.6L CVT省エネ版,2026年モデル 1.6L CVT真心版,2026年モデル 1.6L CVT悦楽版,2026年モデル 1.6L CVTブラックゴールド版,2026年モデル 1.6L CVTスマートドライブ版,2025年モデル 1.6L CVT真心版,2024年モデル 改良版3 经典 1.6XE CVT快適版,2024年モデル 改良版 经典 1.6XE+ CVT大画面版,2024年モデル 改良版2 经典 1.6XL CVT豪華版,2024年モデル 改良版2 经典 1.6XV CVT特別版,2023年モデル 超ハイブリッド 全電動駆動Pro,2023年モデル 超ハイブリッド 全電動駆動大画面版,2023年モデル 超ハイブリッド 超スマートコネクトPlus,2023年モデル 超ハイブリッド 超スマートドライブMax,2023年モデル 超ハイブリッド 超豪華Ultra,2023年モデル 1.6L CVT快適享受版,2023年モデル 改良版 1.6L CVT悦楽享受版,2023年モデル 1.6L CVTブラックゴールド版,2023年モデル 改良版 1.6L CVTスマートドライブ版,2021年モデル 经典 1.6XE CVT専用版,2026年モデル ベーシックタイプ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ,● エコ,● エコ,● エコ,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ 標準/快適,● エコ,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,-,●,●,●,●,-
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,●,●,●,●,●,-,-,-,-,●,●,●,●,●,-,●,●,●,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前席/後席,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,-,● バックカメラ,● バックカメラ,● バックカメラ,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,● 単眼,-,-,-,-,-,-,-,-,● 単眼,● 単眼,-,-,-,● 単眼,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 1個,● 1個,● 1個,● 2個,● 1個,-,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 2個,● 5個,-,● 1個,● 1個,● 2個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 8個,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,● 全速度域対応アダプティブクルーズコントロール,-,-,-,-,-,-,-,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-,-,-,● 全速度域対応アダプティブクルーズコントロール,-,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,-,● ProPILOT,-,-,-,-,-,-,-,-,● ProPILOT,● ProPILOT,-,-,-,● ProPILOT,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,● レベル2,-,-,-,-,-,-,-,-,● レベル2,● レベル2,-,-,-,● レベル2,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,● 前席,● 前席,● 前席,-,-,-,-,● 運転席,-,-,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,-,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● LED,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,●,●,●,●,●,-,-,-,●,-,-,●,●,●,-,●,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,●,●,●,●,●,-,-,-,●,-,-,●,●,●,-,●,●,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 運転席,● 運転席,● 車内全体,● 車内全体,● 車内全体,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 車内全体,● 車内全体,● 車内全体,● 運転席,● 車内全体,● 車内全体,● 車内全体,● 運転席,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整 電動格納 ミラー加熱,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,● 8インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 8インチ,-,● 8インチ,● 8インチ,● 8インチ,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,● マルチメディアシステム ナビ 電話 サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,● マルチメディアシステム ナビ 電話 サンルーフ,-,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,-,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ パワーウインドウ,-,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,-,-,-,-,-,-,-,-,-,-,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声無起動ワード対応,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,-,-,-,-,-,-,-,-,-,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,-,-,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,-,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,-,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,● ドア操作 車両始動 ライト操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,-,-,● ドア操作 車両状態確認/診断 車両位置特定/車両探索 点検/整備予約,● ドア操作 車両状態確認/診断 車両位置特定/車両探索 点検/整備予約,-,● ドア操作 車両始動 ライト操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,-,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,-,-
智能化配置,スマート機能装備,车载KTV,車載KTV,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● プラスチック,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● モノクロ,● モノクロ,● モノクロ,● モノクロ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● モノクロ,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 4.2インチ,● 4.2インチ,● 7インチ,● 7インチ,● 7インチ,● 4.2インチ,-,-,-,-,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 4.2インチ,● 7インチ,● 7インチ,● 7インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB,● Type-C,● Type-C,● Type-C,● USB,-,● USB AUX,● USB,● USB,● USB AUX Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB AUX,● Type-C,● Type-C,● Type-C,● USB AUX,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個,-,● 前席1個,● 前席1個,● 前席1個,● 前席1個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席1個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,● 前席,● 前席,● 前席,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,-
