セクション,項目,途岳 2026款 新锐 1.5L 锐进版,途岳 2026款 新锐 1.5L 锐意版,途岳 2026款 新锐 1.5L 锐享版,途岳 2026款 新锐 300TSI 锐意版,途岳 2026款 新锐 300TSI 锐享版,途岳 2025款 300TSI 两驱皓月版,途岳 2025款 新锐 300TSI 锐意版,途岳 2025款 新锐 300TSI 锐享版,途岳 2025款 新锐 1.5L 锐进版,途岳 2025款 新锐 1.5L 锐意版,途岳 2024款 300TSI 两驱皎月版,途岳 2024款 300TSI 两驱满月版,途岳 2024款 300TSI 两驱月尊版,途岳 2024款 300TSI 两驱新月版,途岳 2024款 330TSI 四驱月尊版
智能化配置,车联网,-,-,●,-,●,●,-,●,-,-,●,●,●,-,●
智能化配置,4G/5G网络,-,-,● 4G,-,● 4G,● 4G,-,● 4G,-,-,● 4G,● 4G,● 4G,-,● 4G
智能化配置,OTA升级,-,-,●,-,●,○,-,●,-,-,○,●,●,-,●
智能化配置,Wi-Fi热点,-,-,-,-,-,●,-,-,-,-,●,●,●,-,●
智能化配置,手机APP远程功能,-,-,●,-,●,"● 车况查询/诊断
● 车辆定位/寻车",-,●,-,-,"● 车况查询/诊断
● 车辆定位/寻车","● 车况查询/诊断
● 车辆定位/寻车","● 车况查询/诊断
● 车辆定位/寻车",-,"● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 塑料,● 皮质,● 皮质,● 塑料,● 皮质,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,-,●,○,-,●,-,-,○,●,●,-,●
方向盘/内后视镜,液晶仪表尺寸,● 8英寸,● 8英寸,● 10.3英寸,● 8英寸,● 10.3英寸,"● 8英寸
○ 10.25英寸",● 8英寸,● 10.3英寸,● 8英寸,● 8英寸,"● 8英寸
○ 10.25英寸",● 10.25英寸,● 10.25英寸,● 8英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,"● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,-,● 前排,● 前排,-,● 前排,-,-,● 前排,● 前排,● 前排,-,● 前排
车内充电,手机无线充电功率,-,-,● 15W,-,● 15W,-,-,● 15W,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●
座椅配置,座椅材质,● 织物,● 皮/织物混搭,● 仿皮,● 皮/织物混搭,● 仿皮,● 仿皮,● 皮/织物混搭,● 仿皮,● 织物,● 皮/织物混搭,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮
座椅配置,运动风格座椅,-,-,●,-,●,-,-,●,-,-,-,-,-,-,-
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,-,-,主 ● / 副-,-,主 ● / 副-,主 ● / 副-,-,-,-,-,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,-,主 ● / 副 ●
座椅配置,前排座椅功能,-,-,● 加热,-,● 加热,-,-,● 加热,-,-,-,○ 加热,● 加热,-,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●
座椅配置,后排杯架,-,-,-,-,-,●,-,-,-,-,●,●,●,-,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,○ Beats,-,○ Beats
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,"● 6喇叭
○ 7喇叭",● 4喇叭,"● 6喇叭
○ 7喇叭"
音响/车内灯光,车内环境氛围灯,-,-,●,-,●,-,-,●,-,-,-,-,●,-,●
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,●,●,●,-,●,●,●,●,-,●
空调/冰箱,温度分区控制,-,-,●,-,●,●,-,●,-,-,●,●,●,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,●,-,-,-,-,●,●,●,-,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,酷黑运动套件,-,○ 选配 (暂无价格),-,○ 选配 (暂无价格),-,-,○ 选配 (暂无价格),-,-,○ 选配 (暂无价格),-,-,-,-,-
