セクション,項目,银河E5 2026款 530km 启航版,银河E5 2026款 530km 探索版,银河E5 2026款 610km 远航版,银河E5 2026款 610km 探索+版,银河E5 2026款 610km 星舰版,银河E5 2024款 440km 启航版,银河E5 2024款 530km 公务版,银河E5 2024款 440km 探索版,银河E5 2024款 530km 远航版,银河E5 2024款 530km 探索+版,银河E5 2024款 530km 星舰版
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,HUD抬头数字显示,-,○,-,●,●,-,-,-,-,○ (2500元),●
方向盘/内后视镜,HUD抬头尺寸,-,○ 13.8英寸,-,● 13.8英寸,● 13.8英寸,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,● 前排,-,● 前排,● 前排,-,-,● 前排,-,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,-,● 50W,● 50W,-,-,● 50W,-,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 腿托调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副-,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热 通风 头枕扬声器(仅驾驶位),● 头枕扬声器(仅驾驶位),● 加热 通风 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),-,-,加热 通风 头枕扬声器(仅驾驶位),○ 头枕扬声器(仅驾驶位),加热 通风 头枕扬声器(仅驾驶位),加热 通风 按摩 头枕扬声器(仅驾驶位)
座椅配置,电动座椅记忆功能,-,-,-,-,● 驾驶位 副驾驶位,-,-,-,-,-,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,●,●,-,-,-,-,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 6喇叭,● 6喇叭,6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元)
音响/车内灯光,车外扬声器数量,-,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,-,-,○ 1喇叭,○ 1喇叭,○ 1喇叭,○ 1喇叭
音响/车内灯光,WANOS全景声,-,●,●,●,●,-,-,○,○,○,○
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,-,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,-,● 256色,● 256色,-,-,-,-,● 256色,● 256色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,曙光白 晨雾灰 流光银,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 流光银 晚樱粉 ￥3000 黎光蓝 晚林绿,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 流光银 晚樱粉 ￥3000 黎光蓝 晚林绿,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 流光银 晚樱粉 ￥3000 黎光蓝 晚林绿,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 流光银 晚樱粉 ￥3000 黎光蓝 晚林绿,曙光白 晨雾灰 流光银,曙光白 晨雾灰 流光银,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 霞光红 流光银 晚樱粉 ￥3000 极夜青 ￥3000,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 霞光红 流光银 晚樱粉 ￥3000 极夜青 ￥3000,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 霞光红 流光银 晚樱粉 ￥3000 极夜青 ￥3000,午夜黑 曙光白 晨雾灰 天青绿 ￥3000 霞光红 流光银 晚樱粉 ￥3000 极夜青 ￥3000
颜色,内饰颜色,黑色/薄暮蓝,黑色/薄暮蓝 黑色/云初白,黑色/薄暮蓝,黑色/薄暮蓝 黑色/云初白,黑色/霓光虹 ￥3000 黑色/云初白,黑色/薄暮蓝,黑色/薄暮蓝,黑色/薄暮蓝 黑色/云初白,黑色/薄暮蓝,黑色/薄暮蓝 黑色/云初白,黑色/薄暮蓝 黑色/霓光虹 ￥3000 黑色/云初白
选装包,严寒无忧包,○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元),○ 包含：空调PTC辅热（帮助车辆在-25℃以下环境中提升空调制热速度，同时电耗有所增加） 选配 (1200元)
选装包,畅享生活包,-,○ 包含：电动尾门/超大画幅HUD/铝合金车顶行李架/雨量感应雨刮 选配 (3000元),-,-,-,-,-,-,-,-,-
选装包,颜值包,-,-,-,-,○ 包含：光之涟漪发光前保&徽标（晨雾灰+云初白/薄暮蓝）（流光银+云初白/薄暮蓝） 选配 (5000元),-,-,-,-,-,○ 包含：光之涟漪发光前保&徽标（晨雾灰+云初白/薄暮蓝）（流光银+云初白/薄暮蓝） 选配 (5000元)
