セクション,セクション_ja,項目,項目_ja,2026年モデル 530km スタート版,2026年モデル 530km エクスプローラー版,2026年モデル 610km ロングレンジ版,2026年モデル 610km エクスプローラー＋版,2026年モデル 610km スターシップ版,2024年モデル 440km スタート版,2024年モデル 530km ビジネス版,2024年モデル 440km エクスプローラー版,2024年モデル 530km ロングレンジ版,2024年モデル 530km エクスプローラー＋版,2024年モデル 530km スターシップ版
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,-,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,窓の挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席・助手席,● 運転席＋照明灯・助手席＋照明灯,● 運転席＋照明灯・助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,-,○ 雨量感応式,-,● 雨量感応式,● 雨量感応式,-,-,-,-,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 14.6インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ,● 15.4インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,-,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応,● Flyme link対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・パワーウインドウ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河,● こんにちは、銀河
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動不要機能,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定,● 近日公開予定
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号,-,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号,● 龍鷹一号
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 64,● 64,● 64,● 64,● 64,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・エンジン始動・充電管理・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・エンジン始動・充電管理・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・エンジン始動・充電管理・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・エンジン始動・充電管理・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・エンジン始動・充電管理・エアコン操作・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索,● ドア操作・ウインドウ操作・エンジン始動・充電管理・エアコン操作・シートヒーター・シートベンチレーション・車両状態確認/診断・車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,○,-,●,●,-,-,-,-,○ （2500元）,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,○ 13.8インチ,-,● 13.8インチ,● 13.8インチ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,-,● 前席,● 前席,-,-,● 前席,-,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,-,● 50W,● 50W,-,-,● 50W,-,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）,● 前後調整・リクライニング調整・高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・レッグレスト調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・レッグレスト調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● シートヒーター・ベンチレーション・ヘッドレストスピーカー（運転席のみ）,● ヘッドレストスピーカー（運転席のみ）,● シートヒーター・ベンチレーション・ヘッドレストスピーカー（運転席のみ）,● シートヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー（運転席のみ）,-,-,シートヒーター・ベンチレーション・ヘッドレストスピーカー（運転席のみ）,○ ヘッドレストスピーカー（運転席のみ）,シートヒーター・ベンチレーション・ヘッドレストスピーカー（運転席のみ）,シートヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,● 運転席・助手席,-,-,-,-,-,● 運転席・助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,●,●,-,-,-,-,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 6スピーカー,● 6スピーカー,6スピーカー 16スピーカー（8800元）,6スピーカー 16スピーカー（8800元）,6スピーカー 16スピーカー（8800元）,6スピーカー 16スピーカー（8800元）
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,-,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,-,-,○ 1スピーカー,○ 1スピーカー,○ 1スピーカー,○ 1スピーカー
音响/车内灯光,オーディオ・室内照明,WANOS全景声,WANOSサラウンドサウンド,-,●,●,●,●,-,-,○,○,○,○
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,● 256色,● 256色,-,-,-,-,● 256色,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,曙光ホワイト、晨霧グレー、流光シルバー,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、流光シルバー、晩桜ピンク（￥3000）、黎光ブルー、晩林グリーン,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、流光シルバー、晩桜ピンク（￥3000）、黎光ブルー、晩林グリーン,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、流光シルバー、晩桜ピンク（￥3000）、黎光ブルー、晩林グリーン,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、流光シルバー、晩桜ピンク（￥3000）、黎光ブルー、晩林グリーン,曙光ホワイト、晨霧グレー、流光シルバー,曙光ホワイト、晨霧グレー、流光シルバー,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、霞光レッド、流光シルバー、晩桜ピンク（￥3000）、極夜ブルー（￥3000）,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、霞光レッド、流光シルバー、晩桜ピンク（￥3000）、極夜ブルー（￥3000）,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、霞光レッド、流光シルバー、晩桜ピンク（￥3000）、極夜ブルー（￥3000）,ミッドナイトブラック、曙光ホワイト、晨霧グレー、天青グリーン（￥3000）、霞光レッド、流光シルバー、晩桜ピンク（￥3000）、極夜ブルー（￥3000）
颜色,カラー,内饰颜色,内装色,ブラック／薄暮ブルー,ブラック／薄暮ブルー、ブラック／雲初ホワイト,ブラック／薄暮ブルー,ブラック／薄暮ブルー、ブラック／雲初ホワイト,ブラック／虹光（￥3000）、ブラック／雲初ホワイト,ブラック／薄暮ブルー,ブラック／薄暮ブルー,ブラック／薄暮ブルー、ブラック／雲初ホワイト,ブラック／薄暮ブルー,ブラック／薄暮ブルー、ブラック／雲初ホワイト,ブラック／薄暮ブルー、ブラック／虹光（￥3000）、ブラック／雲初ホワイト
选装包,オプションパッケージ,严寒无忧包,寒冷地対応パッケージ,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）,○ 含む：エアコンPTC補助暖房（-25℃以下の環境で暖房速度を向上させるが、電力消費が増加） オプション（1200元）
选装包,オプションパッケージ,畅享生活包,快適生活パッケージ,-,○ 含む：電動テールゲート／大型HUD／アルミルーフラック／雨量感知ワイパー オプション（3000元）,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,颜值包,エクステリアデザインパッケージ,-,-,-,-,○ 含む：光の波紋発光フロントバンパー＆エンブレム（晨霧グレー＋雲初ホワイト／薄暮ブルー）（流光シルバー＋雲初ホワイト／薄暮ブルー） オプション（5000元）,-,-,-,-,-,○ 含む：光の波紋発光フロントバンパー＆エンブレム（晨霧グレー＋雲初ホワイト／薄暮ブルー）（流光シルバー＋雲初ホワイト／薄暮ブルー） オプション（5000元）
