セクション,セクション_ja,項目,項目_ja,2025年モデル 240TURBO 2WD エリート 5人乗り,2025年モデル 240TURBO 2WD ラグジュアリー 5人乗り,2025年モデル 240TURBO 2WD ラグジュアリー 7人乗り,2025年モデル 240TURBO 2WD プレミアム 5人乗り,2025年モデル 240TURBO 4WD エクスクルーシブ 5人乗り,2025年モデル e HEV 2WD ラグジュアリー,2025年モデル e HEV 2WD プレミアム,2025年モデル e HEV 4WD プレミアム,2025年モデル e HEV 2WD エクスクルーシブ,2025年モデル e HEV 4WD トップグレード
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明,● 運転席＋照明 運転席助手席＋照明
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,-,● 雨量感応式ワイパー,-,-,-,-,● 雨量感応式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 鍵施錠時自動格納,● 電動調整 電動格納 鍵施錠時自動格納,● 電動調整 電動格納 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）,● こんにちは、ホンダ（音声認識システム）
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応,● 4G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認・診断 車両位置特定・呼出し
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,●,●,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目 ミラーディスプレイ（ストリーミング）,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● ミラーディスプレイ（ストリーミング）
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,-,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● ファブリック（布地）,● 本革,● 本革,● 本革,● 本革,● ファブリック（布地）,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,-,-,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席,● 運転席,-,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,● シートヒーター,-,-,-,-,● シートヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,-,-,● 2-3-2（7人乗りシート配列）,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● BOSE（ボーズ）,● BOSE（ボーズ）,-,-,-,● BOSE（ボーズ）,● BOSE（ボーズ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 12スピーカー,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,● 単色,-,-,-,-,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,●,●,●,●,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,●,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,●,-,-,-,-,●
颜色,カラー,外观颜色,外装色,星空ブルー 星月ホワイト ￥2000 ヴェネチアブルー クールブラック／星月ホワイト ￥5000 極夜シルバー 霧光フォレスト クールブラック／霧光フォレスト ￥3000,星空ブルー 星月ホワイト ￥2000 ヴェネチアブルー クールブラック／星月ホワイト ￥5000 極夜シルバー 霧光フォレスト クールブラック／霧光フォレスト ￥3000,星空ブルー 星月ホワイト ￥2000 ヴェネチアブルー クールブラック／星月ホワイト ￥5000 極夜シルバー 霧光フォレスト クールブラック／霧光フォレスト ￥3000,星空ブルー 星月ホワイト ￥2000 ヴェネチアブルー クールブラック／星月ホワイト ￥5000 極夜シルバー 霧光フォレスト クールブラック／霧光フォレスト ￥3000,星空ブルー 星月ホワイト ￥2000 ヴェネチアブルー クールブラック／星月ホワイト ￥5000 極夜シルバー 霧光フォレスト クールブラック／霧光フォレスト ￥3000,星空ブルー 星月ホワイト ￥2000 グリーンランドホワイト ￥2000 ヴェネチアブルー 極夜シルバー 霧光フォレスト,星空ブルー 星月ホワイト ￥2000 グリーンランドホワイト ￥2000 ヴェネチアブルー 極夜シルバー 霧光フォレスト,星空ブルー 星月ホワイト ￥2000 グリーンランドホワイト ￥2000 ヴェネチアブルー 極夜シルバー 霧光フォレスト,星空ブルー 星月ホワイト ￥2000 グリーンランドホワイト ￥2000 ヴェネチアブルー 極夜シルバー 霧光フォレスト,星空ブルー 星月ホワイト ￥2000 グリーンランドホワイト ￥2000 ヴェネチアブルー 極夜シルバー 霧光フォレスト
颜色,カラー,内饰颜色,内装色,ブラック,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック,ブラック,ブラック,ブラック,ブラック
