セクション_ja,項目_ja,2025年モデル 改良版 E 260 L,2025年モデル 改良版 E 260 L スポーツタイプ,2025年モデル 改良版 E 260 L 4MATIC,2025年モデル 改良版 E 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 E 300 L ファッショナブルタイプ,2025年モデル 改良版 E 300 L ファッショナブルスポーツタイプ,2025年モデル 改良版 E 300 L ラグジュアリータイプ,2025年モデル 改良版 E 300 L ラグジュアリースポーツタイプ,2025年モデル 改良版 E 300 L プレミアムタイプ,2025年モデル 改良版 E 300 L プレミアムスポーツタイプ
ディスプレイ・システム,音声アシスタント起動ワード,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● 你好，奔驰,● 你好，奔驰
ディスプレイ・システム,ウェイクワード不要音声操作,●,●,●,●,●,●,●,●,●,●
ディスプレイ・システム,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● 单区域,● 单区域
ディスプレイ・システム,連続音声認識,●,●,●,●,●,●,●,●,●,●
ディスプレイ・システム,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●
ディスプレイ・システム,ジェスチャーコントロール,,,○ （3600元）,○ （3600元）,○ （3600元）,○ （3600元）,○ （3600元）,○ （3600元）,○ (3600元),○ (3600元)
ディスプレイ・システム,アプリストア,●,●,●,●,●,●,●,●,●,●
ディスプレイ・システム,車載インテリジェントシステム,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
ディスプレイ・システム,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● 高通骁龙8295,● 高通骁龙8295
スマート機能,コネクテッドカー,●,●,●,●,●,●,●,●,●,●
スマート機能,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
スマート機能,OTAアップデート,●,●,●,●,●,●,●,●,●,●
スマート機能,V2X通信,●,●,●,●,●,●,●,●,●,●
スマート機能,スマホアプリ遠隔操作機能,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 窓操作 エンジン始動 車両状態確認・診断 車両位置特定・車両探索,● 车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车况查询/诊断 车辆定位/寻车
ステアリング・内側ルームミラー,ステアリング材質,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 真皮,● 真皮
ステアリング・内側ルームミラー,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 电动上下+前后调节,● 电动上下+前后调节
ステアリング・内側ルームミラー,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 电子式怀挡换挡,● 电子式怀挡换挡
ステアリング・内側ルームミラー,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●
ステアリング・内側ルームミラー,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●,●
ステアリング・内側ルームミラー,ステアリングヒーター,,,,,○,○,○ （1600元）,○ （1600元）,○ (1600元),○ (1600元)
ステアリング・内側ルームミラー,ステアリングメモリー機能,,,,,●,●,●,●,●,●
ステアリング・内側ルームミラー,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● 彩色,● 彩色
ステアリング・内側ルームミラー,フル液晶メーター,●,●,●,●,●,●,●,●,●,●
ステアリング・内側ルームミラー,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3英寸,● 12.3英寸
ステアリング・内側ルームミラー,HUDヘッドアップディスプレイ,,,,,○ （9500元）,○ （9500元）,○ (9500元),○ (9500元),●,●
ステアリング・内側ルームミラー,室内ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自动防眩目,● 自动防眩目
ステアリング・内側ルームミラー,ETC装置,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ (3000元),○ (3000元)
車内充電,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
車内充電,USB／Type-Cポート数,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前席3個／後席2個 前席4個／後席2個（2700元）,前排3个/后排2个 前排4个/后排2个 (2700元),前排3个/后排2个 前排4个/后排2个 (2700元)
車内充電,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席 後席,● 前席 後席,● 前排 后排,● 前排 后排
シート,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 仿皮,● 仿皮
シート,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
シート,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向）,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
シート,運転席・助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 主 / 副,● 主 / 副
シート,前席シート機能,○ ヒーター付き（3300元）,○ ヒーター付き（3300元）,ヒーター ベンチレーション（6700元）,ヒーター ベンチレーション（6700元）,● ヒーター ベンチレーション,● ヒーター ベンチレーション,● ヒーター ベンチレーション,● ヒーター ベンチレーション,● 加热 通风,● 加热 通风
シート,電動シートメモリー機能,,,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 驾驶位,● 驾驶位
シート,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●
シート,2列目シート調整,,,○ 背もたれ調整 レッグレスト調整,○ 背もたれ調整 レッグレスト調整,● 背もたれ調整 レッグレスト調整,● 背もたれ調整 レッグレスト調整,● 背もたれ調整 レッグレスト調整,● 背もたれ調整 レッグレスト調整,● 靠背调节 腿托调节,● 靠背调节 腿托调节
シート,2列目シート電動調整,,,○ （1.08万元）,○ （1.08万元）,○ (1.08万元),○ (1.08万元),●,●,●,●
シート,2列目シート機能,,,○ ヒーター ベンチレーション,○ ヒーター ベンチレーション,○ ヒーター ベンチレーション,○ ヒーター ベンチレーション,ヒーター ベンチレーション,ヒーター ベンチレーション,加热 通风,加热 通风
シート,後席シート倒し方,,,,,,,,,,
シート,前後中央アームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前 / 后,● 前 / 后
シート,後席カップホルダー,●,●,●,●,●,●,●,●,●,●
オーディオ・室内照明,スピーカーブランド名,○ Burmester（バルメスター）サウンドシステム（1.04万元）,○ Burmester（バルメスター）サウンドシステム（1.04万元）,○ Burmester（バルメスター）サウンドシステム（1.04万元）,○ Burmester（バルメスター）サウンドシステム（1.04万元）,● Burmester（バルメスター）サウンドシステム,● Burmester（バルメスター）サウンドシステム,● Burmester（バルメスター）サウンドシステム,● Burmester（バルメスター）サウンドシステム,● Burmester柏林之声,● Burmester柏林之声
オーディオ・室内照明,スピーカー数,8スピーカー 21スピーカー,8スピーカー 21スピーカー,8スピーカー 21スピーカー,8スピーカー 21スピーカー,● 21スピーカー,● 21スピーカー,● 21スピーカー,● 21スピーカー,● 21喇叭,● 21喇叭
オーディオ・室内照明,ドルビーアトモス（Dolby Atmos）,○,○,○,○,○,○,●,●,●,●
オーディオ・室内照明,車内アンビエントライト,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
オーディオ・室内照明,アクティブアンビエントライト,○ （7200元）,○ （7200元）,○ （7200元）,○ （7200元）,○ （7200元）,○ （7200元）,○ (7200元),○ (7200元),●,●
エアコン・冷蔵庫,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● 自动空调,● 自动空调
エアコン・冷蔵庫,後席独立エアコン,,,,,,,,,●,●
エアコン・冷蔵庫,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●
エアコン・冷蔵庫,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●
エアコン・冷蔵庫,車載空気清浄機,●,●,●,●,●,●,●,●,●,●
エアコン・冷蔵庫,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●
エアコン・冷蔵庫,空気質モニタリング,●,●,●,●,●,●,●,●,●,●
カラー,外装色,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩ブラック 北極ホワイト ルビーブラック ターコイズグリーン グラファイトグレー タイムシルバー マザーオブパールホワイト ￥9000 マウンテンブルー グリーングラベルシルバー,曜岩黑 北极白 红宝石黑色 松石绿色 石墨灰 时空银 贝母白 ￥9000 海岳蓝 绿砾石银,曜岩黑 北极白 红宝石黑色 松石绿色 石墨灰 时空银 贝母白 ￥9000 海岳蓝 绿砾石银
カラー,内装色,ブラック ブラック/バングラレッド ブラック/トンコーベージュ,ブラック ブラック/バングラレッド ブラック/トンコーベージュ,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,ブラック ブラック/バングラレッド ブラック/トンコーベージュ ブラック/ネビュラグレー ￥11100,黑色 黑色/孟加拉红 黑色/桐咖棕 黑色/星云灰 ￥11100,黑色 黑色/孟加拉红 黑色/桐咖棕 黑色/星云灰 ￥11100
オプションパッケージ,スマートパッケージ2,○ 含む：前席シートヒーター オプション（3300元）,○ 含む：前席シートヒーター オプション（3300元）,○ 含む：ヘッドレストヒーター、ステアリングヒーター、後席シートヒーター オプション（4600元）,○ 含む：ヘッドレストヒーター、ステアリングヒーター、後席シートヒーター オプション（4600元）,○ 含む：ヘッドレストヒーター、ステアリングヒーター、後席シートヒーター オプション（4600元）,○ 含む：ヘッドレストヒーター、ステアリングヒーター、後席シートヒーター オプション（4600元）,○ 包含：头枕加热系统、方向盘加热、可加热后排座椅 选配 (4600元),○ 包含：头枕加热系统、方向盘加热、可加热后排座椅 选配 (4600元),,
オプションパッケージ,インテリジェントナビアシストMax,○ 含む：レーンレベルナビゲーション、ナビゲーション支援運転、インテリジェントパイロットPro、インテリジェントパイロット距離制御機能、予防安全システム（PRE-SAFE）シートパルス側面衝突保護機能 オプション（17400元）,○ 含む：レーンレベルナビゲーション、ナビゲーション支援運転、インテリジェントパイロットPro、インテリジェントパイロット距離制御機能、予防安全システム（PRE-SAFE）シートパルス側面衝突保護機能 オプション（17400元）,○ 包含：车道级导航、导航辅助驾驶、智能领航辅助Pro、智能领航限距功能、预防性安全系统 (PRE-SAFE)座椅脉冲侧碰保护功能 选配 (17400元),○ 包含：车道级导航、导航辅助驾驶、智能领航辅助Pro、智能领航限距功能、预防性安全系统 (PRE-SAFE)座椅脉冲侧碰保护功能 选配 (17400元),,,,,,
オプションパッケージ,スマートエンターテインメントパッケージ,,,○ 含む：前席助手席ディスプレイ、MBUXスーパースクリーン、助手席ディスプレイプライバシー機能、助手席エアバッグ自動無効化、車内セルフィーカメラ オプション（13500元）,○ 含む：前席助手席ディスプレイ、MBUXスーパースクリーン、助手席ディスプレイプライバシー機能、助手席エアバッグ自動無効化、車内セルフィーカメラ オプション（13500元）,○ 包含：前排乘客显示屏、MBUX超级屏、前排乘客显示屏隐私功能、前排乘客前置气囊自动停用、车内自拍摄像头 选配 (13500元),○ 包含：前排乘客显示屏、MBUX超级屏、前排乘客显示屏隐私功能、前排乘客前置气囊自动停用、车内自拍摄像头 选配 (13500元),,,,
