セクション,項目,探岳 2026款 3000万辆甄选款 300TSI,探岳 2026款 3000万辆甄选款 330TSI,探岳 2025款 探岳L 380TSI 四驱豪华,探岳 2025款 探岳L 380TSI 四驱豪华Easy包,探岳 2025款 探岳L 330TSI 两驱精英,探岳 2025款 探岳L 330TSI 两驱精英City包,探岳 2025款 改款 众享款 330TSI,探岳 2025款 探岳L 300TSI 两驱精英,探岳 2025款 改款 众享款 300TSI,探岳 2024款 300TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line Pro智慧版
外后视镜,外后视镜功能,"● 电动调节
○ 电动折叠
● 后视镜加热
○ 倒车自动下翻 (500元)
○ 锁车自动折叠","● 电动调节
○ 电动折叠
● 后视镜加热
○ 倒车自动下翻 (500元)
○ 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
○ 电动折叠
● 后视镜加热
○ 倒车自动下翻 (500元)
○ 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
○ 电动折叠
● 后视镜加热
○ 倒车自动下翻 (500元)
○ 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12英寸,● 12英寸,● 15英寸,● 15英寸,● 12.9英寸,● 15英寸,● 12英寸,● 12.9英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸
屏幕/系统,中控屏幕分辨率,-,-,● 2K,● 2K,● 2K,● 2K,-,● 2K,-,-,-,-,-,-
屏幕/系统,副驾娱乐屏尺寸,-,-,● 11.6英寸,● 11.6英寸,-,● 11.6英寸,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,-,-,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,-,● 你好，大众,-,-,-,-,-,-
屏幕/系统,语音免唤醒词,-,-,●,●,●,●,-,●,-,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,-,-,● 双区域,● 双区域,● 双区域,● 双区域,-,● 双区域,-,-,-,-,-,-
屏幕/系统,语音连续识别,-,-,●,●,●,●,-,●,-,-,-,-,-,-
屏幕/系统,可见即可说,-,-,●,●,●,●,-,●,-,-,-,-,-,-
屏幕/系统,手势控制,-,-,●,●,-,-,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,-,-,●,●,●,●,-,●,-,-,-,-,-,-
屏幕/系统,车载智能系统,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
屏幕/系统,车机智能芯片,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,● 高通骁龙8155,-,-,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 5G,● 5G,● 5G,● 5G,● 4G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,●,●,●,●,-,●,-,-,-,-,-,-
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,-,-,●,●,●,●,-,●,-,-,-,-,-,-
智能化配置,手机APP远程功能,●,●,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",●,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 旋转式电子怀挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,-,-,-,-,-,-,-,-,-,●
方向盘/内后视镜,方向盘加热,○ (200元),○ (200元),○,○,○,○,○ (200元),○,○ (200元),●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,○ (4000元),●,○ (4000元),○ (4000元),-,○ (4000元),-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○,○,○,○,○ (500元),○,○ (500元),○,○,○,○,○
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C",● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C",● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,● 15W,● 15W,● 15W,● 15W,-,● 15W,-,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ○ (700元),主 ● / 副 ○ (700元),主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ○ (700元),主 ● / 副-,主 ● / 副 ○ (700元),主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"○ 加热 (1000元)
○ 通风 (2000元)","○ 加热 (1000元)
○ 通风 (2000元)","○ 加热
○ 通风 (3000元)","○ 加热
○ 通风 (3000元)","○ 加热
○ 通风 (3000元)","○ 加热
○ 通风 (3000元)","○ 加热 (1000元)
○ 通风 (2000元)","○ 加热
○ 通风 (3000元)","○ 加热 (1000元)
○ 通风 (2000元)","○ 加热 (1500元)
○ 通风 (3000元)","○ 加热 (1500元)
○ 通风 (3000元)","● 加热
○ 通风 (3000元)","● 加热
○ 通风 (3000元)","● 加热
● 通风"
座椅配置,电动座椅记忆功能,-,-,○ 驾驶位 (1000元),● 驾驶位,-,○ 驾驶位 (1000元),-,-,-,○ 驾驶位,○ 驾驶位,○ 驾驶位,○ 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,-,-,●,●,●,●,-,●,-,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ Harman/Kardon哈曼卡顿 (6000元),○ Harman/Kardon哈曼卡顿 (6000元),-,○ Harman/Kardon哈曼卡顿 (6000元),-,-,-,-,-,○ Harman/Kardon哈曼卡顿 (5000元),○ Harman/Kardon哈曼卡顿 (5000元),● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,"● 6喇叭
○ 12喇叭","● 6喇叭
○ 12喇叭",● 6喇叭,"● 6喇叭
○ 12喇叭",● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,"● 8喇叭
○ 10喇叭","● 8喇叭
○ 10喇叭",● 10喇叭
音响/车内灯光,触摸式阅读灯,-,-,●,●,●,●,-,●,-,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,● 30色,● 30色,● 30色,● 30色,-,● 30色,-,"● 单色
○ 30色","● 单色
○ 30色",● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,○ (1500元),●,●,○ (1500元),●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,●,●,○,●,-,○,-,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,-,-,●,●,○,●,-,○,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,冬季包,-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-,○ 选配 (2000元),-,-,-,-,-,-
选装包,座椅通风及加热包,-,-,-,-,-,-,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-,-,-
选装包,座椅通风包,-,-,-,-,-,-,○ 选配 (2000元),-,○ 选配 (2000元),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),-
选装包,流星飞雨透光饰板包,-,-,-,-,-,-,-,-,-,○ 选配 (2000元),○ 选配 (2000元),-,-,-
选装包,Side Assist变道辅助系统,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-
选装包,高光黑运动版专属外观,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元)
选装包,harman/kardon 哈曼卡顿高级音响系统,-,-,-,-,-,-,-,-,-,-,-,○ 选配 (5000元),○ 选配 (5000元),-
选装包,驾驶辅助包,-,-,-,-,-,-,○ 选配 (3000元),-,○ 选配 (3000元),-,-,-,-,-
