セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T EcoBoost ファッショナブル,2025年モデル 1.5T EcoBoost エレガント,2025年モデル 1.5T EcoBoost ラグジュアリー,2025年モデル 1.5T EcoBoost E ハイブリッド エレガント,2025年モデル 1.5T EcoBoost E ハイブリッド ラグジュアリー,2025年モデル 2.0T EcoBoost ラグジュアリー,2025年モデル 2.0T EcoBoost プレミアム,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ STライン
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,-,-,-,-,-,●,-,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証機能,-,-,-,-,-,-,●,-,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋,● SYNC＋
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応,● 4G通信対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ,● 電子式ロータリーシフトノブ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,-,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8インチ,● 8インチ,● 12.3インチ,● 8インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,-,-,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● ファブリック（布地）,● 本革／ファブリックコンビ,● 合成皮革（フェイクレザー）,● 本革／ファブリックコンビ,● 合成皮革（フェイクレザー）,● 合成皮革（フェイクレザー）,● 本革／スエード調コンビ,● 本革／ファブリックコンビ,● 本革／スエード調コンビ
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,● シートヒーター,-,● シートヒーター＆ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,● 運転席,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,● バング＆オルフセン（Bang & Olufsen）,-,● バング＆オルフセン（Bang & Olufsen）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 10スピーカー,● 6スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,-,-,-,-,-,-,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,● 7色調整可能,-,● 7色調整可能
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,●,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック 明月ホワイト 玉盤ホワイト ￥2000 ニチョウグレー 漁火レッド 紫韻グレー,墨雲ブラック ブラック／明月ホワイト ブラック／玉盤ホワイト ￥2000 ブラック／ニチョウグレー ブラック／漁火レッド ブラック／紫韻グレー,墨雲ブラック ブラック／明月ホワイト ブラック／玉盤ホワイト ￥2000 ブラック／ニョウジオレンジ ブラック／紫韻グレー,墨雲ブラック ブラック／明月ホワイト ブラック／玉盤ホワイト ￥2000 ブラック／ニョウジオレンジ ブラック／紫韻グレー
颜色,カラー,内饰颜色,内装色,グレー,ブラック,ブラック,ブラック,ブラック,ブラック,黒/灰色 薄灰/黒紫,ブラック,レーシングブラック/赤
