セクション,セクション_ja,項目,項目_ja,2024年モデル 270TGDi GLS 先進版,2024年モデル 270TGDi LUX 高級版,2024年モデル 270TGDi TOP 知能愛用フラッグシップ版,2024年モデル 380TGDi LUX Premium 知能愛用高級版,2024年モデル 380TGDi TOP Premium 知能愛用フラッグシップ版,2022年モデル 270TGDi 知能愛用フラッグシップ版 TOP,2021年モデル 270TGDi 先進版 GLS,2021年モデル 270TGDi 高級版 LUX,2021年モデル 380TGDi 豪華版 DLX,2021年モデル 380TGDi 知能愛用高級版 LUX Premium,2021年モデル 380TGDi 知能愛用フラッグシップ版 TOP Premium
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,-,-,-,●,●,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 後方ミラー加熱,● 電動調整 電動格納 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納,● 電動調整 後方ミラー加熱,● 電動調整 電動格納 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 後方ミラー加熱 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ,● 10.4インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,-,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink,-,● Bluelink,● Bluelink,● Bluelink,● Bluelink
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,●,●,●,●,●,-,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,-,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断,● ドア操作 車両始動 ライト操作 車両状態確認/診断
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,●,●,-,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）,○ （1000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席3個,● 前席2個／後席3個,● 前席2個／後席3個,● 前席2個／後席3個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席3個,● 前席2個／後席3個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,-,-,-,● 前席 後席,● 前席 後席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,前後調整 背もたれ調整 高さ調整（2方向） 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,○ 運転席／助手席,運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● 加熱 通気,● 加熱 通気,● 加熱 通気,● 加熱 通気,-,-,-,● 加熱 通気,● 加熱 通気
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,● 運転席,● 運転席,● 運転席,● 運転席,-,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,●,●,●,●,-,○,-,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整,前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整,● 前後調整 背もたれ調整 高さ調整 レッグレスト調整 左右調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,●,●,●,●,-,○,-,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● 加熱 通気,● 加熱 通気,● 加熱 通気,● 加熱 通気,-,○ 加熱 通気,-,● 加熱 通気,● 加熱 通気
座椅配置,シート装備,后排小桌板,後部小テーブル,-,●,●,●,●,●,○,●,●,●,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,-,● 2列目,● 2列目,● 2列目,-,-,-,-,-,-
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート,● 2-2-3列シート
座椅配置,シート装備,后排座椅放倒形式,後部シートの倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 7スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 7スピーカー,● 7スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 単色,● 単色,● 単色,● 単色,-,-,-,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,ポーラーホワイト ファントムブラック ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ファントムブラック ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー ブラック／シルバーメタリック,ポーラーホワイト ファントムブラック ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー オーロラシルバー ￥2000 ブラック／シルバーメタリック,ポーラーホワイト ファントムブラック ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー オーロラシルバー ￥2000,ポーラーホワイト ファントムブラック ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー オーロラシルバー ￥2000,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー,ポーラーホワイト ミッドナイトブルー エレガントシルバー ブラウンパール ダークグレー
颜色,カラー,内饰颜色,内装色,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー,ブラック グレー
选装包,オプションパッケージ,悦享关怀包,悦享ケアパッケージ,-,○ スマート電動スライドドア（左側）＋感応式電動テールゲート オプション（5000元）,-,○ スマート電動スライドドア（左側）＋感応式電動テールゲート オプション（5000元）,-,-,-,-,-,-,-
选装包,オプションパッケージ,悦享时尚包,悦享ファッションパッケージ,-,-,○ ブラックルーフ＋ブラック外側ミラー＋ブラックテールゲートパネル オプション（1000元）,○ ブラックルーフ＋ブラック外側ミラー＋ブラックテールゲートパネル オプション（1000元）,○ ブラックルーフ＋ブラック外側ミラー＋ブラックテールゲートパネル オプション（1000元）,-,-,-,-,-,-
选装包,オプションパッケージ,选装包1 ETC车载装置,オプションパッケージ1 ETC車載器,-,-,-,-,-,○ ETC車載器含む オプション（1000元）,○ ETC車載器含む オプション（1000元）,○ ETC車載器含む オプション（1000元）,○ ETC車載器含む オプション（1000元）,○ ETC車載器含む オプション（1000元）,○ ETC車載器含む オプション（1000元）
选装包,オプションパッケージ,选装包2悦享便利包,オプションパッケージ2 悦享便利パッケージ,-,-,-,-,-,-,○ 含む：スマート電動スライドドア（右側）、2列目フットライト、運転席8方向電動調整、前席背面小テーブル（隠しカップホルダー付） オプション（5000元）,-,-,-,-
选装包,オプションパッケージ,选装包4悦享关怀包,オプションパッケージ4 悦享ケアパッケージ,-,-,-,-,-,-,-,○ 含む：スマート電動スライドドア（左側）、感応式電動テールゲート オプション（5000元）,○ 含む：スマート電動スライドドア（左側）、感応式電動テールゲート オプション（5000元）,○ 含む：スマート電動スライドドア（左側）、感応式電動テールゲート オプション（5000元）,-
选装包,オプションパッケージ,选装包3悦享舒适包,オプションパッケージ3 悦享コンフォートパッケージ,-,-,-,-,-,-,-,○ 含む：2列目快適ゼログラビティシート、助手席4方向電動調整、マスターキー、2列目シート加熱・通気 オプション（10000元）,-,-,-
