セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L e HEV 鋭・悦享版,2026年モデル 2.0L e HEV 鋭・智享版,2026年モデル 2.0L e HEV 鋭・領享版,2026年モデル 2.0L e HEV 鋭・耀享版,2026年モデル 2.0L e HEV 鋭・至尊版,2026年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・悦享版,2024年モデル 2.0L e HEV 鋭・智享版,2024年モデル 2.0L e HEV 鋭・領享版,2024年モデル 2.0L e HEV 鋭・耀享版,2024年モデル 2.0L e HEV 鋭・至尊版,2024年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・御享四座版
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,-,-,-,-,●,-,-,-,-,-,●,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側手動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側手動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動
外观/防盗,エクステリア・盗難防止,魔术感应门,マジックセンサー付きドア,-,-,-,-,●,-,-,-,-,-,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● Bluetoothキー
● スマートウォッチ/リストバンドキー","● リモコンキー
● Bluetoothキー
● スマートウォッチ/リストバンドキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,-,-,●,-,-,-,-,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,●,●,-,-,-,-,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,●,-,●,●,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,●,●,●,●,●,-,●,●,●,●,-,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,-,●,-,-,-,-,-,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ,● 運転席,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 運転席,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,●,●,●,●,-,-,-,●,●,-,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー付きワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,-,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,-,●,●,●,●,●,-,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,-,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ",-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
屏幕/系统,ディスプレイ・システム,车载电视,車載テレビ,-,-,-,-,-,-,-,-,-,-,-,-,●
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶モニター,-,-,-,-,-,-,-,-,-,-,-,-,●
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,-,-,-,-,-,-,-,-,-,-,-,-,●
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,"● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索",-,"● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドア操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ,● ボタン式シフトチェンジ
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,-,●,●,●,●,●,-,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● ストリーミングメディア
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電端子,-,● USB,● USB,"● USB
● Type-C","● USB
● Type-C",● USB,-,● USB,● USB,● USB,"● USB
● Type-C",● USB,"● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,-,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席2個,-,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,-,-,-,-,-,-,-,-,-,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,"● 前席
● 後席"
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 本革,● 本革,● 本革,● 本革,● 本革,● ファブリック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,運転席 ● / 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席 ● / 助手席,-,-,運転席 ● / 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席 ● / 助手席,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,-,-,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 肩部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 肩部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 回転調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● 左右調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 肩部調整
● レッグレスト調整
● 左右調整","● 前後調整
● 背もたれ調整
● 回転調整
● 左右調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整
● 左右調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,-,●,●,●,-,-,-,-,●,●,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,● ヒーター付き,● ヒーター付き,-,-,-,-,-,● ヒーター付き,-,"● ヒーター
● ベンチレーション
● マッサージ機能"
座椅配置,シート装備,福祉座椅,福祉シート,-,-,-,-,-,●,-,-,-,-,-,-,-
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,● 2-2-3（座席配列）,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席なし / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 2スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 10スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,●,●,●,●,-,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,●,-,-,-,-,-,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,●,-,-,-,-,-,●,-,-
特色配置,特徴装備,魔术感应门,マジックセンサー付きドア,-,-,-,-,-,-,-,-,-,-,●,-,-
特色配置,特徴装備,福祉座椅,福祉シート,-,-,-,-,-,-,-,-,-,-,-,●,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,Black Edition幻夜套件,Black Edition 幻夜パッケージ,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）,-,-,-,-,-,-,-,-
