セクション,項目,奥德赛 2026款 2.0L e:HEV 锐·悦享版,奥德赛 2026款 2.0L e:HEV 锐·智享版,奥德赛 2026款 2.0L e:HEV 锐·领享版,奥德赛 2026款 2.0L e:HEV 锐·耀享版,奥德赛 2026款 2.0L e:HEV 锐·至尊版,奥德赛 2026款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·悦享版,奥德赛 2024款 2.0L e:HEV 锐·智享版,奥德赛 2024款 2.0L e:HEV 锐·领享版,奥德赛 2024款 2.0L e:HEV 锐·耀享版,奥德赛 2024款 2.0L e:HEV 锐·至尊版,奥德赛 2024款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·御享四座版
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 流媒体
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,-,● USB,● USB,● USB Type-C,● USB Type-C,● USB,-,● USB,● USB,● USB,● USB Type-C,● USB,● USB Type-C
车内充电,USB/Type-C接口数量,-,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排2个,-,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排4个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,●
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排 后排
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副-,-,-,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热,● 加热,● 加热,● 加热,-,-,● 加热,● 加热,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 肩部调节 腿托调节 左右调节,● 前后调节 靠背调节 肩部调节 腿托调节 左右调节,● 前后调节 靠背调节 旋转调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 左右调节,● 前后调节 靠背调节 腿托调节 左右调节,● 前后调节 靠背调节 肩部调节 腿托调节 左右调节,● 前后调节 靠背调节 旋转调节 左右调节,● 前后调节 靠背调节 腰部调节 腿托调节 左右调节
座椅配置,第二排座椅电动调节,-,-,-,●,●,●,-,-,-,-,●,●,-
座椅配置,第二排座椅功能,-,-,-,● 加热,● 加热,-,-,-,-,-,● 加热,-,● 加热 通风 按摩
座椅配置,福祉座椅,-,-,-,-,-,●,-,-,-,-,-,-,-
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前- / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 2喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,●,●,●,●,-,-,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,●,-,-,-,-,-,●,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,●,-,-,-,-,-,●,-,-
特色配置,魔术感应门,-,-,-,-,-,-,-,-,-,-,●,-,-
特色配置,福祉座椅,-,-,-,-,-,-,-,-,-,-,-,●,-
颜色,外观颜色,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 星月白 极夜流银 翎羽蓝 亮晶黑,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 极光蓝 星月白 ￥2000 格陵兰白 极夜流银 流光幻紫,星空蓝 格陵兰白 极夜流银 流光幻紫
颜色,内饰颜色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/棕色 黑色,黑色/典雅白
选装包,Black Edition幻夜套件,-,-,-,○ 包含：BlackEdition专属徽标、哑光柏林黑前格栅、前格栅熏黑镀铬饰条、哑光柏林黑轮毂、熏黑外后视镜、尾部及下包围黑色镀铬饰条、熏黑后尾灯、熏黑立柱、顶棚、方向盘钢琴黑饰件、哑光黑桃木纹内饰 选配 (暂无价格),○ 包含：BlackEdition专属徽标、哑光柏林黑前格栅、前格栅熏黑镀铬饰条、哑光柏林黑轮毂、熏黑外后视镜、尾部及下包围黑色镀铬饰条、熏黑后尾灯、熏黑立柱、顶棚、方向盘钢琴黑饰件、哑光黑桃木纹内饰 选配 (暂无价格),-,-,-,-,-,-,-,-
