セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD ファッショナブル版,2024年モデル 2.0L CVT 2WD ファッショナブルPlus版,2024年モデル 2.0L CVT 4WD アドベンチャーPlus版,2024年モデル 2.0L CVT 4WD アドベンチャー旗艦版,2024年モデル ハイブリッド 2.5L E CVT 2WD エリートPlus版,2024年モデル ハイブリッド 2.5L E CVT 4WD エリートPlus版,2026年モデル 2.0L ベーシックタイプ,2026年モデル ハイブリッド 2.5L ベーシックタイプ
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,●,●,●,●,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,● ドアコントロール 車両状態確認・診断 車両位置特定・車両探索 点検・整備予約,-,-
智能化配置,スマート機能装備,车载KTV,車載カラオケ,-,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 4.2インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,-,●,●,●,●,●,●,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● 合成皮革,● 本革／スエード素材コンビ,● 本革／スエード素材コンビ,● 合成皮革,● 合成皮革,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,-,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,-,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,●,●,●,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,-,-
颜色,カラー,外观颜色,外装色,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,プラチナブロンズメタリック スターリーブルー ブラック チタングレー パリレッド ￥2000 ミラノカーキ チタングレー／ミラノカーキ ￥2000 ブラック／チタングレー ￥2000 プラチナホワイト ￥2000 ブラック／プラチナホワイト ￥4000,-,-
颜色,カラー,内饰颜色,内装色,ブラック/ベージュ ブラック ブラック/ブラウン,ブラック/ベージュ ブラック,ブラック/ベージュ ブラック,ブラック/ベージュ ブラック,ブラック/ベージュ ブラック,ブラック/ベージュ ブラック,ブラック/ベージュ ブラック,-,-
