セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L HEV 2WD 豪華版,2026年モデル 2.5L HEV 4WD 豪華版,2026年モデル 2.5L HEV 4WD 尊貴版,2026年モデル 2.5L HEV 4WD 旗艦版,2026年モデル 2.0T 4WD 劲享版,2026年モデル 2.0T 4WD 劲耀版,2024年モデル 2.5L HEV 2WD 豪華版,2024年モデル 2.5L HEV 4WD 豪華版,2024年モデル 2.5L HEV 4WD 尊貴版,2024年モデル 2.5L HEV 4WD 旗艦版,2024年モデル 2.0T 4WD 劲耀版,2024年モデル 2.0T 4WD 劲享版
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 5個,● 5個,● 2個,● 5個,● 2個,● 2個,● 5個,● 5個,● 5個,● 2個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,● 1個,-,-,-,-,-,● 1個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,-,● 8個,● 8個,-,-,-,-,● 8個,● 8個,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット,● トヨタパイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,●,-,-,-,-,●,●,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,-,-,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,-,-,●,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,-,-,-,-,-,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,●,●,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,●,-,-,-,-,-,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,●,●,-,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ／ダウン機能,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,● 前席,● 前席,● 前席・後席,● 前席・後席,● 前席,● 前席・後席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,●,●,●,●,-,-,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納,● 電動調整・電動格納・ミラー加熱・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応,● CarPlay・CarLife・HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,-,-,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ）,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,● ハロー、トヨタ,● ハロー、トヨタ,-,● ハロー、トヨタ,-,-,● ハロー、トヨタ,● ハロー、トヨタ,● ハロー、トヨタ,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,-,-,●,●,-,●,-,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,-,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,-,●,●,-,●,-,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,-,●,●,-,●,-,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,●,-,-,-,-,-,●,-,-
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,-,-,-,-,-,-,-,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,-,-,●,●,●,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,-,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,-,-,●,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,● 4G,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,-,-,●,●,●,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作・エアコン操作・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,●,-,-,-,-,-,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,●,-,-,-,-,-,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,●,-,-,-,-,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー・デジタルインナーミラー,● 自動防眩ミラー,● 自動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 自動防眩ミラー,● 自動防眩ミラー・デジタルインナーミラー,● 自動防眩ミラー,● 自動防眩ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,-,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,●,-,-,-,-,-,●,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革・合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革・合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）・ランバーサポート（2方向）,● 前後調整・リクライニング調整・上下調整（4方向）,● 前後調整・リクライニング調整・上下調整（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター,● シートヒーター・ベンチレーション,● シートヒーター・ベンチレーション,● シートヒーター,● シートヒーター・ベンチレーション,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター・ベンチレーション,● シートヒーター,● シートヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席,-,-,-,-,-,● 運転席,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,●,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,● シートヒーター,-,-,-,-,-,● シートヒーター,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2,● 2-3-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● JBL,-,-,-,-,-,● JBL,● JBL,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 11スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 11スピーカー,● 11スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,-,-,-,●,-,-
特色配置,特徴装備,nanoeTM纳米水离子,nanoeTMナノ水イオン,-,-,-,-,-,-,-,-,-,●,-,-
颜色,カラー,外观颜色,外装色,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000,スターリーブルー・フローシルバー・インクブラック・カーボンクリスタルブラウン・プラチナホワイト ￥2000
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,黑色 黑色/红色,ブラック,ブラック,ブラック,ブラック,ブラック,黑色 黑色/红色,ブラック,ブラック
