セクション,セクション_ja,項目,項目_ja,2025年モデル 智驾版 430KM 先進型,2025年モデル 智驾版 430KM 上位型,2025年モデル 智驾版 510KM 先進型,2025年モデル 智驾版 510KM 上位型,2025年モデル 智驾版 510KM プレミアム型,2024年モデル 栄光版 430KM 先進型,2024年モデル 栄光版 430KM 上位型,2024年モデル 栄光版 510KM 先進型,2024年モデル 栄光版 510KM 上位型,2024年モデル 栄光版 510KM プレミアム型,2026年モデル ベーシック型
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウィンドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,-,●,-,●,●,-,●,-,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,-
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,-
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,-
屏幕/系统,ディスプレイ・システム,旋转大屏,回転式大型画面,-,-,-,-,-,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,● こんにちは、小ディ,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,-,-,-,-,-,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 2ゾーン,● 2ゾーン,● 2ゾーン,● 2ゾーン,● 2ゾーン,-
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識機能,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,-
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● BYD D100,● BYD D100,● BYD D100,● BYD D100,● BYD D100,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,-,-,-,-,● 6,● 6,● 6,● 6,● 6,-
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,-,-,-,-,● 64,● 64,● 64,● 64,● 64,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,● ドア制御 車両始動 充電管理 エアコン制御 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/修理予約,-
智能化配置,スマート機能装備,车载KTV,車載KTV機能,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,-
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面素材,-,-,-,-,-,● LCD,● LCD,● LCD,● LCD,● LCD,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,●,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,-,● 12インチ,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,-
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB,● USB,● USB,● USB,● USB,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,-
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,-,-,●,●,●,●,●,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● シートヒーター ベンチレーション,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,-,-,-,-,● シートヒーター ベンチレーション,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,-,-,●,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,-
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,-,-,●,-,-,-,-,-,-
特色配置,特徴装備,自适应旋转悬浮Pad,自動回転浮遊パッド,-,-,-,-,-,●,●,●,●,●,-
颜色,カラー,外观颜色,外装色,スキー ホワイト クライミング グレー ゲンブ ブラック レッド ミルク ブルー セーリング グリーン オフロード グリーン,スキー ホワイト クライミング グレー ゲンブ ブラック レッド ミルク ブルー セーリング グリーン オフロード グリーン,スキー ホワイト クライミング グレー ゲンブ ブラック レッド ミルク ブルー セーリング グリーン オフロード グリーン,スキー ホワイト クライミング グレー ゲンブ ブラック レッド ミルク ブルー セーリング グリーン オフロード グリーン,スキー ホワイト クライミング グレー ゲンブ ブラック レッド ミルク ブルー セーリング グリーン オフロード グリーン,サーフ ブルー スキー ホワイト クライミング グレー アドベンチャー グリーン オキシジェン ブルー リズム パープル ￥2000 ブラックナイト,サーフ ブルー スキー ホワイト クライミング グレー アドベンチャー グリーン オキシジェン ブルー リズム パープル ￥2000 ブラックナイト,サーフ ブルー スキー ホワイト クライミング グレー アドベンチャー グリーン オキシジェン ブルー リズム パープル ￥2000 ブラックナイト,サーフ ブルー スキー ホワイト クライミング グレー アドベンチャー グリーン オキシジェン ブルー リズム パープル ￥2000 ブラックナイト,サーフ ブルー スキー ホワイト クライミング グレー アドベンチャー グリーン オキシジェン ブルー リズム パープル ￥2000 ブラックナイト,-
颜色,カラー,内饰颜色,内装色,ブラック／ムーンクラウドグレー ブラック／ラグジュアリーベージュ,ブラック／ムーンクラウドグレー ブラック／ラグジュアリーベージュ,ブラック／ムーンクラウドグレー ブラック／ラグジュアリーベージュ,ブラック／ムーンクラウドグレー ブラック／ラグジュアリーベージュ,ブラック／ムーンクラウドグレー ブラック／ラグジュアリーベージュ,ブラック／ベージュ ブラックナイト,ブラック／ベージュ ブラックナイト,ブラック／ベージュ ブラックナイト,ブラック／ベージュ ブラックナイト,ブラック／ベージュ ブラックナイト,-
选装包,オプションパッケージ,马牌轮胎,コンチネンタルタイヤ,-,-,-,-,-,-,-,-,○ 含む：コンチネンタルタイヤ オプション（2000元）,○ 含む：コンチネンタルタイヤ オプション（2000元）,-
