セクション,項目,深蓝S07 2026款 230Plus 华为乾崑ADS SE版,深蓝S07 2026款 230Max 华为乾崑ADS SE版,深蓝S07 2026款 230Ultra 华为乾崑ADS SE版,深蓝S07 2026款 300Ultra 华为乾崑ADS SE版,深蓝S07 2026款 550Max 华为乾崑ADS SE版,深蓝S07 2026款 550Ultra 华为乾崑ADS SE版,深蓝S07 2025款 215Plus 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 285Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 285Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 628Max 华为乾崑智驾ADS SE纯电版,深蓝S07 2025款 520Max 深蓝智驾AD PRO纯电版,深蓝S07 2025款 520Max 华为乾崑智驾ADS SE纯电版
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,信号灯识别,●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",-,-,-,● 高速路段,● 高速路段,● 高速路段,-,● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,-,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●,●,-,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,-,-,●,●,●,●,●,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (599元)
● 蓝牙钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙","○ 遥控钥匙 (399元)
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,-,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,-,●,●,-,●,-,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,副驾娱乐屏尺寸,-,-,-,-,-,-,-,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸
屏幕/系统,向日葵旋转屏,-,-,●,●,-,●,-,●,●,●,●,●,●,●
屏幕/系统,中控液晶屏分屏显示,●,●,●,●,●,●,-,-,-,-,-,-,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗"
屏幕/系统,语音助手唤醒词,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝,● 你好，深蓝
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,-,-,-,-,-,-,-,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS,● Deepal OS
屏幕/系统,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排控制多媒体,-,-,●,●,-,●,-,-,-,-,-,-,-,-
屏幕/系统,车机系统内存(GB),● 24,● 24,● 24,● 24,● 24,● 24,● 16,● 16,● 16,● 16,● 16,● 16,● 16,● 16
屏幕/系统,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256,● 256,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
屏幕/系统,多指飞屏操控,-,-,-,-,-,-,○,○,○,○,○,○,○,○
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车"
智能化配置,车载KTV,●,●,●,●,●,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,-,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-,-,-,-,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,HUD抬头尺寸,-,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸,● 55英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,-,-,-,-,-,-,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,-,"● 加热
● 通风","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)",-,"● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
● 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",● 驾驶位,"● 驾驶位
● 副驾驶位",-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,●,●,-,●,-,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-,-,-,-,-,-,-
座椅配置,零重力座椅,-,-,"○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶",-,"○ 主驾驶
● 副驾驶",-,"○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶","○ 主驾驶
● 副驾驶"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,-,-,●,●,-,●,-,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 20喇叭,● 20喇叭,● 8喇叭,● 20喇叭,● 8喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),-,-,●,●,-,●,-,-,-,-,-,-,-,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,● 64色,● 64色,-,● 64色,-,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,主动式环境氛围灯,-,-,●,●,-,●,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,-,-,●,●,-,-,-,-,-,-,-,-
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,○,○,-,○,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,○,○,-,○,-,-,-,-,-,-,-,-
空调/冰箱,车载冰箱,-,-,○,○,-,○,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,20英寸运动轮毂套件,-,○ 选配 (2999元),○ 选配 (2999元),○ 选配 (2999元),○ 选配 (2999元),○ 选配 (2999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元),○ 选配 (1999元)
选装包,悦享健康包,-,-,○ 选配 (1999元),○ 选配 (1999元),-,○ 选配 (1999元),-,-,-,-,-,-,-,-
