セクション,セクション_ja,項目,項目_ja,2026年モデル eDrive 35 L,2026年モデル eDrive 40 L 曜夜パッケージ,2026年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 35 L,2025年モデル eDrive 40 L 曜夜パッケージ,2025年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 40 L 50周年限定版
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,○ 前席,○ 前席,○ 前席 (1900元),○ 前席,○ 前席,○ 前席 (1900元),-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材のコンビネーション
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整 腰部サポート（4方向） (1400元),● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整,● 前後調整 背もたれ調整 高さ調整（4方向） レッグレスト調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター付き (3500元),○ ヒーター付き (3500元),● ヒーター付き,○ ヒーター付き (3500元),○ ヒーター付き (3500元),● ヒーター付き,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,○ Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,6スピーカー 17スピーカー,6スピーカー 17スピーカー,● 17スピーカー,6スピーカー 17スピーカー,6スピーカー 17スピーカー,● 17スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色展開,● 多色展開,● 多色展開,● 多色展開,● 多色展開,● 多色展開,● 多色展開
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,鉱石ホワイト カーボンブラック スカイグレー コーストブルー ブルックリングレー スピードブルー,マットグレー
颜色,カラー,内饰颜色,内装色,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック ブラック／モカ ブラック／ボルケーノレッド ボルケーノレッド／ブラック ￥3200,ブラック
选装包,オプションパッケージ,娱乐套装,エンターテインメントパッケージ,-,-,-,○ 含む：Harman/Kardon高級オーディオシステム、スマホワイヤレス充電 オプション (8000元),○ 含む：Harman/Kardon高級オーディオシステム、スマホワイヤレス充電 オプション (8000元),-,-
