セクション,項目,星愿 2026款 310km 青春版,星愿 2026款 310km 梦想版,星愿 2026款 410km 自在版,星愿 2026款 410km 自由版,星愿 2026款 410km 探索版,星愿 2026款 STAR 限定版,星愿 2025款 310km 青春版,星愿 2025款 310km 梦想版,星愿 2025款 410km 自由版,星愿 2025款 UP 410km 探索版,星愿 2025款 UP 410km 探索+版
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,● 256色,-,-,-,-,● 256色
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,-,-,●,●,-,-,-,-,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,-,-,-,-,-
颜色,外观颜色,天真蓝 罗勒青 冰莓粉 香草米 奶盖白 慕斯银 香颂紫 ￥3000 可可米 ￥3000,天真蓝 罗勒青 冰莓粉 香草米 奶盖白 慕斯银 香颂紫 ￥3000 可可米 ￥3000,天真蓝 罗勒青 冰莓粉 香草米 奶盖白 慕斯银 香颂紫 ￥3000 可可米 ￥3000,天真蓝 罗勒青 冰莓粉 香草米 奶盖白 慕斯银 香颂紫 ￥3000 可可米 ￥3000,天真蓝 黑色/慕斯银 ￥2000 黑色/香草米 ￥2000 黑色/冰莓粉 ￥2000 黑色/罗勒青 ￥2000 黑色/奶盖白 ￥2000 罗勒青 冰莓粉 香草米 奶盖白 慕斯银 黑色/天真蓝 ￥2000 黑色/可可米 ￥5000 香颂紫 ￥3000 黑色/香颂紫 ￥5000 可可米 ￥3000,红色/暗影灰 红色/流光银,天真蓝 海盐蓝 罗勒青 冰莓粉 香草米 奶盖白 松露灰 慕斯银,天真蓝 海盐蓝 罗勒青 冰莓粉 香草米 奶盖白 松露灰 慕斯银,天真蓝 海盐蓝 罗勒青 冰莓粉 香草米 奶盖白 松露灰 慕斯银,天真蓝 海盐蓝 罗勒青 冰莓粉 香草米 奶盖白 松露灰 慕斯银,天真蓝 海盐蓝 黑色/海盐蓝 ￥2000 黑色/慕斯银 ￥2000 黑色/松露灰 ￥2000 黑色/香草米 ￥2000 黑色/冰莓粉 ￥2000 黑色/罗勒青 ￥2000 黑色/奶盖白 ￥2000 罗勒青 冰莓粉 香草米 奶盖白 松露灰 慕斯银 黑色/天真蓝 ￥2000
颜色,内饰颜色,黑色/星空灰 黑色/天镜白 黑色/芦苇杏 ￥2000,黑色/星空灰 黑色/天镜白 黑色/芦苇杏 ￥2000,黑色/星空灰 黑色/天镜白 黑色/芦苇杏 ￥2000,黑色/星空灰 黑色/天镜白 黑色/芦苇杏 ￥2000,黑色/星空灰 黑色/天镜白 黑色/芦苇杏 ￥2000,曜石黑,黑色/星空灰 黑色/天镜白 黑色/仙踪绿,黑色/星空灰 黑色/天镜白 黑色/仙踪绿,黑色/星空灰 黑色/天镜白 黑色/仙踪绿,黑色/星空灰 黑色/天镜白 黑色/仙踪绿,黑色/星空灰 黑色/天镜白 黑色/仙踪绿
选装包,智能驾驶辅助系统,-,-,-,-,-,-,-,-,-,-,○ 包含：ACC全速域自适应巡航、AEB-P主动式紧急刹车辅助系统（带行人识别功能）、TSI交通标志识别、LDW车道偏离预警、IHBC智能远近光灯切换、FVD智能前车驶离提醒 选配 (3000元)
